,時間,1（μｇ/m3）,2（μｇ/m3）,3（μｇ/m3）,4（μｇ/m3）,5（μｇ/m3）,6（μｇ/m3）,7（μｇ/m3）,8（μｇ/m3）,9（μｇ/m3）,10（μｇ/m3）,11（μｇ/m3）,12（μｇ/m3）,13（μｇ/m3）,14（μｇ/m3）,15（μｇ/m3）,16（μｇ/m3）,17（μｇ/m3）,18（μｇ/m3）,19（μｇ/m3）,20（μｇ/m3）,21（μｇ/m3）,22（μｇ/m3）,23（μｇ/m3）,24（μｇ/m3）
ベンゼン（Benzene）,4月,0.41,0.38,0.4,0.42,0.39,0.38,0.4,0.39,0.4,0.4,0.51,0.6,0.44,0.47,0.53,0.47,0.47,0.45,0.43,0.47,0.47,0.47,0.4,0.41
ベンゼン（Benzene）,5月,0.66,0.65,0.6,0.54,0.57,0.74,0.55,0.73,0.72,0.61,0.72,0.61,0.55,0.65,0.63,0.71,0.67,0.84,0.69,0.66,0.78,0.94,0.62,0.5
ベンゼン（Benzene）,6月,0.82,0.84,0.68,0.59,0.57,0.49,0.55,0.58,0.71,0.57,0.6,0.71,0.78,0.77,0.74,0.76,0.77,0.73,0.76,0.89,1.1,0.77,0.8,0.89
ベンゼン（Benzene）,7月,0.63,0.53,0.6,0.68,0.64,0.64,0.52,0.58,0.7,0.78,0.59,0.71,0.6,0.7,0.81,0.7,0.73,0.72,0.9,0.9,0.9,0.8,0.67,0.57
ベンゼン（Benzene）,8月,0.7,0.77,0.83,0.68,0.74,0.71,0.64,0.63,0.56,0.57,0.56,0.6,0.41,0.41,0.47,0.61,0.6,0.68,0.76,0.93,0.7,0.56,0.59,0.65
ベンゼン（Benzene）,9月,0.46,0.43,0.51,0.41,0.4,0.33,0.35,0.36,0.36,0.36,0.35,0.38,0.39,0.31,0.34,0.35,0.48,0.42,0.5,0.45,0.46,0.43,0.48,0.55
ベンゼン（Benzene）,10月,0.42,0.42,0.39,0.41,0.42,0.41,0.43,0.47,0.46,0.46,0.45,0.44,0.41,0.41,0.42,0.43,0.5,0.54,0.6,0.55,0.55,0.5,0.49,0.48
ベンゼン（Benzene）,11月,0.71,0.69,0.66,0.62,0.62,0.58,0.6,0.74,0.68,0.74,0.81,0.83,0.71,0.79,0.71,0.71,0.75,0.85,0.89,0.81,0.77,0.8,0.87,0.77
ベンゼン（Benzene）,12月,0.77,0.77,0.72,0.66,0.63,0.6,0.63,0.69,0.72,0.7,0.7,0.66,0.62,0.59,0.61,0.62,0.63,0.71,0.77,0.73,0.79,0.87,0.76,0.78
ベンゼン（Benzene）,1月,0.72,0.69,0.66,0.62,0.58,0.58,0.59,0.65,0.71,0.67,0.7,0.72,0.69,0.65,0.6,0.67,0.66,0.72,0.8,0.76,0.75,0.74,0.74,0.74
ベンゼン（Benzene）,2月,0.73,0.66,0.6,0.6,0.58,0.59,0.64,0.71,0.74,0.78,0.75,0.79,0.8,0.85,0.79,0.69,0.68,0.67,0.73,0.67,0.73,0.81,0.84,0.75
