,曜日,日（μｇ/m3）,月（μｇ/m3）,火（μｇ/m3）,水（μｇ/m3）,木（μｇ/m3）,金（μｇ/m3）,土（μｇ/m3）
ベンゼン（Benzene）,4月,0.35,0.36,0.5,0.53,0.42,0.38,0.5
ベンゼン（Benzene）,5月,0.94,0.67,0.73,0.51,0.45,0.62,0.66
ベンゼン（Benzene）,6月,0.92,0.65,0.7,0.56,0.78,0.86,0.65
ベンゼン（Benzene）,7月,0.76,0.7,0.74,0.61,0.56,0.83,0.67
ベンゼン（Benzene）,8月,0.48,0.71,0.64,0.69,0.65,0.71,0.63
ベンゼン（Benzene）,9月,0.41,0.5,0.38,0.35,0.6,0.38,0.29
ベンゼン（Benzene）,10月,0.48,0.62,0.43,0.45,0.43,0.47,0.39
ベンゼン（Benzene）,11月,0.72,0.77,0.6,0.79,0.95,0.59,0.74
ベンゼン（Benzene）,12月,0.59,0.77,0.8,0.64,0.63,0.81,0.66
ベンゼン（Benzene）,1月,0.54,0.71,0.69,0.68,0.92,0.7,0.59
ベンゼン（Benzene）,2月,0.99,0.86,0.58,0.58,0.6,0.65,0.86
ベンゼン（Benzene）,3月,0.44,0.48,0.59,0.54,0.58,0.65,0.49
ベンゼン（Benzene）,平均,0.64,0.65,0.62,0.58,0.63,0.64,0.59
,曜日,日（μｇ/m3）,月（μｇ/m3）,火（μｇ/m3）,水（μｇ/m3）,木（μｇ/m3）,金（μｇ/m3）,土（μｇ/m3）
トリクロロエチレン（Trichloroethene）,4月,0.28,0.74,0.75,0.89,0.49,0.36,0.33
トリクロロエチレン（Trichloroethene）,5月,0.37,0.44,0.7,0.81,0.7,0.47,0.51
トリクロロエチレン（Trichloroethene）,6月,0.48,0.79,0.48,0.62,0.75,0.73,0.57
トリクロロエチレン（Trichloroethene）,7月,0.37,0.38,0.74,0.35,0.48,0.71,0.44
トリクロロエチレン（Trichloroethene）,8月,0.31,0.29,0.33,0.32,0.28,0.28,0.29
トリクロロエチレン（Trichloroethene）,9月,0.37,0.67,0.61,0.81,0.53,0.45,0.53
トリクロロエチレン（Trichloroethene）,10月,0.46,1.5,0.88,0.78,1.5,1.3,0.51
トリクロロエチレン（Trichloroethene）,11月,0.52,1.8,1,1.7,1.8,1.6,0.87
トリクロロエチレン（Trichloroethene）,12月,0.46,1.2,1.4,1.2,1.6,1.9,1
トリクロロエチレン（Trichloroethene）,1月,0.39,0.71,1.5,1.1,1.5,1.5,0.63
トリクロロエチレン（Trichloroethene）,2月,0.37,1.1,0.58,0.6,0.38,0.67,0.76
トリクロロエチレン（Trichloroethene）,3月,0.18,0.5,0.64,0.87,0.6,1.2,0.53
