,曜日,日（μｇ/m3）,月（μｇ/m3）,火（μｇ/m3）,水（μｇ/m3）,木（μｇ/m3）,金（μｇ/m3）,土（μｇ/m3）,,,,
ベンゼン（Benzene）,4月,0.69,0.67,0.61,0.61,0.8,0.73,0.54,,,,
ベンゼン（Benzene）,5月,0.62,0.53,0.37,0.47,0.54,0.73,0.72,,,,
ベンゼン（Benzene）,6月,0.73,0.5,0.92,0.42,0.53,1,0.72,,,,
ベンゼン（Benzene）,7月,0.72,0.63,0.71,0.79,0.51,0.55,0.86,,,,
ベンゼン（Benzene）,8月,0.81,0.75,0.54,0.56,0.52,0.45,0.59,,,,
ベンゼン（Benzene）,9月,0.68,0.6,0.8,0.69,0.73,0.75,0.72,,,,
ベンゼン（Benzene）,10月,0.62,0.53,0.63,0.87,0.67,0.52,0.66,,,,
ベンゼン（Benzene）,11月,1.1,0.78,0.69,0.83,0.75,0.79,0.9,,,,
ベンゼン（Benzene）,12月,1.3,1.4,1.1,1.4,1.4,0.96,0.95,,,,
ベンゼン（Benzene）,1月,0.81,1,0.75,0.91,0.91,0.82,0.81,,,,
ベンゼン（Benzene）,2月,0.78,0.95,0.84,0.84,0.75,1.1,0.96,,,,
ベンゼン（Benzene）,3月,0.66,0.57,0.59,0.65,0.59,0.6,0.61,,,,
ベンゼン（Benzene）,平均,0.79,0.74,0.72,0.75,0.73,0.75,0.75,,,,
,曜日,日（μｇ/m3）,月（μｇ/m3）,火（μｇ/m3）,水（μｇ/m3）,木（μｇ/m3）,金（μｇ/m3）,土（μｇ/m3）,,,,
トリクロロエチレン（Trichloroethene）,4月,0.14,0.25,0.21,0.37,0.36,0.31,0.2,,,,
トリクロロエチレン（Trichloroethene）,5月,0.17,0.24,0.25,0.23,0.31,0.35,0.25,,,,
トリクロロエチレン（Trichloroethene）,6月,0.25,0.29,0.33,0.24,0.3,0.37,0.29,,,,
トリクロロエチレン（Trichloroethene）,7月,0.24,0.66,0.6,0.52,0.35,0.47,0.45,,,,
トリクロロエチレン（Trichloroethene）,8月,0.22,0.28,0.33,0.3,0.4,0.3,0.42,,,,
トリクロロエチレン（Trichloroethene）,9月,0.31,0.35,0.48,0.62,0.5,0.5,0.38,,,,
トリクロロエチレン（Trichloroethene）,10月,0.23,0.33,0.58,0.6,0.63,0.44,0.29,,,,
トリクロロエチレン（Trichloroethene）,11月,0.28,0.42,0.62,0.93,0.69,0.55,0.36,,,,
トリクロロエチレン（Trichloroethene）,12月,0.32,0.9,0.54,1.2,1.2,0.67,0.38,,,,
トリクロロエチレン（Trichloroethene）,1月,0.22,0.47,0.46,0.66,0.58,0.47,0.3,,,,
トリクロロエチレン（Trichloroethene）,2月,0.16,0.35,0.36,0.5,0.73,0.61,0.51,,,,
トリクロロエチレン（Trichloroethene）,3月,0.15,0.27,0.43,0.41,0.33,0.27,0.19,,,,
トリクロロエチレン（Trichloroethene）,平均,0.22,0.4,0.43,0.55,0.53,0.44,0.34,,,,
,曜日,日（μｇ/m3）,月（μｇ/m3）,火（μｇ/m3）,水（μｇ/m3）,木（μｇ/m3）,金（μｇ/m3）,土（μｇ/m3）,,,,
テトラクロロエチレン（Tetrachloroethene）,4月,0.08,0.1,0.09,0.1,0.11,0.13,0.09,,,,
テトラクロロエチレン（Tetrachloroethene）,5月,0.12,0.11,0.1,0.07,0.13,0.14,0.18,,,,
テトラクロロエチレン（Tetrachloroethene）,6月,0.2,0.16,0.12,0.08,0.09,0.18,0.14,,,,
テトラクロロエチレン（Tetrachloroethene）,7月,0.14,0.17,0.14,0.16,0.09,0.14,0.15,,,,
テトラクロロエチレン（Tetrachloroethene）,8月,0.15,0.11,0.08,0.08,0.08,0.09,0.12,,,,
テトラクロロエチレン（Tetrachloroethene）,9月,0.08,0.09,0.11,0.11,0.1,0.11,0.11,,,,
テトラクロロエチレン（Tetrachloroethene）,10月,0.11,0.1,0.16,0.16,0.16,0.1,0.14,,,,
テトラクロロエチレン（Tetrachloroethene）,11月,0.16,0.15,0.13,0.19,0.15,0.14,0.15,,,,
テトラクロロエチレン（Tetrachloroethene）,12月,0.18,0.41,0.17,0.32,0.21,0.12,0.13,,,,
テトラクロロエチレン（Tetrachloroethene）,1月,0.09,0.15,0.1,0.16,0.14,0.1,0.21,,,,
テトラクロロエチレン（Tetrachloroethene）,2月,0.06,0.09,0.14,0.1,0.12,0.13,0.11,,,,
