PAMS＋BVOC,,,,,,,,,,,,,,,,,,,,,
,,2021年度,,,,,,,,,,,,,,,,,,(単位：ppb）,
,"NAME
( )は、HAPｓの番号",区部一般環境,,,,,,,,,多摩一般,,,都一般平均,沿道,,,,,,檜原（ﾊﾞｯ ｸｸﾞﾗｳﾝ ﾄﾞ)
,,中央区晴海,国設東京新宿,大田区東糀谷,世田谷区世田谷,板橋区氷川町,練馬区石神井町,足立区西新井,江戸川区春江町,区部一般平均,小金井市本町,東大和市奈良橋,多摩部一般平均,,京葉道路亀戸,環八通り八幡山,２地点沿道平均,甲州街道大原,中山道大和町,４地点沿道平均,
V1,Ethane,3.703,3.923,4.292,4.483,4.631,3.807,3.798,3.356,3.999,4.234,2.904,3.569,3.913,3.702,4.257,3.980,4.674,4.676,4.327,1.668
V2,Ethylene,1.765,1.450,1.185,2.202,1.192,1.022,1.224,1.155,1.399,1.190,1.040,1.115,1.342,1.822,1.293,1.557,1.550,1.588,1.563,0.429
V3,Propane,3.518,3.703,4.238,4.909,4.393,4.413,4.596,4.033,4.225,5.755,6.423,6.089,4.598,3.905,4.496,4.201,8.777,4.360,5.385,1.248
V4,Acethylene,0.584,0.493,1.171,1.449,1.174,1.179,1.226,1.182,1.057,1.241,1.244,1.242,1.094,1.281,1.401,1.341,1.760,1.626,1.517,0.754
1,Propylene,0.620,0.486,0.342,0.970,0.344,0.239,0.405,0.285,0.461,0.290,0.255,0.273,0.424,0.544,0.326,0.435,0.502,0.465,0.459,0.078
2,iso-Butane (18),2.584,1.887,0.926,1.052,1.004,0.850,1.177,1.441,1.365,0.925,0.934,0.929,1.278,1.723,1.383,1.553,1.111,0.977,1.299,0.559
3,1-Butene,0.126,0.078,0.084,0.164,0.074,0.065,0.109,0.107,0.101,0.071,0.058,0.064,0.093,0.173,0.195,0.184,0.123,0.104,0.149,0.020
4,n-Butane (22),1.874,1.577,1.818,2.250,1.960,1.621,2.246,1.940,1.911,1.737,1.451,1.594,1.847,2.342,2.515,2.429,2.189,2.109,2.289,0.461
5,trans-2-Butene,0.041,0.024,0.044,0.066,0.040,0.036,0.067,0.067,0.048,0.034,0.029,0.032,0.045,0.081,0.190,0.136,0.083,0.065,0.105,< 0.006
6,cis-2-Butene (23),0.034,0.023,0.034,0.053,0.030,0.030,0.050,0.051,0.038,0.028,0.025,0.026,0.036,0.061,0.138,0.100,0.062,0.049,0.077,0.004
7,iso-Pentane,1.133,0.942,1.090,1.414,0.993,0.920,1.195,1.071,1.095,0.955,0.884,0.920,1.060,1.161,1.949,1.555,1.542,1.288,1.485,0.302
8,1-Pentene,0.037,0.031,0.037,0.043,0.033,0.035,0.041,0.033,0.036,0.034,0.030,0.032,0.035,0.037,0.083,0.060,0.060,0.049,0.057,< 0.02
9,n-Pentane (28),0.516,0.402,0.458,0.660,0.429,0.381,0.506,0.457,0.476,0.424,0.408,0.416,0.464,0.535,0.799,0.667,0.662,0.585,0.645,0.131
10,trans-2-Pentene,0.026,0.021,0.035,0.037,0.027,0.028,0.043,0.038,0.032,0.027,0.026,0.027,0.031,0.041,0.120,0.080,0.075,0.053,0.072,< 0.007
11,cis-2-Pentene,0.017,0.013,0.021,0.022,0.017,0.017,0.025,0.022,0.019,0.017,0.016,0.017,0.019,0.024,0.068,0.046,0.044,0.032,0.042,< 0.008
12,"2-Methyl-1,3-butadiene",0.081,0.114,0.040,0.039,0.036,0.056,0.071,0.030,0.058,0.056,0.146,0.101,0.067,0.038,0.104,0.071,0.064,0.047,0.063,0.132
13,"2,2-Dimethylbutane",0.034,0.027,0.030,0.059,0.030,0.029,0.037,0.035,0.035,0.030,0.030,0.030,0.034,0.039,0.043,0.041,0.045,0.042,0.042,0.013
14,2-Methylpentane,0.365,0.318,0.357,0.598,0.355,0.326,0.409,0.366,0.387,0.347,0.348,0.347,0.379,0.417,0.494,0.456,0.517,0.455,0.471,0.151
15,"2,3-Dimethylbutane",0.058,0.048,0.056,0.109,0.053,0.052,0.065,0.058,0.062,0.053,0.052,0.053,0.060,0.067,0.088,0.078,0.091,0.079,0.081,0.034
16,Cyclopentane,0.094,0.067,0.077,0.139,0.063,0.057,0.079,0.077,0.082,0.055,0.052,0.053,0.076,0.099,0.087,0.093,0.091,0.076,0.088,< 0.02
17,3-Methylpentane,0.199,0.167,0.186,0.329,0.185,0.176,0.227,0.192,0.207,0.181,0.176,0.178,0.202,0.223,0.265,0.244,0.286,0.258,0.258,0.051
18,2-Methyl-1-pentene,0.036,< 0.02,< 0.02,0.029,< 0.02,< 0.02,< 0.02,0.024,0.022,< 0.02,< 0.02,< 0.02,0.020,0.034,0.030,0.032,0.030,0.023,0.029,< 0.02
19,n-Hexane (35),0.298,0.254,0.268,0.385,0.270,0.229,0.318,0.248,0.284,0.272,0.243,0.258,0.279,0.302,0.314,0.308,0.342,0.329,0.322,0.069
20,"2,4-Dimethylpentane",0.011,0.011,0.011,0.014,0.011,0.011,0.015,0.011,0.012,0.013,0.012,0.013,0.012,0.014,0.016,0.015,0.020,0.018,0.017,0.004
21,Methylcyclopentane,0.111,0.094,0.104,0.149,0.102,0.096,0.121,0.094,0.109,0.111,0.098,0.105,0.108,0.119,0.146,0.132,0.165,0.145,0.144,0.025
22,2-Methylhexane,0.045,0.040,0.050,0.056,0.044,0.047,0.057,0.045,0.048,0.050,0.050,0.050,0.048,0.058,0.071,0.065,0.096,0.079,0.076,0.015
23,"2,3-Dimethylpentane",0.029,0.028,0.031,0.034,0.030,0.025,0.035,0.026,0.030,0.031,0.037,0.034,0.031,0.032,0.039,0.035,0.048,0.041,0.040,< 0.02
24,3-Methylhexane,0.050,0.045,0.058,0.063,0.053,0.052,0.066,0.050,0.055,0.058,0.057,0.057,0.055,0.067,0.082,0.074,0.110,0.087,0.086,0.016
25,Cyclohexane,0.224,0.159,0.156,0.281,0.152,0.134,0.190,0.122,0.177,0.164,0.147,0.156,0.173,0.183,0.141,0.162,0.180,0.164,0.167,0.036
26,"2,2,4-Trimethylpentane",0.015,0.012,0.011,0.015,0.012,0.010,0.019,0.014,0.014,0.010,0.010,0.010,0.013,0.017,0.014,0.015,0.016,0.017,0.016,< 0.004
27,n-Heptane,0.096,0.083,0.097,0.130,0.087,0.091,0.098,0.071,0.094,0.101,0.086,0.093,0.094,0.104,0.110,0.107,0.140,0.118,0.118,0.027
28,Benzene (9),0.305,0.241,0.245,0.471,0.235,0.220,0.252,0.260,0.279,0.227,0.228,0.227,0.268,0.297,0.275,0.286,0.327,0.323,0.306,0.129
29,Methylcyclohexane,0.198,0.142,0.117,0.130,0.157,0.139,0.197,0.674,0.219,0.179,0.126,0.152,0.206,0.150,0.144,0.147,0.151,0.225,0.167,0.026
30,"2,3,4-Trimethylpentane",< 0.02,< 0.02,< 0.02,< 0.02,< 0.02,< 0.02,< 0.02,< 0.02,< 0.02,< 0.02,< 0.02,< 0.02,< 0.02,< 0.02,< 0.02,< 0.02,< 0.02,< 0.02,< 0.02,< 0.02
31,2-Methylheptane,0.019,0.016,0.018,0.024,0.017,0.017,0.022,0.017,0.019,0.019,0.021,0.020,0.019,0.023,0.021,0.022,0.031,0.028,0.026,0.007
32,3-Methylheptane,0.131,< 0.02,< 0.02,0.024,< 0.02,< 0.02,< 0.02,0.038,0.034,< 0.02,< 0.02,< 0.02,0.030,0.021,0.024,0.023,0.033,0.025,0.026,< 0.02
