,月,月,月,月,月,月,月,月,月,月,月,月,月,月,月,月,月,月,月,月,月,月,月,月,火,火,火,火,火,火,火,火,火,火,火,火,火,火,火,火,火,火,火,火,火,火,火,火,水,水,水,水,水,水,水,水,水,水,水,水,水,水,水,水,水,水,水,水,水,水,水,水,木,木,木,木,木,木,木,木,木,木,木,木,木,木,木,木,木,木,木,木,木,木,木,木,金,金,金,金,金,金,金,金,金,金,金,金,金,金,金,金,金,金,金,金,金,金,金,金,土,土,土,土,土,土,土,土,土,土,土,土,土,土,土,土,土,土,土,土,土,土,土,土,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日
,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
Vinylchloride（μg/m3）,0.084,0.073,0.106,0.046,0.041,0.031,0.035,0.018,0.059,0.043,0.044,0.061,0.043,0.037,0.066,0.085,0.06,0.099,0.098,0.055,0.096,0.033,0.043,0.063,0.035,0.022,0.026,0.019,0.025,0.057,0.064,0.045,0.025,0.023,0.042,0.06,0.16,0.184,0.071,0.063,0.105,0.57,0.088,0.076,0.054,0.064,0.067,0.046,0.041,0.045,0.049,0.049,0.026,0.028,0.037,0.022,0.05,0.04,0.05,0.071,0.038,0.068,0.051,0.121,0.099,0.174,0.096,0.456,0.15,0.149,0.107,0.074,0.108,0.126,0.056,0.038,0.051,0.044,0.041,0.045,0.032,0.018,0.02,0.04,0.043,0.06,0.065,0.036,0.042,0.124,0.072,0.227,0.161,0.074,0.036,0.043,0.038,0.035,0.042,0.053,0.046,0.048,0.03,0.012,0.012,0.027,0.018,0.02,0.051,0.048,0.108,0.078,0.121,0.031,0.055,0.03,0.041,0.03,0.027,0.038,0.044,0.077,0.051,0.035,0.026,0.037,0.051,0.044,0.04,0.052,0.044,0.032,0.044,0.082,0.112,0.124,0.097,0.089,0.065,0.05,0.051,0.064,0.053,0.091,0.044,0.034,0.065,0.076,0.031,0.017,0.017,0.017,0.028,0.06,0.032,0.029,0.032,0.064,0.074,0.117,0.078,0.179,0.123,0.097,0.079,0.031,0.082,0.06
"1,3-Butadiene（μg/m3）",0.084,0.07739113,0.082131601,0.099065248,0.059716917,0.06001632,0.073156774,0.076314408,0.087646648,0.056851473,0.043386566,0.039540586,0.03766666,0.043879589,0.051022348,0.066115183,0.061506638,0.094362886,0.120257597,0.248272841,0.261869768,0.122614824,0.119118275,0.083477374,0.06745432,0.070706409,0.068988186,0.058823944,0.072379005,0.174756462,0.20984549,0.172794477,0.101750957,0.067439235,0.063944831,0.047947143,0.038634033,0.053175255,0.046114103,0.082241804,0.078002541,0.141601063,0.131530456,0.122556814,0.124959683,0.119770476,0.141188938,0.120155407,0.116035356,0.11263687,0.174287228,0.130110694,0.107725722,0.150125812,0.105761129,0.09091897,0.085148798,0.093100645,0.173852152,0.080583192,0.066979538,0.080708184,0.144026895,0.118093756,0.079704604,0.144635915,0.20655824,0.143246098,0.167494865,0.149237366,0.145148092,0.185085939,0.123401374,0.152410565,0.139917366,0.08111513,0.085302728,0.091640393,0.100463664,0.107539983,0.080784925,0.039731926,0.038886429,0.04630824,0.070360728,0.080122833,0.064280922,0.080964194,0.097650839,0.127293917,0.114091199,0.147110465,0.194288126,0.108583737,0.122559251,0.11649462,0.09656795,0.080266407,0.082774011,0.098677497,0.071235479,0.078397442,0.066433606,0.068193687,0.060564476,0.061220196,0.058038874,0.069787477,0.061738857,0.047136956,0.063324288,0.056902216,0.062941148,0.095905725,0.131803877,0.127697591,0.128668342,0.129815168,0.11656035,0.187156226,0.106115118,0.127695731,0.133158682,0.113531602,0.141092003,0.119263571,0.072294142,0.073567825,0.064566124,0.136394686,0.047191826,0.03870302,0.077198509,0.052111183,0.108752572,1.930861266,0.152975015,0.10558333,0.126399053,0.130725849,0.122351661,0.138898391,0.1655901,0.194760546,0.117867623,0.11586167,0.113602548,0.075792765,0.080149765,0.06847537,0.047692208,0.0507474,0.055024586,0.049367174,0.050382517,0.045639899,0.04848854,0.038553282,0.04538218,0.071426412,0.071421858,0.115113429,0.172881593,0.145977052,0.161315342,0.089183379,0.094667745,0.100304625
Acrylonitrile（μg/m3）,0.092447445,0.157742638,0.15995577,0.170519687,0.098571282,0.118240723,0.130435175,0.091182773,0.192555738,0.127136208,0.085039172,0.087731386,0.058886371,0.075009113,0.059989887,0.116758072,0.534574597,0.141475966,0.117717596,0.159068039,0.134357858,0.136599595,0.106726445,0.086810089,0.061666825,0.057525125,0.064460077,0.081290568,0.055210694,0.108678942,0.094200543,0.109075795,0.102982768,0.140586264,0.11140245,0.058318835,0.039838026,0.09184901,0.104453951,0.133702296,0.121425257,0.138470352,0.130804353,0.171083179,0.081771369,0.059447159,0.089374929,0.161426809,0.150366792,0.157874621,0.131608404,0.088617989,0.078831479,0.22448878,0.160328783,0.160843213,0.175476031,0.085577222,0.084191657,0.103375374,0.075864353,0.097966559,0.088741921,0.083933575,0.075832871,0.091600857,0.0938416,0.181969995,0.351660444,0.271800269,0.144716812,0.13508186,0.228799377,0.254253445,0.183509433,0.058766683,0.068445716,0.048966755,0.047084581,0.062228004,0.046214966,0.036931015,0.037534776,0.075127868,0.121518752,0.107693149,0.114932931,0.108357305,0.122482577,0.124034775,0.11955821,0.104665478,0.142229303,0.073906085,0.122097838,0.11303544,0.100627356,0.070336365,0.08757684,0.072837822,0.067316712,0.133764917,0.099367811,0.103559047,0.043373759,0.063763868,0.06775965,0.120841684,0.080212744,0.116449448,0.192908985,0.194201224,0.093512624,0.090801503,0.096720442,0.117525602,0.064031303,0.058993782,0.092751741,0.130099339,0.092957707,0.070480519,0.069976538,0.072031284,0.0686772,0.07879755,0.096209727,0.150028293,0.104478985,0.106947216,0.093352912,0.073612942,0.065077629,0.078372577,0.106361456,0.270067167,0.163432115,0.118901429,0.104210345,0.077002166,0.083070349,0.102582102,0.108414954,0.135443636,0.090386687,0.111439269,0.137512402,0.128158076,0.10970687,0.126105262,0.060223594,0.0637128,0.136530293,0.13055264,0.091439568,0.071016455,0.091688321,0.080808821,0.090501682,0.125844083,0.101293462,0.153758338,0.130772655,0.18949518,0.140572122,0.059603372,0.089109118,0.227267657
Dichloromethane（μg/m3）,0.620877024,0.68393326,0.671815445,0.700380624,0.771144193,0.72762731,0.743791438,0.712447939,0.670184462,1.018899141,0.928884019,1.010953006,0.892211088,0.849446481,0.978042421,1.073926083,1.095740393,1.009011909,0.881577022,0.841730319,0.87027151,0.917132586,0.915835121,0.973099655,0.993941435,1.007992919,1.087135977,1.100175666,1.095428578,1.011902823,1.062703978,0.947836592,0.85969069,1.050632,0.868742957,1.07059729,1.078431538,1.001001695,1.001070614,0.868979378,1.242366323,1.02318297,0.940783783,0.932638532,0.860052725,0.809534071,0.760717344,0.773040608,0.742173372,0.835901375,1.003034248,0.929601465,1.04253648,1.054364836,1.146326055,1.150970857,1.109944405,1.115228651,2.931873096,1.290704074,0.956267713,0.945311666,0.890051186,0.890239085,0.928316118,0.803847023,0.825700134,1.034139975,0.872311948,0.982808199,0.908234231,1.051719332,1.007745723,1.298844765,1.135116665,1.017581545,1.023552044,1.075573114,0.977992548,0.955233563,0.966124653,1.157648868,1.122395135,1.070153536,0.961304328,1.020272128,1.240990592,1.045158829,0.976298302,1.070434916,1.077681316,0.94759374,0.881136853,0.990145759,1.144431635,1.032861266,1.073773424,1.165414163,1.061805435,1.090743365,1.13853464,1.140015723,1.225086967,1.117802063,1.036854402,1.167078108,1.190315134,1.411476896,1.23097752,0.98403813,1.100904778,1.073500628,0.955333939,0.90412001,0.876038249,0.929343605,0.882644748,0.888169817,0.931699065,1.148899483,1.060549757,1.308640188,1.269672184,1.203174028,1.277640394,1.246502061,1.122175347,1.102314427,1.102409005,1.021487422,0.870412463,0.911240433,0.796585355,0.788160803,0.714308861,0.706492384,0.760228022,0.753255739,0.843940113,0.76917643,0.756300105,0.844197772,0.811670987,0.853164883,0.899527924,1.060118889,1.048897002,1.045180814,1.032852351,1.039213575,0.937859962,0.890106274,0.805524961,0.774313419,0.642973093,0.59254901,0.53280849,0.520159319,0.485104555,0.503615937,0.517383372,0.534110036,0.549698631,0.521363487,0.499823843,0.532410286,0.54002329,0.588040419
"1,1-Dichloroethane（μg/m3）",0.010807228,0.01044413,0.01,0.010223864,0.010247522,0.01,0.01,0.01,0.01,0.01,0.01,0.010221012,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.010236396,0.010218044,0.01,0.01,0.01,0.01,0.010498888,0.010556877,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01025991,0.010213169,0.01,0.01,0.010226011,0.010346705,0.010337402,0.010231455,0.010300645,0.010316025,0.010548757,0.01047379,0.010571932,0.010279207,0.010655739,0.010215245,0.010262688,0.010794793,0.010202718,0.010202832,0.011034423,0.010337781,0.01,0.01,0.01,0.01,0.01023959,0.01,0.010226648,0.010231635,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.010255525,0.01,0.010694724,0.010251707,0.01,0.01,0.01,0.01,0.01,0.01,0.010238368,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.010242293,0.01,0.01,0.01,0.01,0.01,0.01,0.010223565,0.010206327,0.01,0.010225134,0.01,0.010230965,0.010251992,0.010213217,0.011190109,0.010701286,0.010956668,0.01,0.01021403,0.01,0.01,0.010233957,0.01,0.01,0.010262844,0.01,0.010242196,0.01,0.010340996,0.010314369,0.0105334,0.01,0.010240559,0.010502847,0.01064012,0.01,0.010258195,0.01,0.01,0.010562419,0.01,0.010221143,0.010241639,0.010229712,0.01,0.01,0.010214494,0.01,0.01,0.01,0.01,0.010248384,0.01,0.01,0.01,0.010254978,0.01,0.01,0.01,0.010258686
Chloroform（μg/m3）,0.101343018,0.103079165,0.106599251,0.103593785,0.105893614,0.102050351,0.097279456,0.095702014,0.096183768,0.097250545,0.092001902,0.090981277,0.097098154,0.111002426,0.122766793,0.104029958,0.100635935,0.111060033,0.103492357,0.117566297,0.115256198,0.102190174,0.10379535,0.113674958,0.117634964,0.106029115,0.109794943,0.112032381,0.101758024,0.108112094,0.110268195,0.109334406,0.104015807,0.089791639,0.104884505,0.096133157,0.097769835,0.088263294,0.082126804,0.082111102,0.167168439,0.089509936,0.095089168,0.108897344,0.264233741,0.117350877,0.111856865,0.118113703,0.11859322,0.140577004,0.126604213,0.123406478,0.129544084,0.130138963,0.135730449,0.118801958,0.116471034,0.10837635,0.094548175,0.101651625,0.100579737,0.099087453,0.100058099,0.096767916,0.107385248,0.098826714,0.104586021,0.108918365,0.10770231,0.115411937,0.123733695,0.113286168,0.109192415,0.102906022,0.107345944,0.120269921,0.113706444,0.10948739,0.117922514,0.122303042,0.106982487,0.099640725,0.101054893,0.096709315,0.10399746,0.113225582,0.114946871,0.103825498,0.102688529,0.103991222,0.100728004,0.108445418,0.141852881,0.216053949,0.108603847,0.113903585,0.117766178,0.10636518,0.10283625,0.105806157,0.110811158,0.113989098,0.10905147,0.106354542,0.103717235,0.103760585,0.105965349,0.109431721,0.1105056,0.102046182,0.166538619,0.137246038,0.10994551,0.09806985,0.100791362,0.106520668,0.105509407,0.119995471,0.121556431,0.118064027,0.124475588,0.125816298,0.131678834,0.121999182,0.109267725,0.105015584,0.113976155,0.111789726,0.112567724,0.103669151,0.100417057,0.098826108,0.105587532,0.099343142,0.096773014,0.105737911,0.108611056,0.099964211,0.100789673,0.112613876,0.116067631,0.122601651,0.12057355,0.110532198,0.115610355,0.121317409,0.12459547,0.121321989,0.111227855,0.107579299,0.100958985,0.103239604,0.101120781,0.097984126,0.094551073,0.087273508,0.086873428,0.422695824,0.08489924,0.086050251,0.091675852,0.095804248,0.097822829,0.107600378,0.112757202,0.09805781,0.100544559,0.09801152
"1,2-Dichloroethane（μg/m3）",0.090784973,0.095284578,0.093724424,0.089933988,0.090514148,0.08402418,0.101457741,0.082813848,0.078150916,0.074713843,0.076029542,0.074283615,0.077048685,0.081569312,0.088737921,0.075862262,0.077988937,0.079165094,0.072499609,0.070713015,0.079046331,0.072814833,0.0772574,0.072615223,0.075904496,0.073156721,0.086169237,0.072142765,0.06206155,0.070263015,0.072591529,0.06700242,0.071797358,0.06389582,0.065712748,0.062728163,0.064929671,0.064719081,0.059902797,0.0604131,0.065399615,0.06219761,0.064943543,0.06856158,0.068637422,0.069107447,0.067672376,0.069829802,0.069090297,0.069074007,0.065123255,0.069098804,0.071701523,0.0782447,0.096421138,0.076900294,0.077918096,0.078865121,0.070867359,0.069804879,0.073594619,0.072925089,0.072999883,0.072241352,0.071730285,0.070218337,0.069742429,0.075373564,0.06891809,0.079786936,0.083489294,0.073424175,0.083532566,0.078363452,0.087888054,0.090489639,0.081862037,0.07676101,0.078282965,0.082927793,0.079023683,0.081843194,0.081162184,0.079462634,0.098358427,0.106620535,0.108926544,0.07734293,0.081723652,0.094956962,0.095832283,0.08606575,0.086861795,0.079979098,0.072936221,0.067133402,0.070482922,0.062917947,0.063797035,0.06658552,0.067838684,0.071235645,0.064772842,0.068917817,0.07059693,0.066536021,0.062558136,0.061195274,0.066221447,0.071917423,0.075146292,0.075122325,0.081858996,0.077437431,0.078927767,0.083004821,0.085025704,0.096156079,0.09339013,0.102731482,0.100138308,0.094388977,0.113305616,0.087636209,0.088960141,0.075843584,0.074812909,0.081862747,0.082513001,0.079325672,0.073919802,0.081530466,0.085072915,0.078118379,0.076555667,0.080395679,0.087177187,0.076195116,0.082155865,0.085784775,0.101132494,0.094693695,0.091136451,0.087505328,0.078355663,0.072535939,0.078708964,0.076348777,0.077596974,0.077082874,0.070115237,0.074440829,0.070908277,0.06956559,0.074559827,0.075659377,0.074475939,0.073711304,0.07085794,0.073581854,0.088432633,0.087207991,0.085325374,0.09901463,0.101497993,0.081267514,0.086179504,0.083917485
Benzene（μg/m3）,0.634120781,0.600483784,0.620500058,0.637240084,0.521416726,0.566085811,0.583324889,0.528570582,0.627951253,0.573990164,0.547620736,0.537477373,0.506949861,0.54102166,0.54228745,0.599420139,0.545535781,0.622103112,0.57496886,0.681157644,0.613841501,0.641619377,0.635734594,0.570512765,0.571193253,0.577256842,0.550587713,0.545565765,0.515564689,0.535525115,0.571724623,0.612386804,0.630708415,0.555388469,0.609635521,0.497826278,0.451049794,0.442606731,0.434425815,0.481845439,0.513093829,0.558719554,0.634867701,0.606737152,0.569267999,0.525144787,0.552830868,0.637587696,0.598637823,0.560972925,0.571417033,0.530265043,0.489899894,0.586216726,0.587516965,0.622274717,0.675172821,0.674341686,0.596259556,0.60034241,0.547580079,0.533228032,0.480908329,0.507705538,0.515457889,0.625391933,0.72535312,0.680654615,0.683397406,0.727964853,0.697077038,0.659043791,0.667693259,0.643808087,0.612758725,0.519519703,0.538564918,0.517632688,0.534688436,0.59395042,0.573360808,0.544464005,0.534813758,0.521931659,0.624921975,0.636433451,0.56735367,0.497674604,0.55007748,0.595352839,0.627196054,0.690218955,0.686991414,0.607287138,0.604438908,0.580432844,0.641584042,0.516135519,0.539524738,0.536970722,0.486731355,0.546042889,0.531305908,0.537623371,0.498414645,0.508646626,0.516262672,0.592215917,0.528085656,0.548086125,0.564027392,0.592188845,0.503171774,0.517538462,0.555963548,0.630456354,0.60905073,0.599753013,0.680360814,0.700348625,0.655035065,0.692149437,0.722529042,0.620416132,0.579447157,0.526591767,0.562798581,0.64466728,0.590499675,0.623781876,0.593094879,0.582544848,0.563724553,0.615168031,0.622403166,0.679825576,0.728138974,0.622586641,0.682427417,0.695869676,0.693295355,0.814149988,0.809095699,0.771874665,0.757619856,0.663928836,0.707583002,0.662027161,0.625497213,0.559290673,0.500231662,0.502870574,0.569901124,0.611272754,0.570112298,0.547048661,0.517988388,0.497990188,0.538947399,0.621548079,0.592039288,0.715876791,0.749283686,0.73434784,0.711906257,0.661643836,0.7577354,0.643997014
Carbon Tetrachloride（μg/m3）,0.437261568,0.434522898,0.436957023,0.434647147,0.434217966,0.443100629,0.432693351,0.428705436,0.432033341,0.468846651,0.434788154,0.446832042,0.432315766,0.432311078,0.436459068,0.436806104,0.43396942,0.451840651,0.445870443,0.450779021,0.444152357,0.437494388,0.433834809,0.43217412,0.43210965,0.43355209,0.430993873,0.429361008,0.434204412,0.436304636,0.435148446,0.431938503,0.430121578,0.433302427,0.434940359,0.434405316,0.438459769,0.440700555,0.436273863,0.447736604,0.449231739,0.450187003,0.444950654,0.449474647,0.439499143,0.444831113,0.451207629,0.441898125,0.433309316,0.437215151,0.437912147,0.44927034,0.43536041,0.430021459,0.431253216,0.433963791,0.430304847,0.439949881,0.438145075,0.451139456,0.446837119,0.446569618,0.443007592,0.45383433,0.465737897,0.460641519,0.459493328,0.445680134,0.458214334,0.443552573,0.4434886,0.441369203,0.444537236,0.438226027,0.438572562,0.434556015,0.437323158,0.438107865,0.442010035,0.440821727,0.443579265,0.436974608,0.431370738,0.433461311,0.437287729,0.445322565,0.441380264,0.444811658,0.445110325,0.447908013,0.438643063,0.44169525,0.435128737,0.425342794,0.433513614,0.433801604,0.431809145,0.423530463,0.42740482,0.434472282,0.435835109,0.43801063,0.431439155,0.42738141,0.423502942,0.430369959,0.431585981,0.436266494,0.432341695,0.448440174,0.451092365,0.439417105,0.437724907,0.438831415,0.454482231,0.441961992,0.440537713,0.436070293,0.438218538,0.451317731,0.438720152,0.447704706,0.445259064,0.44361087,0.433479025,0.437246835,0.439024094,0.434158286,0.437809377,0.438780497,0.438827942,0.43550951,0.449676836,0.450419964,0.444087635,0.460479845,0.456640071,0.461210726,0.443371721,0.448269898,0.442461754,0.453774886,0.455779683,0.443037408,0.442697614,0.436654025,0.44371301,0.444974142,0.435300362,0.425788024,0.426342172,0.431774009,0.430497056,0.444789218,0.439144751,0.436673453,0.430632649,0.438367526,0.443331408,0.442261893,0.44136178,0.45687434,0.449231312,0.457915978,0.450818521,0.434791807,0.441560145,0.435532595
