台帳番号,全解除,年度,文書記号,種別,番号,所在地,起点（地番）,起点ｘ座標,起点ｙ座標,回転角（度分秒）,調査区画数,調査種別（土壌概況/土壌詳細/地下水代表地点/地下水対象地境界/地下水詳細）,地点種別（一部対象混合/一部対象個別/全部対象/第一種代表地点/第二種・第三種代表地点）,評価区画,採取区画,深度(m),標高(TPm),標高(APm),TCE_GAS(ppm),PCE_GAS(ppm),DCM_GAS(ppm),VC_GAS(ppm),CCl4_GAS(ppm),EDC_GAS(ppm),"1,1-DCE_GAS(ppm)","1,2-DCE_GAS(ppm)","1,1,1-TCE_GAS(ppm)","1,1,2-TCE_GAS(ppm)","1,3-DCP_GAS(ppm)",Bz_GAS(ppm),TCE_GAS(WATER）(mg/l),PCE_GAS(WATER）(mg/l),DCM_GAS(WATER）(mg/l),VC_GAS(WATER）(mg/l),CCl4_GAS(WATER）(mg/l),EDC_GAS(WATER）(mg/l),"1,1-DCE_GAS(WATER）(mg/l)","1,2-DCE_GAS(WATER）(mg/l)","1,1,1-TCE_GAS(WATER）(mg/l)","1,1,2-TCE_GAS(WATER）(mg/l)","1,3-DCP_GAS(WATER）(mg/l)",Bz_GAS(WATER）(mg/l),TCE_Elu(mg/l),PCE_Elu(mg/l),DCM_Elu(mg/l),VC_Elu(mg/l),CCl4_Elu(mg/l),EDC_Elu(mg/l),"1,1-DCE_Elu(mg/l)","1,2-DCE_Elu(mg/l)","1,1,1-TCE_Elu(mg/l)","1,1,2-TCE_Elu(mg/l)","1,3-DCP_Elu(mg/l)",Bz_Elu(mg/l),Cd_Elu(mg/l),CN_Elu(mg/l),Pb_Elu(mg/l),Cr6+_Elu(mg/l),As_Elu(mg/l),Hg_Elu(mg/l),Se_Elu(mg/l),B_Elu(mg/l),F_Elu(mg/l),有機リン_Elu(mg/l),PCB_Elu(mg/l),チウラム_Elu(mg/l),シマジン_Elu(mg/l),チオベンカルブ_Elu(mg/l),Cd_Con(mg/kg),CN_Con(mg/kg),Pb_Con(mg/kg),Cr6+_Con(mg/kg),As_Con(mg/kg),Hg_Con(mg/kg),Se_Con(mg/kg),B_Con(mg/kg),F_Con(mg/kg),TCE_Wat(mg/l),PCE_Wat(mg/l),DCM_Wat(mg/l),VC_Wat(mg/l),CCl4_Wat(mg/l),EDC_Wat(mg/l),"1,1-DCE_Wat(mg/l)","1,2-DCE_Wat(mg/l)","1,1,1-TCE_Wat(mg/l)","1,1,2-TCE_Wat(mg/l)","1,3-DCP_Wat(mg/l)",Bz_Wat(mg/l),Cd_Wat(mg/l),CN_Wat(mg/l),Pb_Wat(mg/l),Cr6+_Wat(mg/l),As_Wat(mg/l),Hg_Wat(mg/l),Se_Wat(mg/l),B_Wat(mg/l),F_Wat(mg/l),有機リン_Wat(mg/l),PCB_Wat(mg/l),チウラム_Wat(mg/l),シマジン_Wat(mg/l),チオベンカルブ_Wat(mg/l)
"指-765
指-766","○
○",28,環多改,三,18,三鷹市下連雀五丁目９３０番１,,,,,221,土壌概況,,,,,,,71,不検出,不検出,,不検出,不検出,0.2,不検出,20,不検出,不検出,不検出,,,,,,,,,,,,,0.12,適合,,,,,適合,適合,適合,適合,,,適合,適合,適合,適合,適合,適合,適合,適合,3.6,適合,適合,,,,適合,適合,1100,適合,適合,適合,適合,適合,適合,,,,,,,,,,,,,,,,,,,,,,,,,,
"指-765
指-766","○
○",28,環多改,三,18,三鷹市下連雀五丁目９３０番１,,,,,3,地下水代表地点,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11,0.038,,,,,適合,適合,適合,適合,,,,,,,,,,,,,,,,
指-772,○,28,環多改,三,19,東村山市青葉町二丁目３８番１,,,,,17,土壌概況,,,,,,,不検出,不検出,不検出,,不検出,不検出,不検出,不検出,不検出,不検出,不検出,不検出,,,,,,,,,,,,,,,,,,,,,,,,,適合,適合,適合,適合,適合,適合,適合,適合,適合,適合,適合,適合,適合,適合,適合,適合,210,適合,適合,適合,適合,適合,適合,,,,,,,,,,,,,,,,,,,,,,,,,,
指-772,○,28,環多改,三,19,東村山市青葉町二丁目３８番１,,,,,15,土壌詳細,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
指-844,○,28,環多改,三,39,清瀬市松山２丁目９７８番９４,,,,,1,土壌概況,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.062,,,,,,,,,,,,,,780,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"指-875
指-876","○
○",28,環多改,三,43,あきる野市渕上字多摩野５０番１外５筆,,,,,1290,土壌概況,,,,,,,,,,,,,,,,,不検出,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,0.067,適合,,,適合,適合,,,,,,,,適合,適合,適合,,,適合,適合,,,,,,,,,,,,,,,,,,,,,,,,,,
指-739,,28,環改化,三,1,品川区南品川四丁目５６７番６４外１筆,,,,,1,土壌概況,,,,,,,0.1,8.5,,,,,不検出,不検出,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
指-739,,28,環改化,三,1,品川区南品川四丁目５６７番６４外１筆,,,,,1,土壌詳細,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,適合,0.064,,,,,適合,適合,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
指-739,,28,環改化,三,1,品川区南品川四丁目５６７番６４外１筆,,,,,1,地下水詳細,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,適合,適合,,,,,適合,適合,,,,,,,,,,,,,,,,,,
指-725,○,28,環改化,三,9,板橋区板橋４丁目３２５１番７外１筆,,,,,1,土壌概況,,,,,,,不検出,0.5,,,,,不検出,不検出,,,,,,,,,,,,,,,,,適合,0.027,,,,,適合,適合,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
指-725,○,28,環改化,三,9,板橋区板橋４丁目３２５１番７外１筆,,,,,1,地下水代表地点,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,適合,適合,,,,,適合,適合,,,,,,,,,,,,,,,,,,
指-518,○,28,環改化,三,38,大田区大森西三丁目３６３番１,,,,,58,土壌詳細,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15,6,,,,,適合,51,,,,,,,1.5,,,,,,7.7,,,,,,,,1100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
指-518,○,28,環改化,三,38,大田区大森西三丁目３６３番１,,,,,58,地下水詳細,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.33,0.71,,,,,適合,95,,,,,,,適合,,,,,,1.9,,,,,
指-726,○,28,環改化,三,13,品川区西大井五丁目５７９０番５,,,,,2,土壌概況,,,,,,,不検出,1.5,,,,,不検出,不検出,,,,,,,,,,,,,,,,,,0.013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
指-726,○,28,環改化,三,13,品川区西大井五丁目５７９０番５,,,,,1,地下水代表地点,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,適合,,,,,,,,,,,,,,,,,,,,,,,,
