台帳番号	全解除	年度	文書記号	種別	番号	所在地	起点（地番）	起点ｘ座標	起点ｙ座標	回転角（度分秒）	調査区画数	調査種別（土壌概況/土壌詳細/地下水代表地点/地下水対象地境界/地下水詳細）	地点種別（一部対象混合/一部対象個別/全部対象/第一種代表地点/第二種・第三種代表地点）	評価区画	採取区画	深度(m)	標高(TPm)	標高(APm)	TCE_GAS(ppm)	PCE_GAS(ppm)	DCM_GAS(ppm)	VC_GAS(ppm)	CCl4_GAS(ppm)	EDC_GAS(ppm)	"1,1-DCE_GAS(ppm)"	"1,2-DCE_GAS(ppm)"	"1,1,1-TCE_GAS(ppm)"	"1,1,2-TCE_GAS(ppm)"	"1,3-DCP_GAS(ppm)"	Bz_GAS(ppm)	TCE_GAS(WATER）(mg/l)	PCE_GAS(WATER）(mg/l)	DCM_GAS(WATER）(mg/l)	VC_GAS(WATER）(mg/l)	CCl4_GAS(WATER）(mg/l)	EDC_GAS(WATER）(mg/l)	"1,1-DCE_GAS(WATER）(mg/l)"	"1,2-DCE_GAS(WATER）(mg/l)"	"1,1,1-TCE_GAS(WATER）(mg/l)"	"1,1,2-TCE_GAS(WATER）(mg/l)"	"1,3-DCP_GAS(WATER）(mg/l)"	Bz_GAS(WATER）(mg/l)	TCE_Elu(mg/l)	PCE_Elu(mg/l)	DCM_Elu(mg/l)	VC_Elu(mg/l)	CCl4_Elu(mg/l)	EDC_Elu(mg/l)	"1,1-DCE_Elu(mg/l)"	"1,2-DCE_Elu(mg/l)"	"1,1,1-TCE_Elu(mg/l)"	"1,1,2-TCE_Elu(mg/l)"	"1,3-DCP_Elu(mg/l)"	Bz_Elu(mg/l)	Cd_Elu(mg/l)	CN_Elu(mg/l)	Pb_Elu(mg/l)	Cr6+_Elu(mg/l)	As_Elu(mg/l)	Hg_Elu(mg/l)	Se_Elu(mg/l)	B_Elu(mg/l)	F_Elu(mg/l)	有機リン_Elu(mg/l)	PCB_Elu(mg/l)	チウラム_Elu(mg/l)	シマジン_Elu(mg/l)	チオベンカルブ_Elu(mg/l)	Cd_Con(mg/kg)	CN_Con(mg/kg)	Pb_Con(mg/kg)	Cr6+_Con(mg/kg)	As_Con(mg/kg)	Hg_Con(mg/kg)	Se_Con(mg/kg)	B_Con(mg/kg)	F_Con(mg/kg)	TCE_Wat(mg/l)	PCE_Wat(mg/l)	DCM_Wat(mg/l)	VC_Wat(mg/l)	CCl4_Wat(mg/l)	EDC_Wat(mg/l)	"1,1-DCE_Wat(mg/l)"	"1,2-DCE_Wat(mg/l)"	"1,1,1-TCE_Wat(mg/l)"	"1,1,2-TCE_Wat(mg/l)"	"1,3-DCP_Wat(mg/l)"	Bz_Wat(mg/l)	Cd_Wat(mg/l)	CN_Wat(mg/l)	Pb_Wat(mg/l)	Cr6+_Wat(mg/l)	As_Wat(mg/l)	Hg_Wat(mg/l)	Se_Wat(mg/l)	B_Wat(mg/l)	F_Wat(mg/l)	有機リン_Wat(mg/l)	PCB_Wat(mg/l)	チウラム_Wat(mg/l)	シマジン_Wat(mg/l)	チオベンカルブ_Wat(mg/l)
T0001	○	31	環多改	土	8	八王子市三崎町１番５外１１筆					74	土壌概況									不検出									不検出																									適合	適合	0.041	適合	適合	適合		適合	適合						適合	適合	460	適合	適合	適合		適合	適合																										
T0001	○	31	環多改	土	8	八王子市三崎町１番５外１１筆					1	地下水代表地点																																																																																適合											
T0001	○	31	環多改	土	8	八王子市三崎町１番５外１１筆					2	土壌詳細																																													0.041														460																																
T0001	○	31	環多改	土	8	八王子市三崎町１番５外１１筆					1	地下水詳細																																																																																適合											
T0021		31	環多改	土	109	日野市大字日野４２１番８					157	土壌概況							不検出	不検出	不検出	不検出	不検出	不検出	不検出	不検出	不検出	不検出	不検出	不検出																									適合	適合	0.048	適合	適合	適合	適合	適合	適合		適合				適合	適合	440	適合	適合	適合	適合	適合	適合																										
T0022		31	環多改	土	109	日野市大字日野４２１番８					2	地下水代表地点																																																																																適合											
T0023		31	環多改	土	109	日野市大字日野４２１番８					2	土壌詳細																																													0.024														440																																
T0024		31	環多改	土	109	日野市大字日野４２１番８					2	地下水詳細																																																																																適合											
T0009	○	31	環多改	土	202	八王子市諏訪町２６３番１外４筆					60	土壌概況										不検出			不検出		不検出																												適合	適合	0.014	適合	適合	適合	適合	適合	適合						適合	適合	適合	適合	適合	適合	適合	適合	適合																										
T0009	○	31	環多改	土	202	八王子市諏訪町２６３番１外４筆					1	土壌詳細																																													0.014																																														
S0052		31	環改化	土	16	葛飾区東金町八丁目４６８３番２外２筆					5	土壌概況							不検出	不検出	不検出	不検出	不検出	不検出	不検出	不検出	不検出	不検出	不検出	不検出																									適合	適合	適合	適合	0.011	適合	適合	適合	適合	適合	適合	適合	適合	適合	適合	適合	適合	適合	適合	適合	適合	適合	適合																										
S0052		31	環改化	土	16	葛飾区東金町八丁目４６８３番２外２筆					1	地下水代表地点																																																																																		適合									
S0052		31	環改化	土	16	葛飾区東金町八丁目４６８３番２外２筆					1	土壌詳細																																															0.011																																												
S0005		31	環改化	土	146	江東区住吉１丁目２４番１外７筆					4	土壌概況																																																																																											
S0005		31	環改化	土	146	江東区住吉１丁目２４番１外７筆					4	地下水代表地点																																																																																		0.03				1.3					
S0005		31	環改化	土	146	江東区住吉１丁目２４番１外７筆					1	地下水対象地境界																																																																																		適合				適合					
S0004		31	環改化	土	162	江東区枝川三丁目８番５外１０筆					21	土壌概況							不検出	不検出	不検出	不検出	不検出	不検出	不検出	不検出	不検出	不検出	不検出	不検出																									適合	適合	0.026	適合	0.012	適合	適合	1.4	2.7		適合				適合	適合	1500	適合	適合	適合	適合	適合	適合																										
S0004		31	環改化	土	162	江東区枝川三丁目８番５外１０筆					2	地下水代表地点																																																																																0.033		適合			3.6	適合					
S0004		31	環改化	土	162	江東区枝川三丁目８番５外１０筆					1	地下水対象地境界																																																																																適合					2.4						
S0004		31	環改化	土	162	江東区枝川三丁目８番５外４筆					10	土壌詳細																																													0.026		0.037			1.4	1.9								260																																
