,曜日,日（μｇ/m3）,月（μｇ/m3）,火（μｇ/m3）,水（μｇ/m3）,木（μｇ/m3）,金（μｇ/m3）,土（μｇ/m3）
ベンゼン（Benzene）,4月,0.47,0.48,0.7,0.6,0.51,0.51,0.53
ベンゼン（Benzene）,5月,0.4,0.54,0.59,0.5,0.45,0.39,0.42
ベンゼン（Benzene）,6月,1.3,1.1,0.63,0.84,0.77,1.1,1.3
ベンゼン（Benzene）,7月,0.41,0.4,0.5,0.31,0.47,0.84,0.47
ベンゼン（Benzene）,8月,0.56,0.66,0.41,0.71,0.54,0.46,0.6
ベンゼン（Benzene）,9月,0.67,0.62,0.48,0.5,0.45,0.33,0.62
ベンゼン（Benzene）,10月,0.63,0.77,0.61,0.66,0.6,0.6,0.69
ベンゼン（Benzene）,11月,0.85,0.85,0.71,0.71,0.86,0.67,0.83
ベンゼン（Benzene）,12月,1.1,1.2,1.4,1.3,1.2,1.2,1.1
ベンゼン（Benzene）,1月,0.85,1.1,0.9,0.91,0.94,1,0.88
ベンゼン（Benzene）,2月,0.91,0.9,0.73,0.72,0.75,0.85,0.95
ベンゼン（Benzene）,3月,0.45,0.7,0.65,0.58,0.7,0.75,0.66
ベンゼン（Benzene）,平均,0.71,0.78,0.69,0.69,0.69,0.73,0.76
,曜日,日（μｇ/m3）,月（μｇ/m3）,火（μｇ/m3）,水（μｇ/m3）,木（μｇ/m3）,金（μｇ/m3）,土（μｇ/m3）
トリクロロエチレン（Trichloroethene）,4月,0.1,0.23,0.36,0.41,0.28,0.18,0.13
トリクロロエチレン（Trichloroethene）,5月,0.15,0.38,0.31,0.34,0.29,0.23,0.18
トリクロロエチレン（Trichloroethene）,6月,0.37,0.37,0.38,0.43,0.43,0.62,0.49
トリクロロエチレン（Trichloroethene）,7月,0.17,0.25,0.45,0.29,0.29,0.41,0.28
トリクロロエチレン（Trichloroethene）,8月,0.19,0.28,0.27,0.3,0.23,0.22,0.21
トリクロロエチレン（Trichloroethene）,9月,0.2,0.25,0.32,0.41,0.33,0.22,0.26
トリクロロエチレン（Trichloroethene）,10月,0.17,0.49,0.38,0.51,0.5,0.42,0.29
トリクロロエチレン（Trichloroethene）,11月,0.18,0.39,0.4,0.53,0.74,0.4,0.37
トリクロロエチレン（Trichloroethene）,12月,0.27,0.65,0.77,0.8,1,0.82,0.42
トリクロロエチレン（Trichloroethene）,1月,0.15,0.31,0.56,0.55,0.67,0.61,0.29
