測定物質,測定局名,測定局の区分,４月(μg/m3),５月(μg/m3),６月(μg/m3),７月(μg/m3),８月(μg/m3),９月(μg/m3),１０月(μg/m3),１１月(μg/m3),１２月(μg/m3),１月(μg/m3),２月(μg/m3),３月(μg/m3),年間(μg/m3),環境基準等(μg/m3)注1,定量下限値(μg/m3)注2,検出下限値(μg/m3)注2,公定法(μg/m3)注3(毎月24時間）
ﾍﾞﾝｾﾞﾝ,江東区大島,一般,0.79,0.69,0.71,0.77,0.62,0.57,0.54,0.69,0.81,,,0.76,0.69,3,0.2,0.06,―
ﾍﾞﾝｾﾞﾝ,大田区東糀谷,一般,1.81,1.94,0.98,1.81,1.5,0.8,0.73,0.91,0.93,0.9,0.91,0.81,1.17,3,0.2,0.06,1.3
ﾍﾞﾝｾﾞﾝ,板橋区氷川町,一般,0.52,0.51,0.56,0.36,0.46,0.5,0.47,,,,,,0.48,3,0.2,0.06,0.82
ﾍﾞﾝｾﾞﾝ,環八通り八幡山,自排,0.67,0.59,0.63,0.45,0.6,0.76,0.73,0.94,0.94,0.82,0.77,0.68,0.71,3,0.2,0.06,0.97
ﾄﾘｸﾛﾛｴﾁﾚﾝ,江東区大島,一般,0.85,0.77,0.96,0.52,0.64,0.99,1.13,1.53,1.66,,,0.94,0.99,130,0.2,0.06,―
ﾄﾘｸﾛﾛｴﾁﾚﾝ,大田区東糀谷,一般,1.71,1.65,1.7,0.98,1.01,2.45,3.12,3.65,2.33,1.33,1.76,1.26,1.91,130,0.2,0.06,3.4
ﾄﾘｸﾛﾛｴﾁﾚﾝ,板橋区氷川町,一般,0.78,0.82,1.17,0.68,0.73,1,0.97,,,,,,0.87,130,0.2,0.06,1
ﾄﾘｸﾛﾛｴﾁﾚﾝ,環八通り八幡山,自排,0.35,0.35,0.5,0.33,0.35,0.48,0.58,0.77,0.69,0.35,0.41,0.3,0.45,130,0.2,0.06,0.67
ﾃﾄﾗｸﾛﾛｴﾁﾚﾝ,江東区大島,一般,0.12,0.1,0.13,0.06,0.07,0.11,0.14,0.19,0.24,,,0.13,0.13,200,0.2,0.06,―
ﾃﾄﾗｸﾛﾛｴﾁﾚﾝ,大田区東糀谷,一般,0.13,0.14,0.1,0.07,0.08,0.1,0.13,0.19,0.19,0.14,0.13,0.11,0.13,200,0.2,0.06,0.22
