,時間,1（μｇ/m3）,2（μｇ/m3）,3（μｇ/m3）,4（μｇ/m3）,5（μｇ/m3）,6（μｇ/m3）,7（μｇ/m3）,8（μｇ/m3）,9（μｇ/m3）,10（μｇ/m3）,11（μｇ/m3）,12（μｇ/m3）,13（μｇ/m3）,14（μｇ/m3）,15（μｇ/m3）,16（μｇ/m3）,17（μｇ/m3）,18（μｇ/m3）,19（μｇ/m3）,20（μｇ/m3）,21（μｇ/m3）,22（μｇ/m3）,23（μｇ/m3）,24（μｇ/m3）
ベンゼン（Benzene）,4月,0.54,0.49,0.46,0.47,0.5,0.58,0.59,0.64,0.56,0.57,0.55,0.63,0.59,0.65,0.58,0.55,0.48,0.48,0.52,0.52,0.55,0.51,0.55,0.54
ベンゼン（Benzene）,5月,0.32,0.29,0.31,0.31,0.35,0.42,0.45,0.5,0.53,0.46,0.53,0.46,0.47,0.5,0.56,0.58,0.58,0.54,0.51,0.53,0.59,0.57,0.45,0.38
ベンゼン（Benzene）,6月,1.1,0.91,0.87,0.92,0.79,0.82,0.84,0.97,0.93,0.84,0.82,1.1,0.82,1.1,1.1,1.1,0.92,0.79,0.85,1.2,1.3,1.2,1.1,1.2
ベンゼン（Benzene）,7月,0.37,0.33,0.28,0.3,0.33,0.46,0.47,0.56,0.55,0.58,0.56,0.56,0.62,0.59,0.56,0.53,0.47,0.49,0.52,0.5,0.53,0.52,0.58,0.57
ベンゼン（Benzene）,8月,0.66,0.58,0.53,0.52,0.57,0.62,0.6,0.79,0.65,0.6,0.57,0.63,0.76,0.66,0.62,0.47,0.42,0.45,0.45,0.47,0.48,0.61,0.52,0.48
ベンゼン（Benzene）,9月,0.45,0.39,0.4,0.42,0.41,0.4,0.52,0.58,0.53,0.55,0.49,0.52,0.47,0.49,0.5,0.56,0.59,0.62,0.64,0.67,0.58,0.61,0.57,0.56
ベンゼン（Benzene）,10月,0.55,0.53,0.5,0.5,0.47,0.53,0.66,0.69,0.73,0.62,0.6,0.6,0.58,0.61,0.66,0.72,0.8,0.79,0.88,0.84,0.74,0.64,0.67,0.61
ベンゼン（Benzene）,11月,0.8,0.66,0.62,0.6,0.61,0.69,0.73,0.86,0.82,0.73,0.7,0.63,0.59,0.7,0.68,0.72,0.9,1.2,1.2,1.1,0.92,0.84,0.82,0.82
ベンゼン（Benzene）,12月,1.1,1.1,1,1,0.97,1,1.2,1.3,1.2,1.1,1.1,0.99,0.88,0.89,0.91,1.1,1.3,1.7,1.8,1.9,1.7,1.5,1.5,1.3
ベンゼン（Benzene）,1月,0.9,0.91,0.84,0.83,0.78,0.85,0.85,1,0.93,0.99,0.83,0.75,0.72,0.75,0.8,0.84,0.95,1.2,1.3,1.2,1.3,1.1,1.1,0.96
ベンゼン（Benzene）,2月,0.71,0.72,0.74,0.75,0.74,0.81,0.83,0.97,0.9,0.89,0.85,0.86,0.86,0.71,0.78,0.85,0.74,0.79,0.95,0.99,0.96,0.97,0.76,0.76
ベンゼン（Benzene）,3月,0.59,0.6,0.58,0.62,0.55,0.65,0.7,0.73,0.7,0.64,0.6,0.61,0.62,0.63,0.67,0.55,0.57,0.67,0.69,0.63,0.65,0.71,0.77,0.66
ベンゼン（Benzene）,平均,0.67,0.63,0.6,0.61,0.59,0.65,0.71,0.8,0.75,0.71,0.68,0.69,0.67,0.69,0.7,0.72,0.72,0.81,0.9,0.88,0.85,0.82,0.78,0.73
,時間,1（μｇ/m3）,2（μｇ/m3）,3（μｇ/m3）,4（μｇ/m3）,5（μｇ/m3）,6（μｇ/m3）,7（μｇ/m3）,8（μｇ/m3）,9（μｇ/m3）,10（μｇ/m3）,11（μｇ/m3）,12（μｇ/m3）,13（μｇ/m3）,14（μｇ/m3）,15（μｇ/m3）,16（μｇ/m3）,17（μｇ/m3）,18（μｇ/m3）,19（μｇ/m3）,20（μｇ/m3）,21（μｇ/m3）,22（μｇ/m3）,23（μｇ/m3）,24（μｇ/m3）
トリクロロエチレン（Trichloroethene）,4月,0.23,0.22,0.28,0.32,0.36,0.32,0.3,0.25,0.22,0.21,0.31,0.35,0.34,0.26,0.23,0.24,0.2,0.22,0.2,0.17,0.25,0.13,0.14,0.21
トリクロロエチレン（Trichloroethene）,5月,0.19,0.22,0.33,0.25,0.25,0.25,0.26,0.22,0.2,0.21,0.26,0.33,0.36,0.3,0.29,0.3,0.31,0.33,0.29,0.27,0.22,0.21,0.19,0.22
トリクロロエチレン（Trichloroethene）,6月,0.42,0.36,0.39,0.41,0.46,0.45,0.4,0.34,0.35,0.41,0.48,0.61,0.65,0.48,0.49,0.49,0.48,0.43,0.45,0.45,0.35,0.36,0.34,0.37
トリクロロエチレン（Trichloroethene）,7月,0.33,0.3,0.24,0.26,0.26,0.29,0.28,0.27,0.26,0.33,0.38,0.49,0.43,0.41,0.35,0.33,0.29,0.31,0.26,0.21,0.23,0.22,0.27,0.36
トリクロロエチレン（Trichloroethene）,8月,0.22,0.23,0.23,0.23,0.25,0.26,0.26,0.29,0.26,0.25,0.33,0.46,0.37,0.26,0.27,0.23,0.19,0.2,0.18,0.16,0.17,0.18,0.19,0.17
トリクロロエチレン（Trichloroethene）,9月,0.24,0.33,0.33,0.3,0.29,0.32,0.34,0.28,0.28,0.3,0.37,0.34,0.38,0.31,0.3,0.33,0.29,0.27,0.26,0.23,0.22,0.21,0.19,0.2
トリクロロエチレン（Trichloroethene）,10月,0.39,0.47,0.45,0.53,0.43,0.41,0.39,0.35,0.31,0.27,0.31,0.35,0.41,0.41,0.37,0.4,0.4,0.47,0.51,0.42,0.4,0.37,0.31,0.32
トリクロロエチレン（Trichloroethene）,11月,0.55,0.49,0.45,0.41,0.4,0.37,0.38,0.4,0.42,0.35,0.37,0.3,0.28,0.32,0.32,0.3,0.45,0.45,0.45,0.44,0.55,0.52,0.53,0.58
トリクロロエチレン（Trichloroethene）,12月,1.1,0.89,0.84,0.81,0.86,0.63,0.66,0.56,0.49,0.42,0.35,0.39,0.4,0.37,0.41,0.5,0.62,0.67,0.82,0.95,1.1,1.1,0.83,0.97
トリクロロエチレン（Trichloroethene）,1月,0.41,0.51,0.55,0.57,0.61,0.51,0.55,0.49,0.35,0.38,0.32,0.32,0.27,0.26,0.34,0.38,0.38,0.5,0.49,0.5,0.48,0.47,0.45,0.39
トリクロロエチレン（Trichloroethene）,2月,0.22,0.41,0.51,0.4,0.46,0.38,0.37,0.34,0.27,0.26,0.32,0.33,0.34,0.28,0.3,0.28,0.19,0.22,0.18,0.25,0.22,0.21,0.25,0.26
トリクロロエチレン（Trichloroethene）,3月,0.29,0.38,0.32,0.44,0.45,0.3,0.3,0.37,0.29,0.23,0.24,0.33,0.34,0.3,0.28,0.25,0.23,0.26,0.2,0.19,0.2,0.23,0.23,0.28
トリクロロエチレン（Trichloroethene）,平均,0.38,0.4,0.41,0.41,0.42,0.37,0.37,0.35,0.31,0.3,0.34,0.38,0.38,0.33,0.33,0.34,0.34,0.36,0.4,0.35,0.36,0.35,0.33,0.36
,時間,1（μｇ/m3）,2（μｇ/m3）,3（μｇ/m3）,4（μｇ/m3）,5（μｇ/m3）,6（μｇ/m3）,7（μｇ/m3）,8（μｇ/m3）,9（μｇ/m3）,10（μｇ/m3）,11（μｇ/m3）,12（μｇ/m3）,13（μｇ/m3）,14（μｇ/m3）,15（μｇ/m3）,16（μｇ/m3）,17（μｇ/m3）,18（μｇ/m3）,19（μｇ/m3）,20（μｇ/m3）,21（μｇ/m3）,22（μｇ/m3）,23（μｇ/m3）,24（μｇ/m3）
テトラクロロエチレン（Tetrachloroethene）,4月,0.07,0.08,0.07,0.08,0.08,0.08,0.08,0.07,0.09,0.11,0.13,0.11,0.1,0.09,0.07,0.08,0.06,0.05,0.05,0.05,0.06,0.06,0.06,0.07
テトラクロロエチレン（Tetrachloroethene）,5月,0.05,0.05,0.07,0.07,0.09,0.09,0.08,0.07,0.08,0.1,0.1,0.14,0.12,0.1,0.13,0.16,0.11,0.14,0.08,0.06,0.07,0.28,0.06,0.05
テトラクロロエチレン（Tetrachloroethene）,6月,0.14,0.13,0.13,0.13,0.14,0.13,0.12,0.09,0.2,0.29,0.25,0.24,0.22,0.2,0.25,0.22,0.16,0.15,0.2,0.16,0.13,0.12,0.1,0.11
テトラクロロエチレン（Tetrachloroethene）,7月,0.08,0.08,0.07,0.08,0.08,0.07,0.09,0.09,0.18,0.14,0.18,0.19,0.16,0.14,0.15,0.18,0.1,0.08,0.08,0.07,0.08,0.08,0.09,0.09
テトラクロロエチレン（Tetrachloroethene）,8月,0.06,0.06,0.05,0.06,0.06,0.07,0.07,0.07,0.08,0.08,0.1,0.1,0.09,0.08,0.08,0.07,0.12,0.07,0.07,0.05,0.05,0.05,0.05,0.06
テトラクロロエチレン（Tetrachloroethene）,9月,0.06,0.06,0.07,0.06,0.06,0.09,0.08,0.07,0.06,0.1,0.1,0.09,0.08,0.07,0.08,0.07,0.09,0.08,0.07,0.05,0.04,0.06,0.05,0.07
テトラクロロエチレン（Tetrachloroethene）,10月,0.08,0.1,0.1,0.11,0.09,0.09,0.09,0.07,0.11,0.11,0.23,0.24,0.14,0.13,0.12,0.12,0.11,0.1,0.1,0.09,0.09,0.08,0.08,0.09
テトラクロロエチレン（Tetrachloroethene）,11月,0.1,0.09,0.09,0.1,0.1,0.09,0.1,0.1,0.15,0.14,0.16,0.11,0.1,0.09,0.09,0.1,0.12,0.14,0.25,0.18,0.14,0.12,0.11,0.12
テトラクロロエチレン（Tetrachloroethene）,12月,0.22,0.2,0.2,0.2,0.2,0.16,0.16,0.14,0.14,0.23,0.27,0.28,0.17,0.14,0.16,0.17,0.21,0.19,0.45,0.44,0.35,0.29,0.23,0.19
テトラクロロエチレン（Tetrachloroethene）,1月,0.11,0.12,0.13,0.12,0.14,0.14,0.14,0.13,0.14,0.13,0.17,0.15,0.08,0.09,0.06,0.1,0.09,0.1,0.13,0.12,0.13,0.14,0.12,0.09
テトラクロロエチレン（Tetrachloroethene）,2月,0.07,0.09,0.12,0.11,0.1,0.1,0.1,0.1,0.09,0.15,0.15,0.15,0.09,0.09,0.06,0.05,0.05,0.05,0.05,0.06,0.07,0.06,0.06,0.06
テトラクロロエチレン（Tetrachloroethene）,3月,0.08,0.07,0.09,0.11,0.09,0.08,0.08,0.08,0.08,0.09,0.1,0.1,0.09,0.07,0.07,0.06,0.08,0.06,0.05,0.05,0.06,0.08,0.07,0.07
テトラクロロエチレン（Tetrachloroethene）,平均,0.09,0.09,0.1,0.1,0.1,0.1,0.1,0.09,0.12,0.14,0.16,0.16,0.12,0.11,0.11,0.12,0.11,0.1,0.1,0.12,0.11,0.12,0.09,0.09
,時間,1（μｇ/m3）,2（μｇ/m3）,3（μｇ/m3）,4（μｇ/m3）,5（μｇ/m3）,6（μｇ/m3）,7（μｇ/m3）,8（μｇ/m3）,9（μｇ/m3）,10（μｇ/m3）,11（μｇ/m3）,12（μｇ/m3）,13（μｇ/m3）,14（μｇ/m3）,15（μｇ/m3）,16（μｇ/m3）,17（μｇ/m3）,18（μｇ/m3）,19（μｇ/m3）,20（μｇ/m3）,21（μｇ/m3）,22（μｇ/m3）,23（μｇ/m3）,24（μｇ/m3）
