ID,RegYear,RegMonth,RegDay,RegHour,RegWeek,OpeDate,MeasName,Benzene,Trichloroethene,Tetrachloroethene,Dichloromethane,Vinylchloride,"1,3-Butadiene",Acrylonitrile,Chloroform,"1,2-Dichloroethane",Toluene,m+p-Xylene,o-Xylene,total-Xylen,Ethylbenzene,Styrene,"1,1-Dichloroethane",Carbon Tetrachloride
,,,,,,,検出下限値,0.09,0.017,0.014,0.16,0.012,0.11,0.02,0.05,0.04,0.011,0.026,0.014,0.040,0.01,0.003,0.06,0.015
,,,,,,,ND数,0,399,119,25,3502,5254,1649,0,161,0,0,0,0,0,0,7742,0
,,,,,,,欠測数,981,981,981,981,981,981,981,981,981,981,981,981,981,981,981,981,981
,,,,,,,平均値,1.061,0.875,0.131,3.127,0.250,0.749,0.157,0.259,0.163,6.257,0.904,0.320,1.224,1.053,0.114,0.104,0.8895
1,2022,4,1,1,金,2022/4/1 1:00,江戸川区鹿骨,0.6174 ,0.0527 ,0.0423 ,1.2652 ,ND,ND,0.0232 ,0.1834 ,0.1988 ,0.6489 ,0.1460 ,0.0540 ,0.2000 ,0.1657 ,0.0180 ,ND,1.0475 
2,2022,4,1,2,金,2022/4/1 2:00,江戸川区鹿骨,0.5756 ,0.0494 ,0.0410 ,1.9294 ,ND,ND,0.0196 ,0.1685 ,0.1766 ,1.3280 ,0.1378 ,0.0494 ,0.1872 ,0.1540 ,0.0188 ,ND,1.0689 
3,2022,4,1,3,金,2022/4/1 3:00,江戸川区鹿骨,0.5647 ,0.0363 ,0.0381 ,0.9581 ,ND,ND,ND,0.1728 ,0.1687 ,0.5095 ,0.1179 ,0.0425 ,0.1604 ,0.1207 ,0.0173 ,ND,1.0505 
4,2022,4,1,4,金,2022/4/1 4:00,江戸川区鹿骨,0.5180 ,0.0365 ,0.0367 ,0.8532 ,ND,ND,ND,0.1615 ,0.1574 ,0.5326 ,0.1110 ,0.0394 ,0.1504 ,0.0998 ,0.0188 ,ND,1.0730 
5,2022,4,1,5,金,2022/4/1 5:00,江戸川区鹿骨,0.5762 ,0.2859 ,0.0392 ,1.2697 ,ND,ND,ND,0.1620 ,0.1584 ,0.7697 ,0.1658 ,0.0621 ,0.2279 ,0.1515 ,0.0168 ,ND,1.0882 
6,2022,4,1,6,金,2022/4/1 6:00,江戸川区鹿骨,0.5947 ,0.4754 ,0.0617 ,0.9255 ,ND,ND,ND,0.1600 ,0.1422 ,1.1530 ,0.2134 ,0.0772 ,0.2906 ,0.1822 ,0.0146 ,ND,1.0720 
7,2022,4,1,7,金,2022/4/1 7:00,江戸川区鹿骨,0.7738 ,0.1380 ,0.0475 ,1.2518 ,ND,0.1431 ,0.0196 ,0.1749 ,0.1620 ,1.6796 ,0.4250 ,0.1590 ,0.5840 ,0.3131 ,0.0243 ,ND,1.0804 
8,2022,4,1,8,金,2022/4/1 8:00,江戸川区鹿骨,0.6502 ,0.0416 ,0.0590 ,0.9148 ,ND,ND,0.0204 ,0.1680 ,0.1468 ,1.0393 ,0.5123 ,0.1701 ,0.6824 ,0.7962 ,0.0271 ,ND,1.0851 
9,2022,4,1,9,金,2022/4/1 9:00,江戸川区鹿骨,0.7371 ,0.0583 ,0.1607 ,1.5675 ,ND,0.1463 ,0.0206 ,0.1798 ,0.1464 ,1.3395 ,0.4391 ,0.1578 ,0.5969 ,0.5331 ,0.0446 ,ND,1.1033 
10,2022,4,1,10,金,2022/4/1 10:00,江戸川区鹿骨,0.7903 ,0.1227 ,0.2917 ,3.4488 ,ND,0.1766 ,0.0232 ,0.1603 ,0.1362 ,1.6663 ,0.7062 ,0.2263 ,0.9325 ,1.1952 ,0.0456 ,ND,1.0786 
11,2022,4,1,11,金,2022/4/1 11:00,江戸川区鹿骨,0.6674 ,0.0855 ,0.0611 ,0.8630 ,ND,0.1286 ,0.0259 ,0.1512 ,0.1282 ,1.0353 ,0.2852 ,0.1017 ,0.3869 ,0.2925 ,0.0321 ,ND,1.0760 
12,2022,4,1,12,金,2022/4/1 12:00,江戸川区鹿骨,0.5806 ,0.0977 ,0.0693 ,2.0589 ,ND,ND,0.0193 ,0.1531 ,0.1252 ,1.4878 ,0.2735 ,0.0995 ,0.3730 ,0.3693 ,0.0216 ,ND,1.0703 
13,2022,4,1,13,金,2022/4/1 13:00,江戸川区鹿骨,0.5835 ,0.1942 ,0.0763 ,1.1668 ,ND,ND,ND,0.1559 ,0.1241 ,1.6573 ,0.2508 ,0.0966 ,0.3474 ,0.3882 ,0.0200 ,ND,1.0567 
14,2022,4,1,14,金,2022/4/1 14:00,江戸川区鹿骨,0.5364 ,0.3989 ,0.0655 ,1.6933 ,ND,ND,0.0195 ,0.1562 ,0.1214 ,2.1520 ,0.2530 ,0.0957 ,0.3487 ,0.4694 ,0.0126 ,ND,1.0786 
15,2022,4,1,15,金,2022/4/1 15:00,江戸川区鹿骨,0.5449 ,0.3781 ,0.0571 ,1.4549 ,ND,ND,ND,0.1592 ,0.1202 ,2.3247 ,0.3100 ,0.1216 ,0.4316 ,0.5152 ,0.0182 ,ND,1.0611 
16,2022,4,1,16,金,2022/4/1 16:00,江戸川区鹿骨,0.5292 ,0.2379 ,0.0474 ,1.0024 ,ND,ND,0.0160 ,0.1555 ,0.1211 ,1.8849 ,0.3460 ,0.1237 ,0.4697 ,0.5337 ,0.0188 ,ND,1.0760 
