,時間,1（μｇ/m3）,2（μｇ/m3）,3（μｇ/m3）,4（μｇ/m3）,5（μｇ/m3）,6（μｇ/m3）,7（μｇ/m3）,8（μｇ/m3）,9（μｇ/m3）,10（μｇ/m3）,11（μｇ/m3）,12（μｇ/m3）,13（μｇ/m3）,14（μｇ/m3）,15（μｇ/m3）,16（μｇ/m3）,17（μｇ/m3）,18（μｇ/m3）,19（μｇ/m3）,20（μｇ/m3）,21（μｇ/m3）,22（μｇ/m3）,23（μｇ/m3）,24（μｇ/m3）
ベンゼン（Benzene）,4月,0.52,0.52,0.54,0.56,0.49,0.56,0.63,0.61,0.66,0.6,0.58,0.56,0.57,0.61,0.55,0.61,0.69,0.58,0.63,0.77,0.63,0.61,0.6,0.56
ベンゼン（Benzene）,5月,0.69,0.85,0.81,0.76,0.85,0.71,0.73,0.58,0.64,0.58,0.5,0.51,0.5,0.6,0.64,0.69,0.85,0.74,0.65,0.67,0.68,0.93,0.85,0.75
ベンゼン（Benzene）,6月,0.58,0.71,0.53,0.59,0.6,0.61,0.62,0.61,0.53,0.46,0.6,0.61,0.58,0.48,0.46,0.44,0.39,0.4,0.49,0.61,0.52,0.51,0.44,0.54
ベンゼン（Benzene）,7月,1.1,0.79,0.73,0.71,0.74,0.77,0.66,0.82,0.72,0.88,0.8,0.69,0.55,0.58,0.57,0.58,0.61,0.61,0.8,0.73,0.66,0.59,0.63,1.1
ベンゼン（Benzene）,8月,0.72,0.99,0.84,0.85,0.9,1,0.8,0.66,0.65,0.76,0.75,0.66,0.55,0.56,0.62,0.57,0.58,0.92,1.2,0.89,0.86,0.83,0.99,0.83
ベンゼン（Benzene）,9月,0.54,0.58,0.58,0.59,0.63,0.7,0.67,0.62,0.61,0.52,0.63,0.55,0.72,0.53,0.5,0.57,0.56,0.61,1.1,0.77,0.8,0.73,0.75,0.57
ベンゼン（Benzene）,10月,0.5,0.52,0.43,0.42,0.47,0.48,0.5,0.54,0.52,0.63,0.64,0.52,0.42,0.5,0.44,0.55,0.67,0.66,0.64,0.72,0.74,0.59,0.58,0.63
ベンゼン（Benzene）,11月,0.7,0.59,0.57,0.54,0.49,0.47,0.48,0.53,0.56,0.56,0.53,0.57,0.66,0.54,0.5,0.55,0.64,0.64,0.66,0.68,0.76,0.71,0.74,0.72
ベンゼン（Benzene）,12月,0.78,0.78,0.74,0.7,0.66,0.67,0.72,0.86,0.77,0.73,0.73,0.73,0.77,0.82,0.67,0.71,0.74,0.83,0.88,0.87,0.87,0.89,0.84,0.83
ベンゼン（Benzene）,1月,0.73,0.7,0.62,0.61,0.6,0.6,0.59,0.65,0.69,0.73,0.73,0.68,0.63,0.63,0.66,0.65,0.67,0.75,0.85,0.94,0.89,0.88,0.88,0.78
