[資料21]　大気　ダイオキシン類異性体等分析結果（第１回調査　 ２０２２（令和４)年５月：区部）,,,,,,,,,,,,,,,[資料21]　大気　ダイオキシン類異性体等分析結果（第１回調査　 ２０２２(令和４)年５月：多摩部）,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
実測濃度,,,（2022(令和4)年　5月18日～5月25日）,,,,,,,,,,単位：pg/m3,,実測濃度,,,（2022(令和4)年　5月18日～5月25日）,,,,単位：pg/m3,,,,,,,,,単位：pg/m3,,,,単位：pg/m3
化合物の名称等,,,"毒性
等価係数",定量下限値,検出下限値,"①中央区
晴海局","②大田区
東糀谷局","③世田谷区
世田谷局","④板橋区
氷川町局","⑤練馬区
石神井町局","⑥足立区
西新井局","⑦葛飾区
鎌倉","⑧江戸川区
春江町局",,化合物の名称等,,,"毒性
等価係数","定量
下限値","検出
下限値","⑨八王子市
片倉町局","?八王子市
大楽寺町局",,定量下限値,検出下限値,"⑪立川市
錦町","⑫町田市
能ヶ谷局","⑬小金井市
貫井北町","⑭福生市
本町局","⑮東大和市
奈良橋局","⑯清瀬市
下宿",,"⑰西多摩
郡檜原局",定量下限値,検出下限値
,,,,,,5月18日～25日,5月18日～25日,5月23日～30日,5月18日～25日,5月18日～25日,5月18日～25日,5月18日～25日,5月18日～25日,,,,,,,,5月18日～25日,5月18日～25日,,,,5月18日～25日,5月18日～25日,5月18日～25日,5月18日～25日,5月18日～25日,5月18日～25日,,5月18日～25日,,
,,"1,2,3,7,8PeCDF",0.03,0.007,0.002,0.006,0.008,0.004,0.007,0.004,0.008,0.006,0.007,,,,"1,2,3,7,8PeCDF",0.03,0.006,0.002,0.005,0.003,,0.007,0.002,0.006,0.003,0.006,0.003,0.004,0.005,,0.0062,0.0024,0.0007
,,"2,3,4,7,8PeCDF",0.3,0.007,0.002,0.006,0.007,0.005,0.007,0.005,0.008,0.006,0.005,,,,"2,3,4,7,8PeCDF",0.3,0.004,0.001,0.005,0.005,,0.007,0.002,0.007,0.005,0.008,0.005,0.006,0.005,,0.0074,0.0022,0.0007
,,PeCDFs,,,,0.17,0.21,0.12,0.17,0.12,0.22,0.17,0.18,,,,PeCDFs,,,,0.097,0.084,,,,0.15,0.11,0.16,0.083,0.11,0.11,,0.17,,
,,"1,2,3,4,7,8HxCDF",0.1,0.0024,0.0006,0.0062,0.0083,0.0053,0.0082,0.0051,0.01,0.0062,0.0073,,,,"1,2,3,4,7,8HxCDF",0.1,0.01,0.003,0.005,0.006,,0.0024,0.0006,0.007,0.0041,0.0075,0.0036,0.0053,0.0065,,0.0075,0.0008,0.0002
,,"1,2,3,6,7,8HxCDF",0.1,0.0033,0.0009,0.0057,0.0086,0.0053,0.0079,0.0051,0.011,0.0064,0.0071,,,,"1,2,3,6,7,8HxCDF",0.1,0.009,0.003,0.005,0.004,,0.0033,0.0009,0.007,0.0042,0.0071,0.0039,0.0053,0.0052,,0.0081,0.0011,0.0003
,,"1,2,3,7,8,9HxCDF",0.1,0.0012,0.0003,ND,ND,ND,ND,ND,0.0013,ND,ND,,,,"1,2,3,7,8,9HxCDF",0.1,0.013,0.004,ND,ND,,0.0012,0.0003,ND,ND,ND,ND,ND,ND,,ND,0.0004,0.0001
,,"2,3,4,6,7,8HxCDF",0.1,0.004,0.001,0.005,0.007,0.004,0.006,0.004,0.01,0.005,0.006,,,,"2,3,4,6,7,8HxCDF",0.1,0.01,0.003,0.004,0.005,,0.004,0.001,0.006,0.004,0.005,0.003,0.004,0.005,,0.0081,0.0012,0.0004
,,HxCDFs,,,,0.065,0.099,0.058,0.084,0.054,0.12,0.071,0.085,,,,HxCDFs,,,,0.041,0.04,,,,0.08,0.039,0.078,0.044,0.06,0.059,,0.092,,
,,"1,2,3,4,6,7,8HpCDF",0.01,0.007,0.002,0.019,0.023,0.015,0.023,0.018,0.03,0.016,0.02,,,,"1,2,3,4,6,7,8HpCDF",0.01,0.01,0.003,0.019,0.02,,0.007,0.002,0.022,0.014,0.019,0.015,0.017,0.021,,0.019,0.0023,0.0007
,,"1,2,3,4,7,8,9HpCDF",0.01,0.0027,0.0009,0.0023,0.0045,0.0024,0.0038,0.0039,0.0069,0.0033,0.0038,,,,"1,2,3,4,7,8,9HpCDF",0.01,0.011,0.003,0.004,ND,,0.0027,0.0009,0.0045,0.003,ND,0.0024,0.0036,0.0031,,0.0022,0.0009,0.0003
