,表6  地点別年平均濃度（ppb）,,,,,,注）極性物質及び一部の低沸点の物質については、測定精度が十分ではない。,,,,,,,,,,,,HAPs＋極性物質,,
,,2021年度,,,,,,,,,,,,,,,,,,(単位：ppb）,
,NAME,区部一般環境,,,,,,,,,多摩一般,,,都一般平均,沿道,,,,,,"檜原（ﾊﾞｯ ｸｸﾞﾗｳﾝ
ﾄﾞ)"
,,中央区晴海,国設東京新宿,目黒区碑文谷,大田区東糀谷,板橋区氷川町,練馬区石神井町,足立区西新井,江戸川区春江町,区部一般平均,小金井市本町,東大和市奈良橋,多摩部一般平均,,京葉道路亀戸,環八通り八幡山,２地点沿道平均,甲州街道大原,中山道大和町,４地点沿道平均,
1,Vinylchloride,0.021,< 0.02,< 0.02,< 0.02,< 0.02,< 0.02,< 0.02,0.304,0.049,< 0.02,< 0.02,< 0.02,0.042,0.034,< 0.02,0.021,< 0.02,< 0.02,< 0.02,< 0.02
2,"1,3-Butadiene",0.094,0.058,0.051,0.141,0.045,0.042,0.069,0.072,0.072,0.040,0.042,0.041,0.065,0.222,0.072,0.147,0.083,0.075,0.113,< 0.02
3,Dichloromethane,0.389,0.469,0.417,0.495,0.468,0.492,0.529,0.373,0.454,0.416,0.384,0.400,0.443,0.421,0.510,0.466,0.597,0.497,0.506,0.214
4,Acrylonitrile,0.102,0.061,0.057,0.169,0.053,0.042,0.057,0.058,0.075,0.044,0.052,0.048,0.069,0.079,0.056,0.067,0.068,0.058,0.065,< 0.02
5,"1,1-Dichloroethane",< 0.01,< 0.01,< 0.01,< 0.01,< 0.01,< 0.01,< 0.01,< 0.01,< 0.01,< 0.01,< 0.01,< 0.01,< 0.01,< 0.01,< 0.01,< 0.01,< 0.01,< 0.01,< 0.01,< 0.01
6,Chloroform,0.053,0.050,0.049,0.048,0.052,0.048,0.046,0.040,0.048,0.055,0.039,0.047,0.048,0.048,0.041,0.045,0.048,0.052,0.047,0.028
7,Carbon tetrachloride,0.095,0.094,0.093,0.096,0.093,0.092,0.092,0.094,0.094,0.093,0.093,0.093,0.093,0.097,0.092,0.094,0.094,0.093,0.094,0.088
8,"1,2-Dichloroethane",0.031,0.029,0.028,0.027,0.029,0.027,0.029,0.029,0.029,0.026,0.027,0.027,0.028,0.028,0.027,0.027,0.028,0.031,0.028,0.025
9,Benzene,0.330,0.261,0.266,0.511,0.255,0.240,0.273,0.281,0.302,0.246,0.247,0.247,0.291,0.322,0.299,0.310,0.355,0.350,0.331,0.140
10,Trichloroethylene,0.130,0.122,0.112,0.723,0.155,0.181,0.287,0.160,0.234,0.112,0.093,0.103,0.208,0.305,0.114,0.209,0.121,0.199,0.185,0.034
11,Toluene,1.429,1.333,1.373,1.882,1.814,1.499,2.315,1.684,1.666,1.582,1.724,1.653,1.664,1.930,1.844,1.887,1.963,2.889,2.157,0.400
12,Tetrachloroethylene,0.025,0.027,0.026,0.023,0.026,0.036,0.049,0.020,0.029,0.025,0.016,0.020,0.027,0.029,0.029,0.029,0.031,0.028,0.029,< 0.007
