局名,2014年度(t-CO2換算),2015年度(t-CO2換算),2016年度(t-CO2換算),2017年度(t-CO2換算),2018年度(t-CO2換算),2019年度(t-CO2換算)
総務局,1663,1678,1739,1942,1762,1737
財務局,22257,21568,21415,21446,20670,19507
主税局,4841,4366,4377,4420,4239,4023
生活文化局,20613,20554,19088,15971,18599,20420
オリンピック・パラリンピック準備局,13878,13966,14620,15899,14756,15814
都市整備局（住宅政策本部を含む）,3344,3524,3706,3357,3012,3131
環境局,12785,11962,11235,11068,11328,11387
福祉保健局,47116,43086,42721,41892,39240,37671
病院経営本部,109129,108014,109398,109584,108698,108607
産業労働局,48173,49369,46927,47126,46273,42814
中央卸売市場,82176,81929,87858,89121,102721,99715
建設局,78142,77697,76776,75906,71776,72265
港湾局,13761,13604,13316,13522,12959,11354
教育庁,79476,79243,83980,86616,85765,84620
警視庁,163460,162598,161242,162655,159857,158208
消防庁,46050,45950,47143,48223,46875,46012
共済組合,3622,3583,3554,3451,3463,3162
交通局,322892,326183,326874,324136,328163,326455
水道局,406294,414815,405642,412575,409030,407227
下水道局,799307,794124,795857,795529,787537,785772
