測定物質,測定局名,測定局の区分,４月（μg/m3）,５月（μg/m3）,６月（μg/m3）,７月（μg/m3）,８月（μg/m3）,９月（μg/m3）,１０月（μg/m3）,１１月（μg/m3）,１２月（μg/m3）,１月（μg/m3）,２月（μg/m3）,３月（μg/m3）,年間（μg/m3）,環境基準等（μg/m3）注1,定量下限値（μg/m3）注2,検出下限値（μg/m3）注2,公定法（μg/m3）注3（毎月24時間）
ﾍﾞﾝｾﾞﾝ,江東区大島,一般,0.62,0.71,0.56,0.79,0.63,0.6,0.71,0.63,0.91,0.78,0.57,0.66,0.69,3,0.2,0.06,―
ﾍﾞﾝｾﾞﾝ,大田区東糀谷,一般,1.28,1.35,1.53,2.07,1.37,1,0.85,1.14,1.19,1.01,0.79,0.91,1.21,3,0.2,0.06,1.4
ﾍﾞﾝｾﾞﾝ,板橋区氷川町,一般,0.46,0.45,0.78,0.64,0.41,0.54,0.63,0.83,0.97,0.7,0.58,0.62,0.63,3,0.2,0.06,1
ﾍﾞﾝｾﾞﾝ,環八通り八幡山,自排,0.68,0.68,0.75,0.79,0.67,0.88,1.02,1.08,1.3,1.08,0.81,0.85,0.88,3,0.2,0.06,1.4
ﾄﾘｸﾛﾛｴﾁﾚﾝ,江東区大島,一般,0.75,0.95,0.85,0.79,0.93,1.3,1.4,1.55,1.67,0.98,0.71,0.86,1.07,130,0.2,0.06,―
ﾄﾘｸﾛﾛｴﾁﾚﾝ,大田区東糀谷,一般,2.32,1.61,1.9,2.3,2.22,3.09,2.77,3.55,3.05,1.07,1.15,1.76,2.22,130,0.2,0.06,4.1
ﾄﾘｸﾛﾛｴﾁﾚﾝ,板橋区氷川町,一般,0.74,0.85,1.59,1.3,1.14,1.44,1.38,1.57,1.81,0.82,0.7,0.7,1.16,130,0.2,0.06,1.2
ﾄﾘｸﾛﾛｴﾁﾚﾝ,環八通り八幡山,自排,0.84,0.93,1.02,0.9,0.73,0.96,0.8,0.68,0.84,0.5,0.32,0.38,0.74,130,0.2,0.06,0.8
ﾃﾄﾗｸﾛﾛｴﾁﾚﾝ,江東区大島,一般,0.13,0.15,0.13,0.1,0.1,0.2,0.3,0.28,0.4,0.22,0.15,0.17,0.2,200,0.2,0.06,―
ﾃﾄﾗｸﾛﾛｴﾁﾚﾝ,大田区東糀谷,一般,0.13,0.13,0.14,0.11,0.09,0.17,0.17,0.28,0.27,0.18,0.09,0.11,0.16,200,0.2,0.06,0.31
ﾃﾄﾗｸﾛﾛｴﾁﾚﾝ,板橋区氷川町,一般,0.17,0.2,0.26,0.19,0.14,0.26,0.18,0.22,0.26,0.12,0.1,0.1,0.18,200,0.2,0.06,0.25
ﾃﾄﾗｸﾛﾛｴﾁﾚﾝ,環八通り八幡山,自排,0.13,0.16,0.16,0.13,0.09,0.17,0.23,0.2,0.25,0.14,0.08,0.1,0.15,200,0.2,0.06,0.24
ｼﾞｸﾛﾛﾒﾀﾝ,江東区大島,一般,1.36,1.49,1.34,1.32,1.15,1.89,2.07,1.87,2.52,1.79,1.85,1.8,1.7,150,0.05,0.02,―
ｼﾞｸﾛﾛﾒﾀﾝ,大田区東糀谷,一般,1.15,0.88,1,0.9,0.79,1.41,1.2,1.83,1.83,1.35,1.32,1.15,1.24,150,0.05,0.02,1.8
ｼﾞｸﾛﾛﾒﾀﾝ,板橋区氷川町,一般,0.96,0.76,1.48,0.93,0.66,1.28,1.32,1.76,1.76,0.92,0.95,0.91,1.13,150,0.05,0.02,1.8
ｼﾞｸﾛﾛﾒﾀﾝ,環八通り八幡山,自排,0.71,0.69,0.84,0.71,0.52,1.04,1.06,1.32,1.47,0.93,0.68,0.77,0.89,150,0.05,0.02,1.5
塩化ﾋﾞﾆﾙﾓﾉﾏｰ,江東区大島,一般,0.02,0.05,0.05,0.03,0.03,0.02,0.02,0.01,0.03,0.02,0.01,0.03,0.03,10,0.03,0.01,―
塩化ﾋﾞﾆﾙﾓﾉﾏｰ,大田区東糀谷,一般,0.02,0.04,0.04,0.02,0.03,0.02,0.03,0.04,0.05,0.04,0.02,0.04,0.03,10,0.03,0.01,0.05
塩化ﾋﾞﾆﾙﾓﾉﾏｰ,板橋区氷川町,一般,0.01,0.03,0.04,0.01,0.02,0.01,0.01,0.02,0.03,0.02,0.01,0.02,0.02,10,0.03,0.01,0.03
塩化ﾋﾞﾆﾙﾓﾉﾏｰ,環八通り八幡山,自排,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.03,0.02,0.01,0.01,0.01,10,0.03,0.01,0.02
"1,3-ﾌﾞﾀｼﾞｴﾝ",江東区大島,一般,0.06,0.08,0.08,0.11,0.1,0.26,0.09,0.08,0.13,0.08,0.06,0.07,0.1,2.5,0.02,0.006,―
"1,3-ﾌﾞﾀｼﾞｴﾝ",大田区東糀谷,一般,0.18,0.3,0.2,0.21,0.24,0.22,0.22,0.17,0.19,0.14,0.11,0.3,0.21,2.5,0.02,0.006,0.16
"1,3-ﾌﾞﾀｼﾞｴﾝ",板橋区氷川町,一般,0.07,0.07,0.16,0.08,0.06,0.1,0.08,0.11,0.16,0.09,0.05,0.06,0.09,2.5,0.02,0.006,0.08
"1,3-ﾌﾞﾀｼﾞｴﾝ",環八通り八幡山,自排,0.11,0.12,0.12,0.14,0.14,0.18,0.19,0.19,0.24,0.18,0.13,0.13,0.16,2.5,0.02,0.006,0.02
ｱｸﾘﾛﾆﾄﾘﾙ,江東区大島,一般,0.13,0.2,0.15,0.2,0.14,0.11,0.08,0.04,0.06,0.05,0.04,0.04,0.11,2,0.1,0.03,―
ｱｸﾘﾛﾆﾄﾘﾙ,大田区東糀谷,一般,0.48,1.11,0.61,0.7,0.55,0.34,0.44,0.38,0.34,0.19,0.19,0.32,0.47,2,0.1,0.03,0.3
ｱｸﾘﾛﾆﾄﾘﾙ,板橋区氷川町,一般,0.05,0.05,0.15,0.12,0.06,0.06,0.05,0.06,0.08,0.04,0.03,0.04,0.06,2,0.1,0.03,0.06
ｱｸﾘﾛﾆﾄﾘﾙ,環八通り八幡山,自排,0.12,0.11,0.07,0.09,0.08,0.07,0.09,0.08,0.12,0.05,0.05,0.04,0.08,2,0.1,0.03,0.05
ｸﾛﾛﾎﾙﾑ,江東区大島,一般,0.11,0.12,0.12,0.12,0.11,0.12,0.14,0.11,0.14,0.11,0.11,0.11,0.12,18,0.04,0.01,―
