測定物質,測定局名,測定局の区分,４月(μg/m3),５月(μg/m3),６月(μg/m3),７月(μg/m3),８月(μg/m3),９月(μg/m3),１０月(μg/m3),１１月(μg/m3),１２月(μg/m3),１月(μg/m3),２月(μg/m3),３月(μg/m3),年間(μg/m3),環境基準等(μg/m3)注1,定量下限値(μg/m3)注2,検出下限値(μg/m3)注2,公定法(μg/m3)注3（毎月24時間）
ﾍﾞﾝｾﾞﾝ,江東区大島,一般,0.81,0.81,0.66,0.96,0.57,0.6,0.64,0.95,0.93,0.76,0.7,0.73,0.76,3,0.2,0.06,―
ﾍﾞﾝｾﾞﾝ,大田区東糀谷,一般,1.1,1.91,1.3,2.13,1.37,1.15,0.8,1.27,0.88,0.97,0.84,1.31,1.26,3,0.2,0.06,1.7
ﾍﾞﾝｾﾞﾝ,板橋区氷川町,一般,0.5,0.54,0.6,0.48,0.43,0.56,0.49,0.88,1.02,0.84,0.73,0.74,0.65,3,0.2,0.06,0.9
ﾍﾞﾝｾﾞﾝ,環八通り八幡山,自排,0.75,0.72,0.72,0.59,0.74,0.87,0.75,1.09,1.24,0.99,0.83,0.8,0.84,3,0.2,0.06,1
ﾄﾘｸﾛﾛｴﾁﾚﾝ,江東区大島,一般,0.95,0.77,0.69,0.61,0.73,0.89,1.32,2.2,1.56,1.17,0.88,0.83,1.04,130,0.2,0.06,―
ﾄﾘｸﾛﾛｴﾁﾚﾝ,大田区東糀谷,一般,1.33,1.66,1.46,1.03,1.75,2.34,2.91,3.81,2.47,1.99,2.1,1.83,2.05,130,0.2,0.06,2.5
ﾄﾘｸﾛﾛｴﾁﾚﾝ,板橋区氷川町,一般,0.74,0.92,1.6,1.23,1.43,1.42,1.03,1.73,1.49,0.99,0.69,0.93,1.17,130,0.2,0.06,1.2
ﾄﾘｸﾛﾛｴﾁﾚﾝ,環八通り八幡山,自排,0.42,0.49,0.56,0.54,0.58,0.62,0.61,0.82,0.7,0.46,0.39,0.41,0.55,130,0.2,0.06,0.7
ﾃﾄﾗｸﾛﾛｴﾁﾚﾝ,江東区大島,一般,0.13,0.13,0.08,0.09,0.09,0.09,0.18,0.3,0.24,0.16,0.13,0.14,0.14,200,0.2,0.06,―
ﾃﾄﾗｸﾛﾛｴﾁﾚﾝ,大田区東糀谷,一般,0.14,0.15,0.09,0.1,0.1,0.11,0.16,0.31,0.2,0.18,0.11,0.14,0.15,200,0.2,0.06,0.21
