規模,和暦年,西暦年,年平均・月・前年同月比,調査産業計,調査産業計／前年比・前年同月比（％）,鉱業，採石業，砂利採取業,建設業,製造業,電気・ガス・熱供給・水道業,情報通信業,運輸業，郵便業,卸売業，小売業,金融業，保険業,不動産業，物品賃貸業,学術研究，専門・技術サービス業,宿泊業，飲食サービス業,生活関連サービス業，娯楽業,教育，学習支援業,医療，福祉,複合サービス事業,サービス業（他に分類されないもの）
５人以上,平成28,2016,年平均,96.1,0.9,－,88.7,93,85.7,91.3,96.9,97.6,96.3,94,97.6,103.9,95.6,100.9,96.8,101.7,95
５人以上,平成29,2017,年平均,97.6,1.6,－,89.7,91.5,100.8,94,96.6,99.3,98.1,96.9,99.1,106.5,98.5,102.9,99,99.8,96.7
５人以上,平成30,2018,年平均,98.8,1.2,－,89.8,98.2,116.2,95.3,97.2,99.7,99.4,97.3,99.3,108.6,96.3,103.1,95.4,90.1,100.1
５人以上,平成31・令和元,2019,年平均,100.7,1.9,－,94.7,100.4,106.8,97.4,98.5,100.7,100.7,99.1,100.3,109.3,98.8,102.1,100.1,101.5,102.1
５人以上,令和２,2020,年平均,100,-0.7,－,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
５人以上,令和３,2021,年平均,99.2,-0.8,－,102.7,97.5,102.3,102.6,97.7,99.6,100.1,101.3,100.2,92.9,96.1,99.9,100.6,98.1,98.4
５人以上,令和３,2021,1月,98.9,-2.3,－,100.1,95.6,106.5,101,99.3,99.5,100.1,100.5,99.6,95.8,99.2,98.1,98.6,99.1,98
５人以上,令和３,2021,2月,98.8,-2.2,－,100.3,95.9,108.3,100.9,98.4,99.5,99.6,100,99.3,93.9,97.8,98.5,98.6,99.1,99.2
５人以上,令和３,2021,3月,98.1,-1.9,－,100,96.2,98.5,100.5,97,99.3,99.3,99.7,99.6,93.4,95.5,94.4,98,97.3,98.7
５人以上,令和３,2021,4月,99.9,-1,－,102,98.8,101.6,104.4,99,100.1,101.5,103.2,100.7,92.6,96.9,98.7,101.7,98.5,98.8
５人以上,令和３,2021,5月,100.2,0.6,－,103.9,98.8,101.6,104.2,98.5,100.3,101.3,102.6,101.8,92,95.9,102.5,101.7,98.6,99.1
５人以上,令和３,2021,6月,99.8,0.1,－,103.9,98.9,100.9,104,97.8,99.8,100.9,102.2,101.4,92.3,95.2,102.7,101.7,98.4,97.9
５人以上,令和３,2021,7月,99.4,-0.4,－,104.1,98.1,101,103.3,97.6,99.5,100.1,102.3,100.4,92.8,95,101.4,101.2,98.1,98
５人以上,令和３,2021,8月,99,-0.5,－,103.8,97.9,101.7,103,97.2,99.7,100,101.6,99.8,90,95,98.5,101.2,97.9,97.4
５人以上,令和３,2021,9月,98.9,-0.6,－,103.6,98.1,102.2,102.6,96.9,99.5,99.5,100.8,99.8,91.2,95.3,100.4,100.6,97.6,97.2
５人以上,令和３,2021,10月,99.3,-0.2,－,103.7,97.8,101.9,103.1,97.4,99.4,100,101,99.8,92.6,95.2,101.4,101,97.3,98.4
５人以上,令和３,2021,11月,99.3,-0.3,－,103.5,97.6,101.3,102.5,97,99.3,99.7,100.8,99.9,94,96.4,100.7,101,97.2,99
５人以上,令和３,2021,12月,99.3,-0.3,－,103.5,96.8,101.7,102.2,96.7,99.2,99.2,100.9,100.2,93.8,96,101.1,101.5,98.4,99.2
５人以上,令和４,2022,1月,99.1,0.2,100.4,103.3,96.4,101.3,102.3,96.3,99,97.9,102.4,100.3,93.7,95.3,100.1,101.5,97,98.8
５人以上,令和４,2022,1月（前年同月比（％））,－,－,－,3.2,0.8,-4.9,1.3,-3,-0.5,-2.2,1.9,0.7,-2.2,-3.9,2,2.9,-2.1,0.8
30人以上,平成28,2016,年平均,94.9,0.4,－,86.5,91.6,82.5,90.2,96.2,96.4,96.9,92.8,100.3,100.8,98.7,100.3,98.7,106.2,93.7
30人以上,平成29,2017,年平均,96.2,1.4,－,86.6,90,92.4,92.9,95.9,97.8,98.9,93.9,101.8,103.4,100.2,102.1,99.7,96.6,95.5
30人以上,平成30,2018,年平均,97.7,1.6,－,87,98.3,116.9,94.6,97.1,98.3,99.7,95.4,102.1,108.7,94,101.8,92.8,86.5,100
30人以上,平成31・令和元,2019,年平均,99.9,2.2,－,92.9,101.1,102,97,98.1,99.6,101,98.1,101.6,108.7,96.9,101.4,98.6,101.2,102.6
30人以上,令和２,2020,年平均,100,0.2,－,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
30人以上,令和３,2021,年平均,99.3,-0.7,－,102.8,97.5,92.1,102.6,97.9,99.1,99.8,103.1,100.8,91.4,96.1,98.4,100.4,97.8,98.3
30人以上,令和３,2021,1月,98.8,-1.6,－,99.9,94.8,100.2,101.2,99.7,99,100.1,101.3,99.2,96.5,98.8,97.6,98.6,99.5,97.7
30人以上,令和３,2021,2月,98.9,-1.3,－,99.6,95.2,101.4,101,98.8,99,99.7,101.1,98.9,95.2,97.8,97.9,98.4,99.9,99.1
30人以上,令和３,2021,3月,98,-1.5,－,99.3,95.5,90.9,100.6,97,98.8,99.2,101.3,99,93,95.9,92.7,97.4,97.2,98.7
30人以上,令和３,2021,4月,100.1,-0.9,－,100.8,99.1,92.2,104.5,99.3,100.2,101.5,104.2,101.3,91.4,96.7,96.3,101.4,98,98.8
30人以上,令和３,2021,5月,100.6,0.3,－,104,99.4,91.5,104.3,98.8,99.9,101,103.6,103.3,90.2,96.2,101.3,101.8,98,99.1
30人以上,令和３,2021,6月,100.1,-0.1,－,104.1,99.5,90.7,104,97.9,99.3,100.5,103.6,103.2,89.7,95.6,101.7,101.6,97.7,97.8
30人以上,令和３,2021,7月,99.6,-0.7,－,104.5,98.5,90.3,103,97.7,99,99.7,103.8,101.7,91.1,95.7,99.6,101.2,97.4,97.7
30人以上,令和３,2021,8月,99.1,-0.7,－,104.6,98.1,90.3,102.8,97.4,99.1,99.6,103.6,100.6,91.2,95.8,96.3,101,97.4,97.2
30人以上,令和３,2021,9月,99.1,-0.5,－,104.5,98.4,89.9,102.4,97,98.9,99.2,103.3,100.7,90.6,95.6,99.1,100.9,96.6,97.1
30人以上,令和３,2021,10月,99.4,-0.2,－,104.1,98,89.6,103,97.5,98.9,99.6,103.6,100.7,89.5,95.6,100,100.8,96.6,98.4
30人以上,令和３,2021,11月,99.1,-0.6,－,104,97.5,88.9,102.4,97.1,98.6,99.3,103.6,100.6,88.9,94.9,99,100.7,96.5,98.9
30人以上,令和３,2021,12月,99.1,-0.4,－,103.7,96.3,89.4,102.1,96.8,98.5,98.6,103.9,100.8,90,94.6,99.4,101.3,98.2,99.2
30人以上,令和４,2022,1月,99,0.2,95.3,103.3,96.3,88.9,102.3,96.3,98.6,97.1,106.3,100.6,89.9,93.7,98.1,101.3,96.5,98.9
30人以上,令和４,2022,1月（前年同月比（％））,－,－,－,3.4,1.6,-11.3,1.1,-3.4,-0.4,-3,4.9,1.4,-6.8,-5.2,0.5,2.7,-3,1.2
,,,,,,,,,,,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）令和４年１月分（確報）,,,,,,,,,,,,,,,,,,,,,
第20表　規模、産業別常用雇用指数,,,,,,,,,,,,,,,,,,,,,
（令和２年平均＝100）,,,,,,,,,,,,,,,,,,,,,
