事業所規模,産業,和暦年,西暦年,年平均・月,一般労働者／現金給与総額(円),一般労働者／きまって支給する給与(円),一般労働者／所定内給与(円),一般労働者／所定外給与(円),一般労働者／特別に支払われた給与(円),パートタイム労働者／現金給与総額(円),パートタイム労働者／きまって支給する給与(円),パートタイム労働者／所定内給与(円),パートタイム労働者／所定外給与(円),パートタイム労働者／特別に支払われた給与(円)
５人以上,TL 調査産業計,平成29,2017,年平均,512403,401177,373347,27830,111226,108174,105686,102103,3583,2488
５人以上,TL 調査産業計,平成30,2018,年平均,521638,405574,378100,27474,116064,111177,108686,104435,4251,2491
５人以上,TL 調査産業計,平成31・令和元,2019,年平均,521996,406791,377571,29220,115205,109857,107432,103332,4100,2425
５人以上,TL 調査産業計,令和２,2020,年平均,508680,401124,374479,26645,107556,107401,104399,100985,3414,3002
５人以上,TL 調査産業計,令和３,2021,年平均,507103,401179,373082,28097,105924,112662,109149,105864,3285,3513
５人以上,TL 調査産業計,令和４,2022,年平均,523843,408877,379120,29757,114966,117928,114752,110885,3867,3176
５人以上,TL 調査産業計,令和４,2022,1月,421715,401898,373280,28618,19817,111283,109944,106276,3668,1339
５人以上,TL 調査産業計,令和４,2022,2月,415372,401030,373209,27821,14342,109667,108670,105421,3249,997
５人以上,TL 調査産業計,令和４,2022,3月,465044,409442,379543,29899,55602,112555,109907,106665,3242,2648
５人以上,TL 調査産業計,令和４,2022,4月,449288,416990,384520,32470,32298,115594,114723,110899,3824,871
５人以上,TL 調査産業計,令和４,2022,5月,439718,407056,377327,29729,32662,114714,113974,110024,3950,740
５人以上,TL 調査産業計,令和４,2022,6月,816094,408030,378993,29037,408064,126757,117219,113117,4102,9538
５人以上,TL 調査産業計,令和４,2022,7月,579453,411063,380595,30468,168390,123271,118303,114154,4149,4968
５人以上,TL 調査産業計,令和４,2022,8月,423123,407585,379129,28456,15538,117709,116626,112698,3928,1083
５人以上,TL 調査産業計,令和４,2022,9月,435933,408882,380211,28671,27051,118787,118118,114059,4059,669
５人以上,TL 調査産業計,令和４,2022,10月,430695,413684,383198,30486,17011,117855,117092,112899,4193,763
５人以上,TL 調査産業計,令和４,2022,11月,440470,410634,379869,30765,29836,118661,117011,113112,3899,1650
５人以上,TL 調査産業計,令和４,2022,12月,965172,410260,379580,30680,554912,127663,114983,110892,4091,12680
５人以上,"C 鉱業,採石業,砂利採取業",平成29,2017,年平均,－,－,－,－,－,－,－,－,－,－
５人以上,"C 鉱業,採石業,砂利採取業",平成30,2018,年平均,728116,546464,518505,27959,181652,117294,117294,117294,－,－
５人以上,"C 鉱業,採石業,砂利採取業",平成31・令和元,2019,年平均,808423,581695,549289,32406,226728,153129,141479,141458,21,11650
５人以上,"C 鉱業,採石業,砂利採取業",令和２,2020,年平均,831701,572695,537550,35145,259006,213524,197228,196833,395,16296
５人以上,"C 鉱業,採石業,砂利採取業",令和３,2021,年平均,815349,570144,529299,40845,245205,385894,360313,357729,2584,25581
５人以上,"C 鉱業,採石業,砂利採取業",令和４,2022,年平均,777019,595580,553158,42422,181439,369602,349547,347646,1901,20055
５人以上,"C 鉱業,採石業,砂利採取業",令和４,2022,1月,579922,559603,517603,42000,20319,382897,382897,379518,3379,－
５人以上,"C 鉱業,採石業,砂利採取業",令和４,2022,2月,586010,584449,539199,45250,1561,419091,419091,415636,3455,－
５人以上,"C 鉱業,採石業,砂利採取業",令和４,2022,3月,572477,568967,523650,45317,3510,395000,395000,394533,467,－
５人以上,"C 鉱業,採石業,砂利採取業",令和４,2022,4月,614718,596064,545973,50091,18654,303067,303067,300867,2200,－
５人以上,"C 鉱業,採石業,砂利採取業",令和４,2022,5月,598191,598146,551792,46354,45,344385,344385,343539,846,－
５人以上,"C 鉱業,採石業,砂利採取業",令和４,2022,6月,1370752,590308,555507,34801,780444,391000,391000,387500,3500,－
５人以上,"C 鉱業,採石業,砂利採取業",令和４,2022,7月,732797,608640,567978,40662,124157,850750,397000,397000,－,453750
５人以上,"C 鉱業,採石業,砂利採取業",令和４,2022,8月,605273,603507,564019,39488,1766,242750,242750,242750,－,－
５人以上,"C 鉱業,採石業,砂利採取業",令和４,2022,9月,610135,608461,568933,39528,1674,256000,256000,253500,2500,－
５人以上,"C 鉱業,採石業,砂利採取業",令和４,2022,10月,608418,606643,566426,40217,1775,174500,174500,167250,7250,－
５人以上,"C 鉱業,採石業,砂利採取業",令和４,2022,11月,847637,596002,554322,41680,251635,190857,190857,190857,－,－
５人以上,"C 鉱業,採石業,砂利採取業",令和４,2022,12月,1657602,632044,589068,42976,1025558,579000,579000,579000,－,－
５人以上,D 建設業,平成29,2017,年平均,512977,405048,364353,40695,107929,123286,119829,117618,2211,3457
５人以上,D 建設業,平成30,2018,年平均,530091,403408,360426,42982,126683,123145,116365,114863,1502,6780
５人以上,D 建設業,平成31・令和元,2019,年平均,567922,428912,388710,40202,139010,153969,145772,141468,4304,8197
５人以上,D 建設業,令和２,2020,年平均,540233,410522,373727,36795,129711,165565,155482,148592,6890,10083
５人以上,D 建設業,令和３,2021,年平均,527323,410007,373805,36202,117316,174577,163895,159919,3976,10682
５人以上,D 建設業,令和４,2022,年平均,578359,440823,405349,35474,137536,142623,137320,135624,1696,5303
５人以上,D 建設業,令和４,2022,1月,441707,433283,400036,33247,8424,137440,135350,133805,1545,2090
５人以上,D 建設業,令和４,2022,2月,441710,438257,404257,34000,3453,147661,145743,144206,1537,1918
５人以上,D 建設業,令和４,2022,3月,520613,447101,409990,37111,73512,147820,145277,143344,1933,2543
５人以上,D 建設業,令和４,2022,4月,467284,446158,410380,35778,21126,149406,146619,144800,1819,2787
５人以上,D 建設業,令和４,2022,5月,446790,428118,394930,33188,18672,141297,139161,137585,1576,2136
５人以上,D 建設業,令和４,2022,6月,942170,437473,402693,34780,504697,155113,146642,145160,1482,8471
５人以上,D 建設業,令和４,2022,7月,651775,446924,408917,38007,204851,152874,133260,131055,2205,19614
