事業所規模,産業,和暦年,西暦年,年平均・月,一般労働者／前月末労働者数(人),一般労働者／本月中の増加労働者数(人),一般労働者／本月中の減少労働者数(人),一般労働者／本月末労働者数(人),パートタイム労働者／前月末労働者数(人),パートタイム労働者／本月中の増加労働者数(人),パートタイム労働者／本月中の減少労働者数(人),パートタイム労働者／本月末労働者数(人)
30人以上,TL 調査産業計,平成29,2017,年平均,4153340,68888,63539,4158925,995050,41724,39298,997240
30人以上,TL 調査産業計,平成30,2018,年平均,4429433,73133,70615,4432896,1109149,39862,40537,1107528
30人以上,TL 調査産業計,平成31・令和元,2019,年平均,4522994,79239,70562,4532077,1129826,50166,48291,1131296
30人以上,TL 調査産業計,令和２,2020,年平均,4572744,73233,70865,4575471,1104527,40137,46840,1097464
30人以上,TL 調査産業計,令和３,2021,年平均,4615185,71222,71548,4614973,1020940,36994,38231,1019590
30人以上,TL 調査産業計,令和４,2022,年平均,4601536,74360,70183,4606005,992142,38461,36966,993344
30人以上,TL 調査産業計,令和４,2022,1月,4560531,59356,67069,4552489,1002228,22011,25894,998674
30人以上,TL 調査産業計,令和４,2022,2月,4579258,44238,49738,4573215,977602,27345,32873,972617
30人以上,TL 調査産業計,令和４,2022,3月,4586917,51833,76335,4562709,954134,24682,38138,940384
30人以上,TL 調査産業計,令和４,2022,4月,4492796,298078,173854,4618790,1010178,70503,78620,1000291
30人以上,TL 調査産業計,令和４,2022,5月,4624157,68048,67831,4624974,995739,48686,31666,1012159
30人以上,TL 調査産業計,令和４,2022,6月,4605400,48893,57107,4596742,1031733,42311,48857,1025631
30人以上,TL 調査産業計,令和４,2022,7月,4654926,66470,76593,4645935,961684,42440,27258,975734
30人以上,TL 調査産業計,令和４,2022,8月,4628208,42005,58755,4610844,995193,32712,33781,994738
30人以上,TL 調査産業計,令和４,2022,9月,4630054,46938,48971,4627825,979561,38093,29696,988154
30人以上,TL 調査産業計,令和４,2022,10月,4591156,78466,72032,4598425,1017368,42057,40593,1017997
30人以上,TL 調査産業計,令和４,2022,11月,4607784,47167,47238,4607603,1007826,35652,29764,1013824
30人以上,TL 調査産業計,令和４,2022,12月,4657241,40831,46671,4652508,972454,35041,26453,979935
30人以上,"C 鉱業,採石業,砂利採取業",平成29,2017,年平均,－,－,－,－,－,－,－,－
30人以上,"C 鉱業,採石業,砂利採取業",平成30,2018,年平均,1391,31,35,1388,1,0,0,1
30人以上,"C 鉱業,採石業,砂利採取業",平成31・令和元,2019,年平均,1370,26,29,1366,12,0,0,12
30人以上,"C 鉱業,採石業,砂利採取業",令和２,2020,年平均,1446,30,22,1454,13,1,0,14
30人以上,"C 鉱業,採石業,砂利採取業",令和３,2021,年平均,1449,18,24,1441,16,1,1,16
30人以上,"C 鉱業,採石業,砂利採取業",令和４,2022,年平均,1326,25,37,1313,8,0,1,8
