規模,和暦年,西暦年,年平均・月・前年同月比,調査産業計,調査産業計／前年比・前年同月比（％）,鉱業，採石業，砂利採取業,建設業,製造業,電気・ガス・熱供給・水道業,情報通信業,運輸業，郵便業,卸売業，小売業,金融業，保険業,不動産業，物品賃貸業,学術研究，専門・技術サービス業,宿泊業，飲食サービス業,生活関連サービス業，娯楽業,教育，学習支援業,医療，福祉,複合サービス事業,サービス業（他に分類されないもの）
30人以上,令和３,2021,8月,101.9,7,－,97.8,101.4,85.9,96.2,91.8,117.7,86.9,110.5,100.7,106.6,119.8,75.5,105.3,71.2,114.8
30人以上,令和３,2021,9月,107.1,9.5,－,100.7,110.5,86.4,99.3,103.1,115.6,93,113.6,104.9,87.5,134.3,114.2,112.2,107.6,117
30人以上,令和３,2021,10月,112.1,4.7,－,107.6,116.4,100.8,104.8,95.9,126.5,97.1,130.1,115.9,147.6,129.4,140.8,120.6,97.3,113.8
30人以上,令和３,2021,11月,114.6,7.9,－,106.3,116.4,99,105.4,104.6,127.5,99.7,130.1,116.5,196.8,139.1,144.8,107.1,94.2,119.1
30人以上,令和３,2021,12月,113.8,7.2,－,104.4,114.6,88.7,100.5,112.3,124.3,97.1,124.7,115.2,229.6,147,120.4,98.6,162.3,122.2
30人以上,令和４,2022,１月,109.2,7.2,105.6,88.4,116.7,100.6,100,103.1,126.1,90.8,112.5,108.3,235.1,131.7,100,103.4,111.1,128.1
30人以上,令和４,2022,２月,111.8,7.8,116.2,103.3,122.5,101.7,107.3,106.7,121.7,90.8,116.4,116.6,140.5,149.2,106.1,96.6,88.1,124
30人以上,令和４,2022,２月（前年同月比（％））,－,－,－,-2.8,18.8,18.4,7.4,19.5,6.3,2.1,6.8,1.2,90.1,12.4,-10.4,-12.5,6,16.4
,,,,,,,,,,,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）令和４年２月分,,,,,,,,,,,,,,,,,,,,,
第19表　規模、産業別労働時間指数（所定外労働時間）,,,,,,,,,,,,,,,,,,,,,
（令和２年平均＝100）,,,,,,,,,,,,,,,,,,,,,
