事業所規模,産業,和暦年,西暦年,年平均・月,一般労働者／前月末労働者数(人),一般労働者／本月中の増加労働者数(人),一般労働者／本月中の減少労働者数(人),一般労働者／本月末労働者数(人),パートタイム労働者／前月末労働者数(人),パートタイム労働者／本月中の増加労働者数(人),パートタイム労働者／本月中の減少労働者数(人),パートタイム労働者／本月末労働者数(人)
５人以上,TL 調査産業計,平成29,2017,年平均,5626001,95641,89650,5632639,1859855,80816,77003,1863021
５人以上,TL 調査産業計,平成30,2018,年平均,5862493,96940,94894,5865943,2103912,83058,82494,2103072
５人以上,TL 調査産業計,平成31・令和元,2019,年平均,5992539,106253,96499,6003691,2112341,97378,94158,2114164
５人以上,TL 調査産業計,令和２,2020,年平均,6055773,96546,94394,6058950,2020556,77816,91936,2005412
５人以上,TL 調査産業計,令和３,2021,年平均,6090445,93448,94813,6089731,1913891,72123,72114,1913248
５人以上,TL 調査産業計,令和４,2022,年平均,6010548,96260,92112,6015422,1948993,74553,71206,1951615
５人以上,TL 調査産業計,令和４,2022,1月,5994186,80741,88045,5986497,1932698,43074,52345,1923812
５人以上,TL 調査産業計,令和４,2022,2月,5994393,60517,70373,5984122,1919423,56226,67198,1908866
５人以上,TL 調査産業計,令和４,2022,3月,5993026,73799,100895,5966490,1897371,64206,85409,1875608
５人以上,TL 調査産業計,令和４,2022,4月,5885786,360609,212925,6037711,1956193,127083,138355,1940680
５人以上,TL 調査産業計,令和４,2022,5月,6053975,95590,91274,6059719,1925231,88493,72143,1940153
５人以上,TL 調査産業計,令和４,2022,6月,6030364,69332,77902,6022095,1969508,80051,74798,1974460
５人以上,TL 調査産業計,令和４,2022,7月,6077707,81540,94141,6065902,1913295,74432,56036,1930895
５人以上,TL 調査産業計,令和４,2022,8月,6037714,56533,77634,6016387,1960816,66642,68741,1958943
５人以上,TL 調査産業計,令和４,2022,9月,6038824,62434,68469,6031837,1940539,76693,56183,1962001
５人以上,TL 調査産業計,令和４,2022,10月,5989854,97062,96337,5992273,1996529,79923,69641,2005117
