事業所規模,和暦年,西暦年,年平均・月・前年比・前年同月比,調査産業計,鉱業，採石業，砂利採取業,建設業,製造業,電気・ガス・熱供給・水道業,情報通信業,運輸業，郵便業,卸売業，小売業,金融業，保険業,不動産業，物品賃貸業,学術研究，専門・技術サービス業,宿泊業，飲食サービス業,生活関連サービス業，娯楽業,教育，学習支援業,医療，福祉,複合サービス事業,サービス業（他に分類されないもの）
５人以上,平成29,2017,年平均,100.2,－,98,102.3,95.4,96.6,112,96.7,97.9,101.6,97.1,117.2,86.1,107.5,99.6,96,96.6
５人以上,平成30,2018,年平均,100,－,96.7,101.2,105.9,97.9,109,102.7,98.7,103.4,99.4,116.1,88.3,103.9,97.9,108.8,96
５人以上,平成31・令和元,2019,年平均,100.5,－,103.3,101,107.6,99.7,110,100.8,99.5,98.3,104.1,108.4,91.8,100.3,96.9,101.7,100.5
５人以上,令和２,2020,年平均,100,－,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
５人以上,令和３,2021,年平均,101.3,－,99.6,100.7,106.9,99.8,99.6,101.6,91.4,106.1,97.4,109.1,105,99.2,105.3,100.1,103.1
５人以上,令和４,2022,年平均,103,104.5,106.3,98.9,97.8,99.8,106.5,103.7,94.3,111,101.1,133,104.9,109.8,100.6,96.2,101.2
５人以上,令和４,2022,1月,101.1,98,104.2,98.7,95.6,98.9,103.5,101.4,91.3,110.6,100.3,130,102.7,106.2,98.3,96.9,99.2
５人以上,令和４,2022,2月,100.9,102.6,105.5,98.8,96,99.1,98,101.3,93,110.8,99.8,125.6,101.7,106.5,98.4,94.6,99.9
５人以上,令和４,2022,3月,103.2,99.6,107.7,99.2,99.3,100.3,108.1,101.1,94.2,112.7,103.1,134.3,101.9,110.3,102,98.1,102.6
５人以上,令和４,2022,4月,104.7,104.1,107.5,100,97.3,101.8,107.7,105.8,96.9,114.6,104.3,133.6,105.2,113.8,98.9,97.2,101.8
５人以上,令和４,2022,5月,102.8,104.6,103.1,98,97.1,99.2,104.9,104.2,93.2,112.9,101.6,136.8,106.1,111.6,96.6,98.4,101.7
５人以上,令和４,2022,6月,102.8,103.6,105.4,99.1,97.6,99.8,105.6,103.9,93.3,109.4,102.5,133.8,107,108.1,99.1,98.9,100.8
５人以上,令和４,2022,7月,104.1,106.8,108.1,99.2,99.5,100.1,108.2,104.6,96.1,110.2,99.5,134.9,108.5,112.3,104.4,92.1,102.7
５人以上,令和４,2022,8月,102.8,105.8,106,98.3,96.5,100.6,106.2,104.4,95.4,107.5,99.7,130.3,105.5,109.5,100,92.8,100.1
５人以上,令和４,2022,9月,103.3,106.7,106,99,99.7,99.6,108.5,104.7,94.9,108.8,100.7,134,101.3,109,101.1,91.9,102.8
５人以上,令和４,2022,10月,103.8,106.3,109,98.3,99.1,99.5,107.1,104.8,95.1,111.8,102.8,133.3,109,112.7,103,93,100.6
５人以上,令和４,2022,11月,103,104.5,107.6,99.2,97.5,99.3,106.8,104.7,94.1,112.2,99.5,131.5,104.6,110.8,101.5,99.9,100.9
５人以上,令和４,2022,12月,103.1,111,105.7,98.6,98.3,99.8,113.7,103.4,93.7,110.3,99.2,137.5,105.6,107.2,103.7,100.4,101.3
５人以上,平成30,2018,年平均（前年比（％））,-0.2,－,-1.4,-1.1,10.9,1.3,-2.7,6.2,0.8,1.8,2.5,-0.9,2.5,-3.3,-1.7,13.3,-0.6
５人以上,平成31・令和元,2019,年平均（前年比（％））,0.5,－,6.9,-0.2,1.6,1.9,0.8,-1.9,0.8,-4.9,4.6,-6.6,4,-3.5,-1,-6.5,4.6
５人以上,令和２,2020,年平均（前年比（％））,-0.5,－,-3.3,-1,-7.1,0.4,-9.1,-0.7,0.6,1.6,-3.9,-7.8,9,-0.2,3.1,-1.7,-0.5
５人以上,令和３,2021,年平均（前年比（％））,1.3,－,-0.3,0.7,6.9,-0.3,-0.3,1.6,-8.6,6.1,-2.6,9.1,4.9,-0.8,5.3,0.2,3.1
５人以上,令和４,2022,年平均（前年比（％））,1.7,－,6.7,-1.8,-8.5,0,6.9,2.1,3.2,4.6,3.8,21.9,-0.1,10.7,-4.5,-3.9,-1.8
５人以上,令和４,2022,1月（前年同月比（％））,1.2,－,2.9,1,-2.8,-0.8,7.6,1.3,0.3,5.9,1.1,24.9,0.1,6.5,-4.8,-6.5,-3.1
５人以上,令和４,2022,2月（前年同月比（％））,1.5,－,8,-0.5,-6,-0.2,1.3,0.9,2.6,7.6,4.1,23.1,1.6,7.8,-4.6,-5.4,-1.1
５人以上,令和４,2022,3月（前年同月比（％））,1.8,－,9.2,-3.1,2.2,0.3,10.1,-0.5,3.9,7.5,4.9,22.3,-2.9,8,-5.9,-3.3,0.4
５人以上,令和４,2022,4月（前年同月比（％））,1.4,－,7.9,-3,-13.7,0.8,6.5,2.7,2.9,5,2.1,19.2,-0.7,12,-9.5,-3.8,-1.6
５人以上,令和４,2022,5月（前年同月比（％））,1.7,－,5,-2.6,-14.7,-0.1,7,2.9,3.2,5.3,4.1,24.6,1.4,13.9,-7.1,-1.6,-2.7
５人以上,令和４,2022,6月（前年同月比（％））,1.7,－,9.1,-2.5,-14.3,1,6.9,3.4,4.8,4.5,2.2,23.3,-0.4,11,-7.1,-2.4,-3.3
５人以上,令和４,2022,7月（前年同月比（％））,2.2,－,9.3,-1.6,-7,-0.3,8,1.8,3.9,3.9,3.4,23.1,-0.5,14.8,-1.1,-7.8,-1.9
５人以上,令和４,2022,8月（前年同月比（％））,2.1,－,8.2,-1.1,-9.1,0.5,7.2,2.2,4.8,2.6,7.2,19.9,-2.8,9.6,-1.6,-1.5,-2.3
