規模,和暦年,西暦年,年平均・月・前年同月比,調査産業計,調査産業計／前年比・前年同月比（％）,鉱業，採石業，砂利採取業,建設業,製造業,電気・ガス・熱供給・水道業,情報通信業,運輸業，郵便業,卸売業，小売業,金融業，保険業,不動産業，物品賃貸業,学術研究，専門・技術サービス業,宿泊業，飲食サービス業,生活関連サービス業，娯楽業,教育，学習支援業,医療，福祉,複合サービス事業,サービス業（他に分類されないもの）
５人以上,平成28,2016,年平均,99.8,0.4,－,92,102.5,94.9,95.4,117.5,94.3,93.8,102.7,100.1,118.6,87.9,110.7,97.5,103.1,98.8
５人以上,平成29,2017,年平均,100.6,0.8,－,94.4,104.3,90.2,94.8,117.2,97,98.2,103.3,99.1,118.3,88.7,107.6,100,99.7,96.1
５人以上,平成30,2018,年平均,101.1,0.4,－,96.6,101.2,98.8,97.7,114.4,106.7,98.4,103,100.8,117.9,92.1,103.4,98.4,111,95.1
５人以上,平成31・令和元,2019,年平均,101.3,0.3,－,103.7,102.1,103,100.7,119.1,100.5,99.2,100.8,105.1,109.9,94.9,98.9,96.1,103,102.1
５人以上,令和２,2020,年平均,100,-1.3,－,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
５人以上,令和３,2021,年平均,100.9,0.9,－,97.2,99.3,105.6,100.9,98.5,101.8,91.1,107.5,96.5,109,102.1,98.4,104.9,102.6,103.6
５人以上,令和３,2021,9月,84.7,0.9,－,79.9,81.2,84,81.8,86.9,86.2,69.4,87.4,79.7,103.5,100.9,80.6,90.9,77.6,90.6
５人以上,令和３,2021,10月,85.5,2.9,－,80.8,80.5,85.2,84.1,88,83.9,70.7,88.2,87.2,105.8,98.6,79.3,94.2,85.4,92.3
５人以上,令和３,2021,11月,87.2,1.3,－,87.8,86,84.3,84.3,89.3,87.2,73.4,91.2,80,109.7,92.9,84.2,90.6,82,94.2
５人以上,令和３,2021,12月,176.1,-0.1,－,189.6,174.4,201,181.9,162.5,183.9,161.3,204.8,157.3,132.7,117.2,204.8,176.2,213.5,163.9
５人以上,令和４,2022,1月,84.7,1.3,70.4,81,77.4,73.7,82.1,89.8,82.5,73.1,101.7,85.5,126.2,96,84.7,87.6,75.8,88.7
５人以上,令和４,2022,2月,83.5,1.8,71.3,81.1,81.9,74.3,80.1,86.9,82.4,74.4,91,83.8,120.1,93.7,83.2,83.9,74,87.1
５人以上,令和４,2022,3月,93.1,3.2,69.5,95.5,90.9,77.2,88.7,101.6,91.4,84.7,93.2,102.1,129.9,97.8,95.6,89.8,77.7,92.7
５人以上,令和４,2022,4月,89.8,1.6,74.5,85.8,80.7,78.7,89.7,94.7,89.6,77,99.9,92.3,129.3,104.4,100.2,85.8,82.9,88.7
５人以上,令和４,2022,5月,88.3,2.4,72.6,82,82.2,74.8,83.4,92.4,86.1,88.8,93.9,93.2,133.1,99.1,87.5,84,78.2,92.9
５人以上,令和４,2022,6月,158,3.7,166.7,171.8,147.1,187.2,178.7,155.4,148.9,176,177.9,158.8,140.5,135.3,189.5,128.7,193,139.2
５人以上,令和４,2022,7月,114.9,3.7,89.3,119.9,122,82.2,101.5,111.6,138.8,79.1,129.5,107,150.2,112.2,117.6,109.5,83.4,104.6
５人以上,令和４,2022,8月,85.2,1.7,73.6,84.1,77.8,74.7,80.4,91.9,84.8,71.5,89.2,92.9,126,97.8,85.6,86.5,72.9,88.9
５人以上,令和４,2022,9月,87.7,3.5,74.2,84.8,78.6,77.7,83.7,94.8,92.1,75.2,89.2,89.6,128.9,93.4,87.5,86.6,71.8,89.6
５人以上,令和４,2022,9月（前年同月比（％））,－,－,－,6.1,-3.2,-7.5,2.3,9.1,6.8,8.4,2.1,12.4,24.5,-7.4,8.6,-4.7,-7.5,-1.1
30人以上,平成28,2016,年平均,100.1,0.2,－,91.5,103.1,96.7,96.6,121.9,92.2,92.5,100.2,101.9,122,80.2,109.2,95.7,111,101
30人以上,平成29,2017,年平均,100.8,0.8,－,96.7,105,94.3,96.8,121.5,96.1,92.5,104.7,98.6,116.8,78.6,107.8,97,105.4,98.2
30人以上,平成30,2018,年平均,102.1,1.2,－,95,103.4,100.9,99,116,107.5,96.1,106.4,99.6,124.5,88.4,104,100.4,115.2,97.8
30人以上,平成31・令和元,2019,年平均,101.7,-0.4,－,104.4,104.6,105.6,102.6,117.6,97.8,99.1,103.7,104.4,115.3,87.2,99.4,96.9,103.1,102.9
30人以上,令和２,2020,年平均,100,-1.7,－,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
30人以上,令和３,2021,年平均,100.9,0.9,－,97.7,98.8,100.4,101.2,97.8,102.2,90.8,104.6,95.5,114.7,101.5,102.5,106.3,102.7,104.2
30人以上,令和３,2021,9月,83.1,0.6,－,77.4,79.3,75.6,81.4,86.8,83.3,68.7,85.4,76.3,109.1,100.9,83.1,90.5,78.8,92.8
30人以上,令和３,2021,10月,84.3,3.3,－,76.6,78.9,77.5,83.7,87.1,82,70,85.9,87,106.4,96.9,80.9,94.8,86.4,94.7
30人以上,令和３,2021,11月,85.1,0.6,－,82.8,84.9,75.3,84.5,89.1,83.7,70.8,87.2,78.2,112.5,89.3,86.5,88.7,79.4,95.3
30人以上,令和３,2021,12月,182.1,-0.3,－,207.1,180,213.9,185.1,161.9,194.4,161.1,201.2,157.1,142.7,114.2,219.6,188.9,212.8,162.1
30人以上,令和４,2022,1月,83.8,2.4,70.4,79.4,77.2,78,81.9,90.8,79.3,71.5,102.3,85.4,140.2,87,87.2,86.4,75.4,91.3
30人以上,令和４,2022,2月,83,3,71.3,80.4,82.1,79.4,80.4,86.9,81.3,72.6,86.6,83.2,134.8,86.9,86.6,82.4,73,89.7
30人以上,令和４,2022,3月,93.2,3.9,69.5,100.1,93.2,82.7,88.6,104,89.8,81.7,88.7,103.2,149,87.3,100.6,88.4,77.7,96.3
30人以上,令和４,2022,4月,90.1,3.6,74.5,85.2,81.2,84.2,90.7,95.9,88.7,75.2,97.8,93,151,105,107.1,85,81.3,91.2
30人以上,令和４,2022,5月,87.3,2.8,72.6,82.3,83.6,78.9,83.4,93.8,83.8,84.3,90.4,85.1,148.6,94.8,92,82.7,78.5,95.9
30人以上,令和４,2022,6月,167.9,4,166.7,187.4,161.8,208.4,185.8,166.2,156.3,176.6,168.1,169.8,161.2,144.3,209.4,137.1,171,142.6
30人以上,令和４,2022,7月,116.2,7.7,89.3,121.6,125.2,81.1,102.1,111.2,144.5,75.2,133.1,105.8,183.8,114.5,115.1,110.3,83,108.9
30人以上,令和４,2022,8月,84.2,2.4,73.6,81.9,77.5,77.9,80,93.3,82.7,67.9,89.5,89.7,141.7,96.4,85.6,85.2,69.8,92.7
30人以上,令和４,2022,9月,86.5,4.1,74.2,80.8,77.5,81.1,83.5,96.4,89,70.6,88,88.9,150.9,91.8,87.8,85.5,67.7,93.2
30人以上,令和４,2022,9月（前年同月比（％））,－,－,－,4.4,-2.3,7.3,2.6,11.1,6.8,2.8,3,16.5,38.3,-9,5.7,-5.5,-14.1,0.4
,,,,,,,,,,,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）令和４年９月分,,,,,,,,,,,,,,,,,,,,,
第12表　規模、産業別名目賃金指数（現金給与総額）,,,,,,,,,,,,,,,,,,,,,
（令和２年平均＝100）,,,,,,,,,,,,,,,,,,,,,
