事業所規模,和暦年,西暦年,年平均・月・前年比・前年同月比,調査産業計,鉱業，採石業，砂利採取業,建設業,製造業,電気・ガス・熱供給・水道業,情報通信業,運輸業，郵便業,卸売業，小売業,金融業，保険業,不動産業，物品賃貸業,学術研究，専門・技術サービス業,宿泊業，飲食サービス業,生活関連サービス業，娯楽業,教育，学習支援業,医療，福祉,複合サービス事業,サービス業（他に分類されないもの）
30人以上,令和４,2022,8月（前年同月比（％））,-1,－,9.7,-2.5,2,-10.4,6.1,-1.5,-5.9,2.6,17.8,23.4,-3.7,2.2,-4.8,-7.7,-3.5
30人以上,令和４,2022,9月（前年同月比（％））,0.7,－,1,-5.4,3.8,-0.7,7.4,3.4,-0.6,-0.4,12.7,33.8,-12,2.2,-8.6,-16.9,-2.9
30人以上,令和４,2022,10月（前年同月比（％））,-3.1,－,4.3,-5.9,-0.8,-5.1,3.3,-3.4,-6.6,1.9,-3.9,37.8,1.9,8.3,-11.8,-19.5,-7
30人以上,令和４,2022,11月（前年同月比（％））,-2,－,8,0.8,-2.9,-8,3.3,-1,-4.9,0.5,-1.7,31.8,12.8,-3.8,-2.5,-4.8,-7.7
30人以上,令和４,2022,12月（前年同月比（％））,2.3,－,5.7,1.8,-13.4,-1,20.4,4.3,-0.9,3.8,2,44.4,41.6,3.2,-5.7,-10.1,-6
,,,,,,,,,,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）令和４年年報,,,,,,,,,,,,,,,,,,,,
第16表　規模、産業別実質賃金指数（現金給与総額）,,,,,,,,,,,,,,,,,,,,
（令和２年平均=100）,,,,,,,,,,,,,,,,,,,,
実質賃金指数（現金給与総額）＝ 名目賃金指数（現金給与総額）÷ 東京都区部消費者物価指数※ ×１００　　※東京都区部消費者物価指数は「持家の帰属家賃を除く総合」である。,,,,,,,,,,,,,,,,,,,,
