事業所規模,和暦年,西暦年,年平均・月,調査産業計／入職率(％),調査産業計／離職率(％),鉱業，採石業，砂利採取業／入職率(％),鉱業，採石業，砂利採取業／離職率(％),建設業／入職率(％),建設業／離職率(％),製造業／入職率(％),製造業／離職率(％),電気・ガス・熱供給・水道業／入職率(％),電気・ガス・熱供給・水道業／離職率(％),情報通信業／入職率(％),情報通信業／離職率(％),運輸業，郵便業／入職率(％),運輸業，郵便業／離職率(％),卸売業，小売業／入職率(％),卸売業，小売業／離職率(％),金融業，保険業／入職率(％),金融業，保険業／離職率(％),不動産業，物品賃貸業／入職率(％),不動産業，物品賃貸業／離職率(％),学術研究，専門・技術サービス業／入職率(％),学術研究，専門・技術サービス業／離職率(％),宿泊業，飲食サービス業／入職率(％),宿泊業，飲食サービス業／離職率(％),生活関連サービス業，娯楽業／入職率(％),生活関連サービス業，娯楽業／離職率(％),教育，学習支援業／入職率(％),教育，学習支援業／離職率(％),医療，福祉／入職率(％),医療，福祉／離職率(％),複合サービス事業／入職率(％),複合サービス事業／離職率(％),サービス業（他に分類されないもの）／入職率(％),サービス業（他に分類されないもの）／離職率(％)
30人以上,平成30,2018,年平均,2.05,2.01,2.22,2.52,1.09,1.06,1.32,1.32,1.25,1.55,1.59,1.54,1.9,1.86,1.53,1.54,1.62,1.51,1.69,1.44,1.6,1.48,4.02,4.08,2.7,3.15,2.73,2.82,2.16,2.14,1.87,2.14,3.25,3.04
30人以上,平成31・令和元,2019,年平均,2.3,2.11,1.91,2.11,1.99,1.08,1.38,1.34,1.7,2.83,1.58,1.21,2.58,2.44,1.81,1.62,1.73,1.65,1.58,1.38,1.44,1.54,3.96,3.9,3.05,2.52,4.08,4.12,2.32,2.24,1.87,1.86,3.38,3.09
30人以上,令和２,2020,年平均,2,2.08,2.11,1.53,1.3,1.06,1.48,1.33,1.5,1.31,1.58,1.32,2.25,2.03,1.49,1.58,1.75,1.78,1.79,1.53,1.33,1.46,3.04,4.36,1.93,2.01,3.76,3.7,2.05,2.19,1.43,1.6,2.85,3.29
30人以上,令和３,2021,年平均,1.93,1.95,1.25,1.71,1.5,1.21,1.25,1.34,1.17,2.09,1.62,1.53,1.41,1.72,1.45,1.49,1.72,1.83,1.87,1.64,1.81,1.71,3.17,3.78,1.8,2.22,4.36,4.56,1.93,1.74,1.22,1.31,2.55,2.44
30人以上,令和４,2022,年平均,2.02,1.92,1.87,2.79,1.36,1.39,1.15,1.17,1.75,1.43,1.49,1.33,1.64,1.75,1.6,1.45,1.68,1.81,1.7,1.36,2.01,1.61,4.11,3.47,2.57,2.25,3.11,3.15,2.62,2.55,1.31,2.13,2.72,2.66
30人以上,令和５,2023,年平均,1.98,1.85,2.45,2.25,1.55,1.25,1.22,1.03,1.71,1.34,1.56,1.28,1.58,1.6,1.44,1.51,1.51,1.56,1.68,1.31,2.16,1.61,4.62,4.4,2.57,2.62,3.06,2.88,2.19,2.24,1.17,1.41,2.65,2.38
30人以上,令和５,2023,1月,1.41,1.62,1.1,3,0.75,0.71,2.87,0.94,0.18,0.64,0.82,1.18,0.86,1.09,1.17,1.35,1.29,1.5,0.94,0.96,1.53,1.46,2.47,5.83,3.39,2.05,0.91,1.44,1.14,1.76,0.26,0.41,2.09,2.2
30人以上,令和５,2023,2月,1.26,1.49,1.77,1.37,0.58,0.84,0.69,0.9,0.2,0.31,0.73,1.09,1.39,1.41,1,1.44,1.1,0.86,0.96,1.08,1.74,1.23,4.31,4.02,1.58,2.85,0.94,1.79,0.8,1.14,0.83,0.82,2.04,2.14
30人以上,令和５,2023,3月,1.51,2,×,×,1.09,1.03,0.67,0.76,×,×,0.9,0.98,1.26,2.26,1.24,1.7,0.74,1,0.91,1.24,1.82,1.55,3.99,4.59,2.93,3.93,1.42,6.69,1.28,1.83,0.85,3.11,2.62,2.19
30人以上,令和５,2023,4月,6.74,4.33,×,×,7.42,2.68,4.2,2.77,×,×,6.25,2.51,4.27,2.69,4.71,3.12,7.43,5.25,7.31,3.27,6.88,3.49,6.76,6.1,6.92,4.98,16.9,11.89,11.04,8.37,8.42,7.33,4.87,3.77
30人以上,令和５,2023,5月,2.01,1.88,1.74,2.45,1.57,1.43,1.06,1.4,0.69,0.99,1.62,1.23,1.24,1.1,1.57,1.75,1.2,1.18,2.3,1.94,2.08,1.53,5.48,5.32,3.05,2.8,1.95,1.53,2.23,2.75,0.49,0.28,2.94,2.34
30人以上,令和５,2023,6月,1.34,1.8,2.15,1.35,0.73,1.43,0.76,1.01,0.88,0.66,0.92,1.16,1.68,2.16,0.97,1.34,0.86,1.63,0.97,1.42,1.46,1.43,4.07,4.58,2.65,1.91,2,0.93,1.03,1.02,0.13,0.9,1.86,3.75
30人以上,令和５,2023,7月,1.93,1.79,1.5,1.42,1.32,1.64,0.75,1.07,1.19,1.58,1.37,1.85,1.6,1.92,1.21,1.62,1.28,1.73,1.1,1.16,2.27,2.02,4.9,4.04,2.26,2.98,1.77,1.27,1.59,1.35,0.75,0.86,4.08,2.04
30人以上,令和５,2023,8月,1.28,1.54,2.13,1.73,1.09,1.18,0.5,0.7,0.51,0.45,0.93,1.45,0.97,1.22,1.13,1.11,0.67,1.02,0.84,0.85,1.34,1.53,3.42,3.87,1.61,1.88,1.31,2.99,1.58,1.21,0.61,0.67,1.85,2.21
30人以上,令和５,2023,9月,1.57,1.48,2.04,1.57,0.84,0.89,0.67,0.64,0.61,0.41,0.98,1,1.23,1.44,0.98,1.15,0.77,0.9,1.24,0.95,2.16,1.12,5.27,4.57,1.06,1.95,2.74,2.19,1.44,2.09,0.48,0.49,2.61,1.89
30人以上,令和５,2023,10月,1.99,1.81,2.19,2.11,1.75,1.49,1.31,1.02,0.55,0.44,1.08,1.29,2.57,1.69,1.38,1.46,1.57,2,1.57,1.31,2.12,1.71,6.66,2.73,2.01,2.38,3.23,1.84,1.84,3.44,0.61,0.87,2.44,2.04
30人以上,令和５,2023,11月,1.53,1.29,2.5,1.56,0.94,0.85,0.6,0.63,0.21,0.3,2.48,0.89,0.98,1.08,0.96,1.09,0.63,0.95,1.34,0.91,1.34,1.12,3.96,3.65,1.68,1.56,1.93,1.21,1.06,0.99,0.34,0.66,2.14,2.31
30人以上,令和５,2023,12月,1.23,1.12,1.62,1.16,0.54,0.78,0.57,0.57,0.97,0.3,0.6,0.68,0.96,1.16,0.94,1.02,0.59,0.71,0.7,0.6,1.21,1.1,4.13,3.5,1.68,2.12,1.59,0.83,1.21,0.97,0.32,0.56,2.25,1.72
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）令和５年年報,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
第12－２表　産業別労働異動率（事業所規模30人以上）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
