事業所規模,和暦年,西暦年,年平均・月,現金給与総額／計(円),現金給与総額／男(円),現金給与総額／女(円),きまって支給する給与／計(円),きまって支給する給与／男(円),きまって支給する給与／女(円),所定内給与(円),所定外給与(円),特別に支払われた給与／計(円),特別に支払われた給与／男(円),特別に支払われた給与／女(円)
５～29人,平成30,2018,年平均,289350,365170,205439,250056,313261,180106,238043,12013,39294,51909,25333
５～29人,平成31・令和元,2019,年平均,295208,379981,204076,253235,321919,179399,241023,12212,41973,58062,24677
５～29人,令和２,2020,年平均,291858,374691,204348,253003,321482,180658,241767,11236,38855,53209,23690
５～29人,令和３,2021,年平均,295598,380666,208124,253778,322177,183445,242378,11400,41820,58489,24679
５～29人,令和４,2022,年平均,289849,375051,206039,248767,314919,183696,236728,12039,41082,60132,22343
５～29人,令和５,2023,年平均,287220,372189,208110,249370,319270,184291,237675,11695,37850,52919,23819
５～29人,令和５,2023,1月,250402,320204,184956,242789,310398,179399,231415,11374,7613,9806,5557
５～29人,令和５,2023,2月,251566,318854,187833,246116,313332,182452,234882,11234,5450,5522,5381
５～29人,令和５,2023,3月,271650,350866,195975,250574,319323,184898,238096,12478,21076,31543,11077
５～29人,令和５,2023,4月,263456,340247,191793,251778,322133,186121,239735,12043,11678,18114,5672
５～29人,令和５,2023,5月,277818,363567,197428,251540,322297,185204,240254,11286,26278,41270,12224
５～29人,令和５,2023,6月,340918,438811,247680,254175,322827,188788,242232,11943,86743,115984,58892
５～29人,令和５,2023,7月,329247,435065,232554,249970,320955,185106,237820,12150,79277,114110,47448
５～29人,令和５,2023,8月,259916,334744,189895,250321,320501,184650,238833,11488,9595,14243,5245
５～29人,令和５,2023,9月,259944,336332,190594,248826,320482,183771,238078,10748,11118,15850,6823
５～29人,令和５,2023,10月,256135,329341,188517,248841,320259,182874,237281,11560,7294,9082,5643
５～29人,令和５,2023,11月,268811,344184,199775,249052,320654,183469,237397,11655,19759,23530,16306
５～29人,令和５,2023,12月,413744,551415,287745,248435,317986,184781,236058,12377,165309,233429,102964
30～99人,平成30,2018,年平均,364809,447341,259269,299474,365500,215041,280666,18808,65335,81841,44228
30～99人,平成31・令和元,2019,年平均,364541,449796,250424,295006,359990,208022,273652,21354,69535,89806,42402
30～99人,令和２,2020,年平均,358757,437265,251099,291708,352017,209006,273226,18482,67049,85248,42093
