事業所規模,和暦年,西暦年,年平均・月,一般労働者／出勤日数(日),一般労働者／総実労働時間(時間),一般労働者／所定内労働時間(時間),一般労働者／所定外労働時間(時間),パートタイム労働者／出勤日数(日),パートタイム労働者／総実労働時間(時間),パートタイム労働者／所定内労働時間(時間),パートタイム労働者／所定外労働時間(時間)
５～29人,平成30,2018,年平均,20.2,166.4,155.1,11.3,12.5,74.2,71.6,2.6
５～29人,平成31・令和元,2019,年平均,19.8,162.8,151.8,11,12.1,72,69.5,2.5
５～29人,令和２,2020,年平均,19.1,156.5,146.9,9.6,11.4,66.7,64.9,1.8
５～29人,令和３,2021,年平均,19.3,157.9,147.9,10,11.5,66.3,64.7,1.6
５～29人,令和４,2022,年平均,19.4,159,148.4,10.6,12,69.5,67.6,1.9
５～29人,令和５,2023,年平均,19.6,162,151.5,10.5,11.5,67.4,65.5,1.9
５～29人,令和５,2023,1月,17.9,148.5,138.3,10.2,11.2,65.9,64,1.9
５～29人,令和５,2023,2月,19.5,159.7,149.5,10.2,11.5,67.3,65.4,1.9
５～29人,令和５,2023,3月,19.8,164.9,153.1,11.8,11.7,68.2,66.2,2
５～29人,令和５,2023,4月,20.2,166.5,155.9,10.6,11.6,68,66,2
５～29人,令和５,2023,5月,18.9,155.9,145.9,10,11.6,67.6,65.7,1.9
５～29人,令和５,2023,6月,20.8,169.7,159.4,10.3,11.9,69.2,67.4,1.8
５～29人,令和５,2023,7月,20,164.9,154.1,10.8,11.6,67.2,65.3,1.9
５～29人,令和５,2023,8月,19,157,147,10,11.5,68.2,66.2,2
５～29人,令和５,2023,9月,19.8,163.5,153.5,10,11.5,67,65.2,1.8
５～29人,令和５,2023,10月,19.9,164.8,154,10.8,11.5,66.5,64.6,1.9
５～29人,令和５,2023,11月,20,166,155.2,10.8,11.4,66,64.1,1.9
５～29人,令和５,2023,12月,19.7,163,152,11,11.6,67.6,65.4,2.2
30～99人,平成30,2018,年平均,19.8,165.9,151.2,14.7,13.7,79,76.8,2.2
30～99人,平成31・令和元,2019,年平均,19.3,163.4,147.7,15.7,12.8,75.6,72.5,3.1
30～99人,令和２,2020,年平均,18.8,157.1,144,13.1,12.1,71.1,68.4,2.7
30～99人,令和３,2021,年平均,18.7,157.1,143.3,13.8,12.2,69.9,68.4,1.5
30～99人,令和４,2022,年平均,18.6,157.6,143.1,14.5,12.8,74.8,72.7,2.1
30～99人,令和５,2023,年平均,18.9,160.5,145.9,14.6,12.8,76.1,73.8,2.3
30～99人,令和５,2023,1月,17.8,151.3,137.2,14.1,11.5,70.4,68.4,2
30～99人,令和５,2023,2月,18.1,154.8,139.9,14.9,12.3,71.3,69.3,2
30～99人,令和５,2023,3月,19.4,166,150.4,15.6,13,75.5,73.2,2.3
30～99人,令和５,2023,4月,19.7,166.7,150.9,15.8,12.8,78.4,75.8,2.6
30～99人,令和５,2023,5月,18.6,157.5,143.2,14.3,12.9,76.3,74.2,2.1
30～99人,令和５,2023,6月,20.2,170.2,155.1,15.1,13.3,79.3,77.1,2.2
30～99人,令和５,2023,7月,19.2,162.7,147.8,14.9,13.1,77.5,75.1,2.4
30～99人,令和５,2023,8月,18.1,153.6,140.7,12.9,12.5,75.9,73.5,2.4
30～99人,令和５,2023,9月,19.1,160.8,146.8,14,12.8,75.6,73.4,2.2
30～99人,令和５,2023,10月,19.3,162.5,147.9,14.6,13.3,79.6,77.2,2.4
30～99人,令和５,2023,11月,19.1,161.8,147.2,14.6,12.7,75.7,73.5,2.2
30～99人,令和５,2023,12月,18.8,158.8,144.2,14.6,13,76.9,74.3,2.6
100～499人,平成30,2018,年平均,19.1,159.8,145.5,14.3,14.4,89.1,85.6,3.5
100～499人,平成31・令和元,2019,年平均,18.8,156.9,142.1,14.8,13.8,87,83.3,3.7
100～499人,令和２,2020,年平均,18.7,153.8,140.2,13.6,13.6,84.6,80.7,3.9
100～499人,令和３,2021,年平均,18.8,159.2,143.8,15.4,14.2,90.5,86.6,3.9
100～499人,令和４,2022,年平均,18.8,160.6,144.5,16.1,14.2,90.1,86.2,3.9
100～499人,令和５,2023,年平均,19,162.2,146.3,15.9,14.2,93.7,89.6,4.1
100～499人,令和５,2023,1月,17.9,153.3,138,15.3,13.3,85,81.2,3.8
100～499人,令和５,2023,2月,18.3,156.8,140.9,15.9,14.1,91.2,87.4,3.8
100～499人,令和５,2023,3月,19.2,165.4,148.7,16.7,13.9,91.2,87.4,3.8
100～499人,令和５,2023,4月,19.7,168.3,151.1,17.2,14.2,93.3,89.6,3.7
100～499人,令和５,2023,5月,18.6,158.6,143.1,15.5,14.1,92.9,89.2,3.7
100～499人,令和５,2023,6月,19.8,169.4,153.1,16.3,14.2,94.4,90.5,3.9
100～499人,令和５,2023,7月,19.4,165.1,149.3,15.8,14.6,96.8,93,3.8
100～499人,令和５,2023,8月,18.6,158.8,143.9,14.9,14.1,93.3,89.7,3.6
100～499人,令和５,2023,9月,18.7,160.6,144.9,15.7,14.7,98.9,93.9,5
100～499人,令和５,2023,10月,19.3,164.4,148.2,16.2,14.5,96,91.4,4.6
100～499人,令和５,2023,11月,19.3,164.9,148.7,16.2,14.4,94.6,90,4.6
100～499人,令和５,2023,12月,18.8,160.6,145.3,15.3,14.5,95.7,90.9,4.8
500人以上,平成30,2018,年平均,19,159,144.3,14.7,14.6,101.3,96.5,4.8
500人以上,平成31・令和元,2019,年平均,18.6,155.9,140.2,15.7,13.4,91.8,87.5,4.3
500人以上,令和２,2020,年平均,18.4,153.5,138.6,14.9,12.2,80.8,77.3,3.5
500人以上,令和３,2021,年平均,18.6,156.5,140.2,16.3,12.6,82.8,79.2,3.6
500人以上,令和４,2022,年平均,18.5,157.1,140.1,17,12.7,83.5,80,3.5
500人以上,令和５,2023,年平均,18.7,158,141.2,16.8,12.7,83.7,80.1,3.6
500人以上,令和５,2023,1月,17.6,149.8,133.6,16.2,12,79,75.4,3.6
500人以上,令和５,2023,2月,17.6,149.8,132.9,16.9,12.1,80,76.5,3.5
500人以上,令和５,2023,3月,19.2,162.7,144.6,18.1,12.7,85.1,81.5,3.6
500人以上,令和５,2023,4月,19.3,163.1,145.2,17.9,13.3,87.1,82.6,4.5
500人以上,令和５,2023,5月,18.5,155.6,139.1,16.5,12.5,82.7,79.1,3.6
500人以上,令和５,2023,6月,19.6,165.3,148.2,17.1,13.2,87.1,83.5,3.6
500人以上,令和５,2023,7月,19.2,161.5,144.9,16.6,13,84.8,81.4,3.4
500人以上,令和５,2023,8月,18.6,156.3,140.4,15.9,12.7,84.6,81,3.6
500人以上,令和５,2023,9月,18.3,154.3,138.4,15.9,12.7,84.2,80.6,3.6
500人以上,令和５,2023,10月,19,160.5,143.2,17.3,12.8,84.4,80.8,3.6
500人以上,令和５,2023,11月,19,160.7,143.5,17.2,12.6,82.8,79.4,3.4
500人以上,令和５,2023,12月,18.6,156.1,139.9,16.2,12.5,82.9,79.3,3.6
,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）令和５年年報,,,,,,,,,,,
第９表　規模、就業形態別常用労働者の１人平均月間出勤日数及び実労働時間（調査産業計）,,,,,,,,,,,
