事業所規模,産業,和暦年,西暦年,年平均・月,一般労働者／出勤日数(日),一般労働者／総実労働時間(時間),一般労働者／所定内労働時間(時間),一般労働者／所定外労働時間(時間),パートタイム労働者／出勤日数(日),パートタイム労働者／総実労働時間(時間),パートタイム労働者／所定内労働時間(時間),パートタイム労働者／所定外労働時間(時間)
５人以上,TL 調査産業計,平成30,2018,年平均,19.5,162.5,148.8,13.7,13.4,81.2,78.3,2.9
５人以上,TL 調査産業計,平成31・令和元,2019,年平均,19.1,159.5,145.2,14.3,12.7,77.5,74.5,3
５人以上,TL 調査産業計,令和２,2020,年平均,18.7,155.1,142.2,12.9,12,72.5,69.9,2.6
５人以上,TL 調査産業計,令和３,2021,年平均,18.8,157.7,143.7,14,12.3,73.4,71.2,2.2
５人以上,TL 調査産業計,令和４,2022,年平均,18.8,158.6,143.9,14.7,12.7,75.9,73.4,2.5
５人以上,TL 調査産業計,令和５,2023,年平均,19,160.6,146,14.6,12.4,75.5,72.9,2.6
５人以上,TL 調査産業計,令和５,2023,1月,17.8,150.8,136.7,14.1,11.7,71.2,68.8,2.4
５人以上,TL 調査産業計,令和５,2023,2月,18.3,155.1,140.5,14.6,12.2,73.8,71.4,2.4
５人以上,TL 調査産業計,令和５,2023,3月,19.4,164.7,149,15.7,12.4,75.4,72.9,2.5
５人以上,TL 調査産業計,令和５,2023,4月,19.7,166.1,150.5,15.6,12.5,76.6,73.9,2.7
５人以上,TL 調査産業計,令和５,2023,5月,18.6,156.9,142.7,14.2,12.4,75.4,73,2.4
５人以上,TL 調査産業計,令和５,2023,6月,20.1,168.6,153.7,14.9,12.8,77.7,75.3,2.4
５人以上,TL 調査産業計,令和５,2023,7月,19.5,163.6,148.9,14.7,12.6,76.3,73.8,2.5
５人以上,TL 調査産業計,令和５,2023,8月,18.6,156.6,143,13.6,12.3,75.9,73.4,2.5
５人以上,TL 調査産業計,令和５,2023,9月,18.9,159.5,145.5,14,12.4,75.9,73.3,2.6
５人以上,TL 調査産業計,令和５,2023,10月,19.3,163,148.1,14.9,12.5,76.2,73.6,2.6
５人以上,TL 調査産業計,令和５,2023,11月,19.3,163.3,148.4,14.9,12.3,74.7,72.1,2.6
５人以上,TL 調査産業計,令和５,2023,12月,18.9,159.5,145.1,14.4,12.5,75.9,73,2.9
５人以上,"C 鉱業,採石業,砂利採取業",平成30,2018,年平均,18.8,154.8,135.1,19.7,12.1,82.9,82.5,0.4
５人以上,"C 鉱業,採石業,砂利採取業",平成31・令和元,2019,年平均,18.6,154.8,136,18.8,17.8,129.2,129,0.2
５人以上,"C 鉱業,採石業,砂利採取業",令和２,2020,年平均,18.9,157.1,137.1,20,15.7,116.8,116.5,0.3
５人以上,"C 鉱業,採石業,砂利採取業",令和３,2021,年平均,18.7,159.2,136,23.2,13.8,93.4,92,1.4
５人以上,"C 鉱業,採石業,砂利採取業",令和４,2022,年平均,18.2,154.1,131.7,22.4,12.1,77.5,76.5,1
５人以上,"C 鉱業,採石業,砂利採取業",令和５,2023,年平均,18.9,160.6,138.9,21.7,－,－,－,－
５人以上,"C 鉱業,採石業,砂利採取業",令和５,2023,1月,17.4,150.3,127.7,22.6,－,－,－,－
５人以上,"C 鉱業,採石業,砂利採取業",令和５,2023,2月,18,155.5,132.6,22.9,－,－,－,－
５人以上,"C 鉱業,採石業,砂利採取業",令和５,2023,3月,×,×,×,×,×,×,×,×
５人以上,"C 鉱業,採石業,砂利採取業",令和５,2023,4月,×,×,×,×,×,×,×,×
５人以上,"C 鉱業,採石業,砂利採取業",令和５,2023,5月,17.9,152.5,131.7,20.8,－,－,－,－
５人以上,"C 鉱業,採石業,砂利採取業",令和５,2023,6月,20.8,176,153.3,22.7,－,－,－,－
５人以上,"C 鉱業,採石業,砂利採取業",令和５,2023,7月,19.1,161.9,139.6,22.3,－,－,－,－
５人以上,"C 鉱業,採石業,砂利採取業",令和５,2023,8月,19.8,166.1,145.8,20.3,－,－,－,－
５人以上,"C 鉱業,採石業,砂利採取業",令和５,2023,9月,18.2,155.1,133.6,21.5,－,－,－,－
５人以上,"C 鉱業,採石業,砂利採取業",令和５,2023,10月,19,160.9,138.9,22,－,－,－,－
５人以上,"C 鉱業,採石業,砂利採取業",令和５,2023,11月,19.1,162.7,140.2,22.5,－,－,－,－
５人以上,"C 鉱業,採石業,砂利採取業",令和５,2023,12月,18.6,156.2,136.8,19.4,－,－,－,－
５人以上,D 建設業,平成30,2018,年平均,20.8,180.3,158.4,21.9,12.3,77.9,76.9,1
５人以上,D 建設業,平成31・令和元,2019,年平均,20.1,172.3,151,21.3,14,95.1,92.2,2.9
５人以上,D 建設業,令和２,2020,年平均,19.7,167.7,149.2,18.5,15,101.9,97.3,4.6
５人以上,D 建設業,令和３,2021,年平均,19.6,168.4,149,19.4,15.2,96.7,93.7,3
５人以上,D 建設業,令和４,2022,年平均,19.5,167.2,147.8,19.4,13.9,82.6,81.5,1.1
５人以上,D 建設業,令和５,2023,年平均,19.7,168.5,149.4,19.1,11.8,76.6,75.4,1.2
５人以上,D 建設業,令和５,2023,1月,17.9,153.4,135.7,17.7,10.9,71.2,70.2,1
５人以上,D 建設業,令和５,2023,2月,19.5,168,146.9,21.1,11.5,75.6,74.4,1.2
５人以上,D 建設業,令和５,2023,3月,20.1,172.5,151.3,21.2,11.7,76.5,74.9,1.6
５人以上,D 建設業,令和５,2023,4月,20.6,176.6,155.8,20.8,11.8,76.9,75.7,1.2
５人以上,D 建設業,令和５,2023,5月,18.7,158.2,140.8,17.4,11.5,76.6,75.6,1
５人以上,D 建設業,令和５,2023,6月,20.8,176.4,156.9,19.5,12.2,77.6,76.7,0.9
５人以上,D 建設業,令和５,2023,7月,20.6,175.9,155.6,20.3,11.7,76.7,75.2,1.5
５人以上,D 建設業,令和５,2023,8月,18.5,157.5,140.8,16.7,11.4,71.6,70.5,1.1
５人以上,D 建設業,令和５,2023,9月,19.7,167.6,150.3,17.3,11.5,76,74.7,1.3
５人以上,D 建設業,令和５,2023,10月,20.1,172.1,153.1,19,11.8,78.1,76.9,1.2
５人以上,D 建設業,令和５,2023,11月,20.3,174.1,155.2,18.9,13,87,85.7,1.3
５人以上,D 建設業,令和５,2023,12月,20,169.1,149.6,19.5,12.3,76.9,76,0.9
５人以上,E 製造業,平成30,2018,年平均,19.3,163.5,149.6,13.9,15.9,109,105,4
５人以上,E 製造業,平成31・令和元,2019,年平均,18.8,158.2,145.1,13.1,16.1,107.7,104,3.7
５人以上,E 製造業,令和２,2020,年平均,18.7,154.6,144.1,10.5,15.9,111,102.9,8.1
５人以上,E 製造業,令和３,2021,年平均,18.8,157.4,145.6,11.8,15.3,104.7,97.8,6.9
５人以上,E 製造業,令和４,2022,年平均,18.9,158.5,145.7,12.8,14.6,100.1,92.9,7.2
５人以上,E 製造業,令和５,2023,年平均,19,158.8,146.8,12,15.1,94.1,91.5,2.6
５人以上,E 製造業,令和５,2023,1月,17.5,146,135,11,13.1,80.9,78,2.9
５人以上,E 製造業,令和５,2023,2月,18.8,156.5,144.5,12,15.8,96.7,93.5,3.2
５人以上,E 製造業,令和５,2023,3月,19.2,161.5,148,13.5,14.6,93.8,90.7,3.1
５人以上,E 製造業,令和５,2023,4月,19.7,165.5,152.5,13,15.1,98.3,95.8,2.5
５人以上,E 製造業,令和５,2023,5月,18.2,151.7,140.3,11.4,14.3,91.2,88.7,2.5
５人以上,E 製造業,令和５,2023,6月,20,166.6,154.2,12.4,16.1,101.5,98.6,2.9
５人以上,E 製造業,令和５,2023,7月,19.8,165.1,153.2,11.9,15.5,97.2,94.9,2.3
５人以上,E 製造業,令和５,2023,8月,18,150.5,139.4,11.1,13.8,86.7,84.5,2.2
５人以上,E 製造業,令和５,2023,9月,19,158.8,147.1,11.7,16.1,96,93.5,2.5
５人以上,E 製造業,令和５,2023,10月,19.3,161.4,149.1,12.3,15.4,94.1,92,2.1
５人以上,E 製造業,令和５,2023,11月,19.6,164.2,151.4,12.8,15.7,97.3,94.2,3.1
５人以上,E 製造業,令和５,2023,12月,18.9,157.8,146.4,11.4,15.5,94.8,92.4,2.4
５人以上,F 電気・ガス・熱供給・水道業,平成30,2018,年平均,18.5,158.9,143.4,15.5,15.8,107.1,106,1.1
５人以上,F 電気・ガス・熱供給・水道業,平成31・令和元,2019,年平均,18.2,155.3,137.3,18,15,99.1,98.4,0.7
５人以上,F 電気・ガス・熱供給・水道業,令和２,2020,年平均,18.5,157.2,139.5,17.7,14.5,102.2,100.3,1.9
５人以上,F 電気・ガス・熱供給・水道業,令和３,2021,年平均,19.1,161.1,145.3,15.8,14.3,106.1,103.3,2.8
５人以上,F 電気・ガス・熱供給・水道業,令和４,2022,年平均,19.2,161.9,146.1,15.8,14.5,105.3,104.6,0.7
５人以上,F 電気・ガス・熱供給・水道業,令和５,2023,年平均,19.1,163.2,145.1,18.1,14.7,110.7,109.6,1.1
５人以上,F 電気・ガス・熱供給・水道業,令和５,2023,1月,17.9,152.2,135.6,16.6,13.4,102,100.9,1.1
５人以上,F 電気・ガス・熱供給・水道業,令和５,2023,2月,17.9,155.5,136,19.5,14.4,107.1,106.5,0.6
５人以上,F 電気・ガス・熱供給・水道業,令和５,2023,3月,×,×,×,×,×,×,×,×
５人以上,F 電気・ガス・熱供給・水道業,令和５,2023,4月,×,×,×,×,×,×,×,×
５人以上,F 電気・ガス・熱供給・水道業,令和５,2023,5月,18.8,160.4,142.6,17.8,15.1,112.6,111.8,0.8
５人以上,F 電気・ガス・熱供給・水道業,令和５,2023,6月,20.6,174.4,156.8,17.6,16.9,126.2,125.2,1
５人以上,F 電気・ガス・熱供給・水道業,令和５,2023,7月,18.9,161.6,144,17.6,15.2,115.1,113.9,1.2
５人以上,F 電気・ガス・熱供給・水道業,令和５,2023,8月,19.5,165.8,148.6,17.2,14.3,108.2,106.7,1.5
５人以上,F 電気・ガス・熱供給・水道業,令和５,2023,9月,18.7,159.1,141.3,17.8,14.4,108.8,107.3,1.5
５人以上,F 電気・ガス・熱供給・水道業,令和５,2023,10月,19.7,168,149,19,14.9,111.9,110.4,1.5
５人以上,F 電気・ガス・熱供給・水道業,令和５,2023,11月,19.1,161.9,144.3,17.6,14.9,112.4,111,1.4
５人以上,F 電気・ガス・熱供給・水道業,令和５,2023,12月,18.7,156.7,140.3,16.4,14.3,107.6,106.3,1.3
５人以上,G 情報通信業,平成30,2018,年平均,19,159.8,145.2,14.6,12.3,81.9,79.7,2.2
５人以上,G 情報通信業,平成31・令和元,2019,年平均,18.7,160,143.2,16.8,11.8,74.8,72.2,2.6
５人以上,G 情報通信業,令和２,2020,年平均,18.9,160.9,144.5,16.4,12.6,82.1,79.2,2.9
５人以上,G 情報通信業,令和３,2021,年平均,18.9,162.5,145.7,16.8,12.8,84.7,81.7,3
５人以上,G 情報通信業,令和４,2022,年平均,18.8,161.6,144.2,17.4,12.8,86.3,82.3,4
５人以上,G 情報通信業,令和５,2023,年平均,18.9,162.9,145.5,17.4,12.7,89.6,83.7,5.9
５人以上,G 情報通信業,令和５,2023,1月,17.5,151.6,134.6,17,11.9,84.6,81.6,3
５人以上,G 情報通信業,令和５,2023,2月,18,156.6,138.6,18,11.5,81,77.9,3.1
５人以上,G 情報通信業,令和５,2023,3月,19.6,169.3,150.3,19,11.7,81.5,78.6,2.9
５人以上,G 情報通信業,令和５,2023,4月,19.5,167.8,149.6,18.2,11.5,81.1,77.7,3.4
５人以上,G 情報通信業,令和５,2023,5月,18.4,158,141.3,16.7,12,85.2,81.6,3.6
５人以上,G 情報通信業,令和５,2023,6月,20.1,172.1,154.3,17.8,13,91.2,87.6,3.6
５人以上,G 情報通信業,令和５,2023,7月,19.3,164.9,147.9,17,12.3,85.7,81.9,3.8
５人以上,G 情報通信業,令和５,2023,8月,18.8,161.4,145.1,16.3,12.3,87.5,83.3,4.2
５人以上,G 情報通信業,令和５,2023,9月,18.6,160.1,143.4,16.7,16.1,114.3,100.8,13.5
５人以上,G 情報通信業,令和５,2023,10月,19.4,165.9,148.3,17.6,13.1,91.9,82,9.9
５人以上,G 情報通信業,令和５,2023,11月,19.2,165.3,147.7,17.6,13.8,98.8,88.5,10.3
５人以上,G 情報通信業,令和５,2023,12月,18.9,161.4,144.7,16.7,13.5,95.8,85.6,10.2
５人以上,"H 運輸業,郵便業",平成30,2018,年平均,19.7,166.9,147.4,19.5,15.1,102.9,94,8.9
５人以上,"H 運輸業,郵便業",平成31・令和元,2019,年平均,19.3,168.9,146.8,22.1,14.5,102.9,93.9,9
５人以上,"H 運輸業,郵便業",令和２,2020,年平均,18.4,159.4,139.5,19.9,14.5,101.9,92.8,9.1
５人以上,"H 運輸業,郵便業",令和３,2021,年平均,18.4,160.1,140.1,20,14.3,96.8,90,6.8
５人以上,"H 運輸業,郵便業",令和４,2022,年平均,18.9,168,145.8,22.2,15,101.1,93.9,7.2
５人以上,"H 運輸業,郵便業",令和５,2023,年平均,19.2,169.7,148.8,20.9,15.8,112.3,103.9,8.4
５人以上,"H 運輸業,郵便業",令和５,2023,1月,18.1,162.4,141.9,20.5,14.3,103.6,95.4,8.2
５人以上,"H 運輸業,郵便業",令和５,2023,2月,18.6,165.1,144.5,20.6,15.7,112.3,104,8.3
５人以上,"H 運輸業,郵便業",令和５,2023,3月,19,169.7,147.8,21.9,15.4,109.6,101,8.6
５人以上,"H 運輸業,郵便業",令和５,2023,4月,19.7,175.6,152.8,22.8,15.9,115,105.2,9.8
５人以上,"H 運輸業,郵便業",令和５,2023,5月,19,167.8,147,20.8,15.8,112.5,104.5,8
５人以上,"H 運輸業,郵便業",令和５,2023,6月,19.6,170.2,151,19.2,16.9,120.4,112.3,8.1
５人以上,"H 運輸業,郵便業",令和５,2023,7月,19.7,173.8,151.8,22,16.1,113.2,105.1,8.1
５人以上,"H 運輸業,郵便業",令和５,2023,8月,19.3,171.1,149,22.1,15.7,108.6,101.2,7.4
