事業所規模,産業,和暦年,西暦年,年平均・月,一般労働者／前月末労働者数(人),一般労働者／本月中の増加労働者数(人),一般労働者／本月中の減少労働者数(人),一般労働者／本月末労働者数(人),パートタイム労働者／前月末労働者数(人),パートタイム労働者／本月中の増加労働者数(人),パートタイム労働者／本月中の減少労働者数(人),パートタイム労働者／本月末労働者数(人)
30人以上,TL 調査産業計,平成30,2018,年平均,4429433,73133,70615,4432896,1109149,39862,40537,1107528
30人以上,TL 調査産業計,平成31・令和元,2019,年平均,4522994,79239,70562,4532077,1129826,50166,48291,1131296
30人以上,TL 調査産業計,令和２,2020,年平均,4572744,73233,70865,4575471,1104527,40137,46840,1097464
30人以上,TL 調査産業計,令和３,2021,年平均,4615185,71222,71548,4614973,1020940,36994,38231,1019590
30人以上,TL 調査産業計,令和４,2022,年平均,4601536,74360,70183,4606005,992142,38461,36966,993344
30人以上,TL 調査産業計,令和５,2023,年平均,4713507,77239,69182,4721113,961281,34983,35338,961376
30人以上,TL 調査産業計,令和５,2023,1月,4701249,53655,55353,4698823,919965,25593,35652,910634
30人以上,TL 調査産業計,令和５,2023,2月,4659244,44643,56098,4647108,961783,26286,27731,961019
30人以上,TL 調査産業計,令和５,2023,3月,4648035,57926,64698,4640903,949045,26495,47121,928779
30人以上,TL 調査産業計,令和５,2023,4月,4637259,313693,180486,4771307,941769,62195,60810,942313
30人以上,TL 調査産業計,令和５,2023,5月,4772448,74065,73189,4773268,947213,40905,34340,953834
30人以上,TL 調査産業計,令和５,2023,6月,4764499,49693,63286,4750168,967567,27369,39962,955712
30人以上,TL 調査産業計,令和５,2023,7月,4741886,66114,73188,4735216,956658,43781,28848,971187
30人以上,TL 調査産業計,令和５,2023,8月,4745205,45896,55026,4735383,961917,27065,32999,956675
30人以上,TL 調査産業計,令和５,2023,9月,4741652,50218,51397,4740574,946729,39241,32595,953274
30人以上,TL 調査産業計,令和５,2023,10月,4676702,73067,70787,4677588,1018999,40554,32462,1028485
30人以上,TL 調査産業計,令和５,2023,11月,4729441,58158,45755,4739670,982511,29500,28182,986003
30人以上,TL 調査産業計,令和５,2023,12月,4744458,39741,40923,4743356,981214,30816,23352,988598
30人以上,"C 鉱業,採石業,砂利採取業",平成30,2018,年平均,1391,31,35,1388,1,0,0,1
30人以上,"C 鉱業,採石業,砂利採取業",平成31・令和元,2019,年平均,1370,26,29,1366,12,0,0,12
30人以上,"C 鉱業,採石業,砂利採取業",令和２,2020,年平均,1446,30,22,1454,13,1,0,14
30人以上,"C 鉱業,採石業,砂利採取業",令和３,2021,年平均,1449,18,24,1441,16,1,1,16
30人以上,"C 鉱業,採石業,砂利採取業",令和４,2022,年平均,1326,25,37,1313,8,0,1,8
30人以上,"C 鉱業,採石業,砂利採取業",令和５,2023,年平均,1261,31,28,1264,－,0,0,－
30人以上,"C 鉱業,採石業,砂利採取業",令和５,2023,1月,1267,14,38,1243,－,0,0,－
30人以上,"C 鉱業,採石業,砂利採取業",令和５,2023,2月,1243,22,17,1248,－,0,0,－
30人以上,"C 鉱業,採石業,砂利採取業",令和５,2023,3月,×,×,×,×,×,×,×,×
30人以上,"C 鉱業,採石業,砂利採取業",令和５,2023,4月,×,×,×,×,×,×,×,×
30人以上,"C 鉱業,採石業,砂利採取業",令和５,2023,5月,1266,22,31,1257,－,0,0,－
30人以上,"C 鉱業,採石業,砂利採取業",令和５,2023,6月,1258,27,17,1268,－,0,0,－
30人以上,"C 鉱業,採石業,砂利採取業",令和５,2023,7月,1268,19,18,1269,－,0,0,－
30人以上,"C 鉱業,採石業,砂利採取業",令和５,2023,8月,1269,27,22,1274,－,0,0,－
30人以上,"C 鉱業,採石業,砂利採取業",令和５,2023,9月,1274,26,20,1280,－,0,0,－
30人以上,"C 鉱業,採石業,砂利採取業",令和５,2023,10月,1280,28,27,1281,－,0,0,－
30人以上,"C 鉱業,採石業,砂利採取業",令和５,2023,11月,1281,32,20,1293,－,0,0,－
30人以上,"C 鉱業,採石業,砂利採取業",令和５,2023,12月,1293,21,15,1299,－,0,0,－
30人以上,D 建設業,平成30,2018,年平均,214332,2290,2205,214415,6788,122,122,6790
30人以上,D 建設業,平成31・令和元,2019,年平均,228039,4363,2329,230073,6110,202,176,6136
30人以上,D 建設業,令和２,2020,年平均,250487,3209,2648,251048,3337,65,49,3352
30人以上,D 建設業,令和３,2021,年平均,257103,3752,3034,257806,3571,112,97,3601
30人以上,D 建設業,令和４,2022,年平均,260017,3470,3523,259960,3961,88,131,3921
30人以上,D 建設業,令和５,2023,年平均,263931,4017,3183,264777,5043,125,166,4989
30人以上,D 建設業,令和５,2023,1月,257411,1945,1778,257579,4719,19,73,4664
30人以上,D 建設業,令和５,2023,2月,257345,1425,1789,256980,4898,87,420,4566
30人以上,D 建設業,令和５,2023,3月,257112,2660,2461,257475,4434,199,240,4229
30人以上,D 建設業,令和５,2023,4月,257487,19177,6801,269860,4217,230,206,4244
30人以上,D 建設業,令和５,2023,5月,269704,4199,3783,270122,4400,111,139,4370
30人以上,D 建設業,令和５,2023,6月,267039,1934,3849,265124,7453,67,77,7443
30人以上,D 建設業,令和５,2023,7月,268563,3512,4187,267889,4004,91,278,3816
30人以上,D 建設業,令和５,2023,8月,264541,2816,3080,264277,7164,156,124,7196
30人以上,D 建設業,令和５,2023,9月,267528,2135,2324,267337,3945,156,88,4015
30人以上,D 建設業,令和５,2023,10月,267298,4637,4015,267921,4054,119,33,4139
30人以上,D 建設業,令和５,2023,11月,267904,2345,2254,267994,4156,213,60,4310
30人以上,D 建設業,令和５,2023,12月,265234,1413,1869,264776,7070,51,249,6874
30人以上,E 製造業,平成30,2018,年平均,389354,5038,4918,389441,30824,487,603,30741
30人以上,E 製造業,平成31・令和元,2019,年平均,410353,5586,5386,410549,21747,355,433,21673
30人以上,E 製造業,令和２,2020,年平均,388679,5043,4481,389210,38055,1266,1180,38171
30人以上,E 製造業,令和３,2021,年平均,370763,4027,4367,370351,46353,1185,1236,46373
30人以上,E 製造業,令和４,2022,年平均,309146,3314,3072,309389,31461,602,894,31169
30人以上,E 製造業,令和５,2023,年平均,327202,3901,3271,327832,20941,304,329,20917
30人以上,E 製造業,令和５,2023,1月,310403,9215,2735,316872,18988,231,363,18867
30人以上,E 製造業,令和５,2023,2月,324669,1825,2783,323702,22640,578,337,22890
30人以上,E 製造業,令和５,2023,3月,316343,2035,2244,316139,19256,203,312,19142
30人以上,E 製造業,令和５,2023,4月,321335,13991,8897,326449,23237,471,654,23034
30人以上,E 製造業,令和５,2023,5月,332502,3506,4394,331611,23022,264,581,22708
30人以上,E 製造業,令和５,2023,6月,337077,2485,3484,336072,22205,230,155,22286
30人以上,E 製造業,令和５,2023,7月,328229,2310,3209,327329,22793,314,560,22548
30人以上,E 製造業,令和５,2023,8月,328295,1612,2261,327645,22301,125,196,22231
30人以上,E 製造業,令和５,2023,9月,327529,1755,2000,327294,18670,576,214,19022
30人以上,E 製造業,令和５,2023,10月,329211,4393,3436,330170,18958,179,107,19028
30人以上,E 製造業,令和５,2023,11月,335784,1937,2012,335701,19293,200,230,19271
30人以上,E 製造業,令和５,2023,12月,335042,1746,1792,334982,19929,275,236,19982
30人以上,F 電気・ガス・熱供給・水道業,平成30,2018,年平均,28644,339,428,28554,638,31,38,631
