規模,和暦年,西暦年,年平均・月・前年同月比,調査産業計,調査産業計／前年比・前年同月比（％）,鉱業，採石業，砂利採取業,建設業,製造業,電気・ガス・熱供給・水道業,情報通信業,運輸業，郵便業,卸売業，小売業,金融業，保険業,不動産業，物品賃貸業,学術研究，専門・技術サービス業,宿泊業，飲食サービス業,生活関連サービス業，娯楽業,教育，学習支援業,医療，福祉,複合サービス事業,サービス業（他に分類されないもの）
５人以上,平成29,2017,年平均,102.8,0.6,－,96.4,106.5,92.1,96.8,119.7,99.1,100.3,105.5,101.2,120.8,90.6,109.9,102.1,101.8,98.2
５人以上,平成30,2018,年平均,102.1,-0.8,－,97.6,102.2,99.8,98.7,115.6,107.8,99.4,104,101.8,119.1,93,104.4,99.4,112.1,96.1
５人以上,平成31・令和元,2019,年平均,101.4,-0.6,－,103.8,102.2,103.1,100.8,119.2,100.6,99.3,100.9,105.2,110,95,99,96.2,103.1,102.2
５人以上,令和２,2020,年平均,100,-1.3,－,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
５人以上,令和３,2021,年平均,101.2,1.2,－,97.5,99.6,105.9,101.2,98.8,102.1,91.4,107.8,96.8,109.3,102.4,98.7,105.2,102.9,103.9
５人以上,令和４,2022,年平均,101.1,-0.1,92.7,103.3,96.2,92.6,99.3,105.8,103.1,90.6,111.9,100.9,130.9,104.7,108.8,97.2,95.8,97.9
５人以上,令和４,2022,8月,82.6,-1.8,71.3,81.5,75.4,72.4,77.9,89.1,82.2,69.3,86.4,90,122.1,94.8,82.9,83.8,70.6,86.1
５人以上,令和４,2022,9月,84.7,0.1,71.7,81.9,75.9,75.1,80.9,91.6,89,72.7,86.2,86.6,124.5,90.2,84.5,83.7,69.4,86.6
５人以上,令和４,2022,10月,82.7,-3.4,71,83.6,74.9,74.9,79.1,89.3,81.8,68.9,88.4,85.7,123.8,97.9,87.1,85.6,75.3,84.6
５人以上,令和４,2022,11月,84.1,-3.6,98.6,88,83.9,71.5,79.1,90.6,84.4,70.5,88.8,80.1,124.3,98.1,84.8,88.1,76.9,84.8
５人以上,令和４,2022,12月,176.8,0.4,192.2,197.3,171.8,177.8,180.6,185.8,189.9,162.2,216.6,156.2,160.5,146.8,217.6,164,201.3,147.9
５人以上,令和５,2023,1月,81.7,-3.2,70.2,77.5,77.2,86.6,76.6,98.2,78.3,70,86.5,82.5,126.4,91.3,81.5,88.3,74.8,87.6
５人以上,令和５,2023,2月,80.6,-2.7,71.5,77.2,76,85.4,74.8,93.6,79,74,84,77.1,124.4,91.4,78.1,84.4,76,86.6
５人以上,令和５,2023,3月,91.4,-0.7,×,99.5,91.4,×,84.9,100.4,89.2,76.7,87.9,98,142.6,92.8,95.4,90.2,77.8,95
５人以上,令和５,2023,4月,87.3,-0.9,×,83.1,77,×,86.2,110.9,85.2,68.2,96.3,88.4,127,102.6,89,94,82,88.9
５人以上,令和５,2023,5月,86.2,-0.2,73.2,79.5,80,73.5,80.2,98.5,81.1,96,87.3,89.6,122.9,96.6,83.1,85.8,84.2,90.6
５人以上,令和５,2023,6月,153.6,-0.6,332.5,166.1,152.9,172.6,166,178.4,132,157.5,192.4,155.4,128.4,143.1,180.6,148.4,200.6,143.2
５人以上,令和５,2023,7月,108,-3.5,73,113.1,111,79.3,93.1,115,132.4,73.1,125.7,100.2,139.8,102.6,95.6,103.7,80.8,104.3
５人以上,令和５,2023,8月,81.1,-1.8,73,80.1,78.2,74.6,75.7,93.2,80.9,62.4,83.7,81.3,122.3,96.7,79.5,86,74.6,88.5
５人以上,令和５,2023,8月（前年同月比（％））,－,－,2.4,-1.7,3.7,3,-2.8,4.6,-1.6,-10,-3.1,-9.7,0.2,2,-4.1,2.6,5.7,2.8
30人以上,平成29,2017,年平均,103,0.6,－,98.8,107.3,96.3,98.9,124.1,98.2,94.5,106.9,100.7,119.3,80.3,110.1,99.1,107.7,100.3
30人以上,平成30,2018,年平均,103.1,0,－,96,104.4,101.9,100,117.2,108.6,97.1,107.5,100.6,125.8,89.3,105.1,101.4,116.4,98.8
30人以上,平成31・令和元,2019,年平均,101.8,-1.3,－,104.5,104.7,105.7,102.7,117.7,97.9,99.2,103.8,104.5,115.4,87.3,99.5,97,103.2,103
30人以上,令和２,2020,年平均,100,-1.7,－,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
30人以上,令和３,2021,年平均,101.2,1.2,－,98,99.1,100.7,101.5,98.1,102.5,91.1,104.9,95.8,115,101.8,102.8,106.6,103,104.5
30人以上,令和４,2022,年平均,102.3,1.1,92.7,106,98.9,97.7,100.1,108.3,103.7,87.8,109.4,100.7,153.1,104.5,112.7,98.1,91.8,101.2
30人以上,令和４,2022,8月,81.6,-1,71.3,79.4,75.1,75.5,77.5,90.4,80.1,65.8,86.7,86.9,137.3,93.4,82.9,82.6,67.6,89.8
30人以上,令和４,2022,9月,83.6,0.7,71.7,78.1,74.9,78.4,80.7,93.1,86,68.2,85,85.9,145.8,88.7,84.8,82.6,65.4,90
30人以上,令和４,2022,10月,81.8,-3.1,71,80,74.3,77,79.5,90.1,79.3,65.5,87.6,83.7,146.8,98.8,87.7,83.7,69.6,88.2
30人以上,令和４,2022,11月,83.4,-2,98.6,89.4,85.6,73.1,77.7,92,82.9,67.3,87.6,76.9,148.3,100.7,83.2,86.5,75.6,88
30人以上,令和４,2022,12月,186.2,2.3,192.2,218.9,183.2,185.3,183.2,194.9,202.7,159.6,208.9,160.2,206,161.7,226.7,178.1,191.4,152.4
30人以上,令和５,2023,1月,82,-1.8,70.2,76.5,76.8,90.9,76.9,99.5,76.9,67.1,85.9,83.6,153.5,84.9,83.2,90.3,74.6,92.6
30人以上,令和５,2023,2月,80.3,-2.4,71.5,74.7,75.1,90.3,74.7,93.5,77,72.3,85,76.6,151.1,87.8,79.7,83.5,77.3,90.8
30人以上,令和５,2023,3月,92.1,0,×,94.2,94.4,×,85.2,100.9,89.4,73.9,87.3,100.4,191.7,90.1,98.1,90,79,99.7
30人以上,令和５,2023,4月,87.8,-0.7,×,83.3,77.2,×,86.5,106.2,84.8,65.2,99.1,88.1,153,105.4,91.8,95.4,80.6,93.7
30人以上,令和５,2023,5月,85.2,-0.2,73.2,78.3,80.6,74.9,79.8,96.8,79.7,87.9,89.5,82.4,141.3,96.4,85.4,83.6,81.5,95.3
30人以上,令和５,2023,6月,165.3,0.6,332.5,189.5,167.1,191.9,171.5,192.3,138.8,158.4,203.3,170.2,148.9,172.3,196.3,160.6,187.6,147.1
30人以上,令和５,2023,7月,108.6,-4,73,110.9,111.5,78.6,92.5,117,136.3,69.7,120.2,96.1,183.7,100.3,95,106.4,81.1,110.6
30人以上,令和５,2023,8月,80.6,-1.2,73,76.5,79,77.2,74.8,93.3,78.4,60.2,85.8,80.6,145.4,96.5,81.1,84.7,75.2,93.6
30人以上,令和５,2023,8月（前年同月比（％））,－,－,2.4,-3.7,5.2,2.3,-3.5,3.2,-2.1,-8.5,-1,-7.2,5.9,3.3,-2.2,2.5,11.2,4.2
,,,,,,,,,,,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）令和５年８月分,,,,,,,,,,,,,,,,,,,,,
第15表　規模、産業別実質賃金指数（現金給与総額）,,,,,,,,,,,,,,,,,,,,,
（令和２年平均＝100）,,,,,,,,,,,,,,,,,,,,,
実質賃金指数（現金給与総額）＝ 名目賃金指数（現金給与総額）÷ 東京都区部消費者物価指数※ ×１００　　※東京都区部消費者物価指数は「持家の帰属家賃を除く総合」である。,,,,,,,,,,,,,,,,,,,,,
