規模,和暦年,西暦年,年平均・月・前年同月比,調査産業計,調査産業計／前年比・前年同月比（％）,鉱業，採石業，砂利採取業,建設業,製造業,電気・ガス・熱供給・水道業,情報通信業,運輸業，郵便業,卸売業，小売業,金融業，保険業,不動産業，物品賃貸業,学術研究，専門・技術サービス業,宿泊業，飲食サービス業,生活関連サービス業，娯楽業,教育，学習支援業,医療，福祉,複合サービス事業,サービス業（他に分類されないもの）
５人以上,平成29,2017,年平均,97.6,1.6,－,89.7,91.5,100.8,94,96.6,99.3,98.1,96.9,99.1,106.5,98.5,102.9,99,99.8,96.7
５人以上,平成30,2018,年平均,98.8,1.2,－,89.8,98.2,116.2,95.3,97.2,99.7,99.4,97.3,99.3,108.6,96.3,103.1,95.4,90.1,100.1
５人以上,平成31・令和元,2019,年平均,100.7,1.9,－,94.7,100.4,106.8,97.4,98.5,100.7,100.7,99.1,100.3,109.3,98.8,102.1,100.1,101.5,102.1
５人以上,令和２,2020,年平均,100,-0.7,－,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
５人以上,令和３,2021,年平均,99.2,-0.8,－,102.7,97.5,102.3,102.6,97.7,99.6,100.1,101.3,100.2,92.9,96.1,99.9,100.6,98.1,98.4
５人以上,令和４,2022,年平均,99.8,0.6,94.9,104,96.8,102.1,103.4,95.8,98.8,98.8,104.8,102.7,96.1,96.8,99,102.9,90.1,99.3
５人以上,令和４,2022,2月,98.9,0.1,99.4,102.5,97,100.9,102.3,96.2,98.3,97.8,102.4,100.8,93.5,96.1,99.4,100.6,94.8,99.2
５人以上,令和４,2022,3月,98.3,0.2,99,102.3,96.5,103.4,101.9,96.3,97.8,97.4,102.5,100.6,93.1,94.6,94.4,100.4,93,98.7
５人以上,令和４,2022,4月,100,0.1,97.3,104.9,97.6,103.9,104.9,96.5,99.1,100.3,105.8,102.9,93.3,96.7,97.6,103.1,90,99.1
５人以上,令和４,2022,5月,100.3,0.1,94.9,104.9,97.7,102.6,104.9,96.4,98.8,99.8,105.8,102.8,95,97.8,99.5,103.6,90,99.5
５人以上,令和４,2022,6月,100.2,0.4,94,104.7,98.1,102.1,104.7,96,99,99.6,105,102.8,96,98.8,100.5,103.3,90,98.2
５人以上,令和４,2022,7月,100.2,0.8,93.8,104.6,96.6,101.3,104.1,95.4,99,99.6,105.7,102.9,96.5,97.9,100.1,103.3,90.5,99.6
５人以上,令和４,2022,8月,99.9,0.9,93,104.5,96.6,100.7,103.8,95.1,98.9,99.4,105.7,103.1,96.2,96.1,97.6,104,90.5,99.2
５人以上,令和４,2022,9月,100.2,1.3,92,104.4,97.6,102.5,103.4,95,99,98.7,105.8,103.3,97.2,97.1,98.5,104.2,90.2,99.6
５人以上,令和４,2022,10月,100.2,0.9,92,104,96.8,102.7,103,95.2,99,98.5,105.7,104.1,98.2,97.8,99.7,103.4,76.2,100
