事業所規模,産業,和暦年,西暦年,年平均・月,一般労働者／現金給与総額(円),一般労働者／きまって支給する給与(円),一般労働者／所定内給与(円),一般労働者／所定外給与(円),一般労働者／特別に支払われた給与(円),パートタイム労働者／現金給与総額(円),パートタイム労働者／きまって支給する給与(円),パートタイム労働者／所定内給与(円),パートタイム労働者／所定外給与(円),パートタイム労働者／特別に支払われた給与(円)
５人以上,TL 調査産業計,平成30,2018,年平均,521638,405574,378100,27474,116064,111177,108686,104435,4251,2491
５人以上,TL 調査産業計,平成31・令和元,2019,年平均,521996,406791,377571,29220,115205,109857,107432,103332,4100,2425
５人以上,TL 調査産業計,令和２,2020,年平均,508680,401124,374479,26645,107556,107401,104399,100985,3414,3002
５人以上,TL 調査産業計,令和３,2021,年平均,507103,401179,373082,28097,105924,112662,109149,105864,3285,3513
５人以上,TL 調査産業計,令和４,2022,年平均,523843,408877,379120,29757,114966,117928,114752,110885,3867,3176
５人以上,TL 調査産業計,令和５,2023,年平均,533136,417295,387030,30265,115841,118790,115764,111849,3915,3026
５人以上,TL 調査産業計,令和５,2023,1月,429178,409175,380103,29072,20003,111183,110008,106225,3783,1175
５人以上,TL 調査産業計,令和５,2023,2月,421496,407951,378834,29117,13545,113251,112506,108618,3888,745
５人以上,TL 調査産業計,令和５,2023,3月,478095,418403,387160,31243,59692,115788,114225,110124,4101,1563
５人以上,TL 調査産業計,令和５,2023,4月,457404,423850,391862,31988,33554,117371,116384,112288,4096,987
５人以上,TL 調査産業計,令和５,2023,5月,454767,415753,385699,30054,39014,116254,115303,111383,3920,951
５人以上,TL 調査産業計,令和５,2023,6月,835194,416303,386271,30032,418891,125963,116868,112828,4040,9095
５人以上,TL 調査産業計,令和５,2023,7月,583032,418007,387475,30532,165025,121358,117532,113618,3914,3826
５人以上,TL 調査産業計,令和５,2023,8月,429569,415891,386323,29568,13678,118409,117303,113493,3810,1106
５人以上,TL 調査産業計,令和５,2023,9月,441575,417981,388889,29092,23594,117321,116435,112675,3760,886
５人以上,TL 調査産業計,令和５,2023,10月,437642,419833,389863,29970,17809,118470,117356,113527,3829,1114
５人以上,TL 調査産業計,令和５,2023,11月,453615,422605,390944,31661,31010,118382,116390,112570,3820,1992
５人以上,TL 調査産業計,令和５,2023,12月,968248,421657,390805,30852,546591,131110,118498,114473,4025,12612
５人以上,"C 鉱業,採石業,砂利採取業",平成30,2018,年平均,728116,546464,518505,27959,181652,117294,117294,117294,－,－
５人以上,"C 鉱業,採石業,砂利採取業",平成31・令和元,2019,年平均,808423,581695,549289,32406,226728,153129,141479,141458,21,11650
５人以上,"C 鉱業,採石業,砂利採取業",令和２,2020,年平均,831701,572695,537550,35145,259006,213524,197228,196833,395,16296
５人以上,"C 鉱業,採石業,砂利採取業",令和３,2021,年平均,815349,570144,529299,40845,245205,385894,360313,357729,2584,25581
５人以上,"C 鉱業,採石業,砂利採取業",令和４,2022,年平均,777019,595580,553158,42422,181439,369602,349547,347646,1901,20055
５人以上,"C 鉱業,採石業,砂利採取業",令和５,2023,年平均,964430,632581,593609,38972,331849,－,－,－,－,－
５人以上,"C 鉱業,採石業,砂利採取業",令和５,2023,1月,609258,606732,569100,37632,2526,－,－,－,－,－
５人以上,"C 鉱業,採石業,砂利採取業",令和５,2023,2月,615969,613336,573121,40215,2633,－,－,－,－,－
５人以上,"C 鉱業,採石業,砂利採取業",令和５,2023,3月,×,×,×,×,×,×,×,×,×,×
５人以上,"C 鉱業,採石業,砂利採取業",令和５,2023,4月,×,×,×,×,×,×,×,×,×,×
５人以上,"C 鉱業,採石業,砂利採取業",令和５,2023,5月,637642,633535,590293,43242,4107,－,－,－,－,－
５人以上,"C 鉱業,採石業,砂利採取業",令和５,2023,6月,2897653,624848,591515,33333,2272805,－,－,－,－,－
５人以上,"C 鉱業,採石業,砂利採取業",令和５,2023,7月,639943,635408,596092,39316,4535,－,－,－,－,－
５人以上,"C 鉱業,採石業,砂利採取業",令和５,2023,8月,639808,635556,597230,38326,4252,－,－,－,－,－
５人以上,"C 鉱業,採石業,砂利採取業",令和５,2023,9月,639561,635014,601867,33147,4547,－,－,－,－,－
５人以上,"C 鉱業,採石業,砂利採取業",令和５,2023,10月,650358,645693,608094,37599,4665,－,－,－,－,－
５人以上,"C 鉱業,採石業,砂利採取業",令和５,2023,11月,1046861,649476,605795,43681,397385,－,－,－,－,－
５人以上,"C 鉱業,採石業,砂利採取業",令和５,2023,12月,1893124,657337,615129,42208,1235787,－,－,－,－,－
５人以上,D 建設業,平成30,2018,年平均,530091,403408,360426,42982,126683,123145,116365,114863,1502,6780
５人以上,D 建設業,平成31・令和元,2019,年平均,567922,428912,388710,40202,139010,153969,145772,141468,4304,8197
５人以上,D 建設業,令和２,2020,年平均,540233,410522,373727,36795,129711,165565,155482,148592,6890,10083
５人以上,D 建設業,令和３,2021,年平均,527323,410007,373805,36202,117316,174577,163895,159919,3976,10682
５人以上,D 建設業,令和４,2022,年平均,578359,440823,405349,35474,137536,142623,137320,135624,1696,5303
５人以上,D 建設業,令和５,2023,年平均,582833,454176,417745,36431,128657,132504,126892,124901,1991,5612
５人以上,D 建設業,令和５,2023,1月,447795,440906,403979,36927,6889,129016,128549,126924,1625,467
５人以上,D 建設業,令和５,2023,2月,443117,438081,401781,36300,5036,136163,135229,133147,2082,934
５人以上,D 建設業,令和５,2023,3月,570645,453025,412182,40843,117620,130644,129044,126555,2489,1600
５人以上,D 建設業,令和５,2023,4月,477565,462457,422605,39852,15108,131675,130287,128633,1654,1388
５人以上,D 建設業,令和５,2023,5月,461769,447578,411706,35872,14191,124793,124109,122231,1878,684
５人以上,D 建設業,令和５,2023,6月,975315,451864,415136,36728,523451,125320,117896,116567,1329,7424
