事業所規模,産業,和暦年,西暦年,年平均・月,一般労働者／出勤日数(日),一般労働者／総実労働時間(時間),一般労働者／所定内労働時間(時間),一般労働者／所定外労働時間(時間),パートタイム労働者／出勤日数(日),パートタイム労働者／総実労働時間(時間),パートタイム労働者／所定内労働時間(時間),パートタイム労働者／所定外労働時間(時間)
30人以上,TL 調査産業計,平成30,2018,年平均,19.3,161.2,146.7,14.5,14.1,87.4,84.2,3.2
30人以上,TL 調査産業計,平成31・令和元,2019,年平均,18.9,158.4,143,15.4,13.2,82.4,78.9,3.5
30人以上,TL 調査産業計,令和２,2020,年平均,18.6,154.6,140.7,13.9,12.6,77.4,74.1,3.3
30人以上,TL 調査産業計,令和３,2021,年平均,18.7,157.5,142.3,15.2,13,79.8,77,2.8
30人以上,TL 調査産業計,令和４,2022,年平均,18.7,158.4,142.5,15.9,13.3,82.2,79.1,3.1
30人以上,TL 調査産業計,令和５,2023,年平均,18.9,160.2,144.4,15.8,13.3,83.8,80.6,3.2
30人以上,TL 調査産業計,令和５,2023,1月,17.8,151.5,136.2,15.3,12.2,77,74.1,2.9
30人以上,TL 調査産業計,令和５,2023,2月,18,153.8,137.8,16,12.9,80.5,77.5,3
30人以上,TL 調査産業計,令和５,2023,3月,19.3,164.6,147.7,16.9,13.3,83.1,80,3.1
30人以上,TL 調査産業計,令和５,2023,4月,19.5,165.9,148.9,17,13.4,85.6,82.2,3.4
30人以上,TL 調査産業計,令和５,2023,5月,18.6,157.2,141.7,15.5,13.2,83.4,80.4,3
30人以上,TL 調査産業計,令和５,2023,6月,19.8,168.1,151.9,16.2,13.6,86.2,83.1,3.1
30人以上,TL 調査産業計,令和５,2023,7月,19.3,163.1,147.3,15.8,13.6,85.7,82.6,3.1
30人以上,TL 調査産業計,令和５,2023,8月,18.5,156.4,141.7,14.7,13.1,83.9,80.8,3.1
30人以上,TL 調査産業計,令和５,2023,9月,18.7,158.4,143.1,15.3,13.4,85.4,81.9,3.5
30人以上,TL 調査産業計,令和５,2023,10月,19.2,162.4,146.3,16.1,13.6,86.1,82.7,3.4
30人以上,TL 調査産業計,令和５,2023,11月,19.1,162.5,146.4,16.1,13.3,83.8,80.5,3.3
30人以上,TL 調査産業計,令和５,2023,12月,18.7,158.4,143,15.4,13.4,84.7,81.1,3.6
30人以上,"C 鉱業,採石業,砂利採取業",平成30,2018,年平均,18.8,154.8,135.1,19.7,12.1,82.9,82.5,0.4
30人以上,"C 鉱業,採石業,砂利採取業",平成31・令和元,2019,年平均,18.6,154.8,136,18.8,17.8,129.2,129,0.2
30人以上,"C 鉱業,採石業,砂利採取業",令和２,2020,年平均,18.9,157.1,137.1,20,15.7,116.8,116.5,0.3
30人以上,"C 鉱業,採石業,砂利採取業",令和３,2021,年平均,18.7,159.2,136,23.2,13.8,93.4,92,1.4
30人以上,"C 鉱業,採石業,砂利採取業",令和４,2022,年平均,18.2,154.1,131.7,22.4,12.1,77.5,76.5,1
30人以上,"C 鉱業,採石業,砂利採取業",令和５,2023,年平均,18.9,160.6,138.9,21.7,－,－,－,－
30人以上,"C 鉱業,採石業,砂利採取業",令和５,2023,1月,17.4,150.3,127.7,22.6,－,－,－,－
