事業所規模,産業,和暦年,西暦年,年平均・月,出勤日数／計(日),出勤日数／男(日),出勤日数／女(日),総実労働時間／計(時間),総実労働時間／男(時間),総実労働時間／女(時間),所定内労働時間／計(時間),所定内労働時間／男(時間),所定内労働時間／女(時間),所定外労働時間／計(時間),所定外労働時間／男(時間),所定外労働時間／女(時間)
５人以上,TL 調査産業計,平成30,2018,年平均,17.9,18.7,16.8,141.1,153.6,124.1,130.2,139.9,117,10.9,13.7,7.1
５人以上,TL 調査産業計,平成31・令和元,2019,年平均,17.4,18.2,16.3,138.1,150.8,121.1,126.7,136.4,113.8,11.4,14.4,7.3
５人以上,TL 調査産業計,令和２,2020,年平均,17.1,17.9,15.9,134.5,147,117.6,124.2,133.8,111.2,10.3,13.2,6.4
５人以上,TL 調査産業計,令和３,2021,年平均,17.3,18.1,16.2,137.6,149.7,121.5,126.4,135.5,114.3,11.2,14.2,7.2
５人以上,TL 調査産業計,令和４,2022,年平均,17.3,18.1,16.3,138.4,151.1,122.3,126.7,136.1,114.7,11.7,15,7.6
５人以上,TL 調査産業計,令和５,2023,年平均,17.4,18.3,16.4,139.9,153.1,123.9,128.2,138.2,116.1,11.7,14.9,7.8
５人以上,TL 調査産業計,令和５,2023,1月,16.3,17.1,15.3,131.8,143.8,117.1,120.5,129.4,109.5,11.3,14.4,7.6
５人以上,TL 調査産業計,令和５,2023,2月,16.8,17.7,15.8,135.2,148.5,119,123.5,133.5,111.4,11.7,15,7.6
５人以上,TL 調査産業計,令和５,2023,3月,17.7,18.6,16.6,143,156.7,126.3,130.5,140.8,117.9,12.5,15.9,8.4
５人以上,TL 調査産業計,令和５,2023,4月,17.9,18.9,16.8,144.6,158.2,127.8,132.1,142.5,119.3,12.5,15.7,8.5
５人以上,TL 調査産業計,令和５,2023,5月,17.2,17.9,16.2,137.5,149.5,122.9,126.1,135.1,115.1,11.4,14.4,7.8
５人以上,TL 調査産業計,令和５,2023,6月,18.3,19.2,17.2,147,160.5,130.4,135.1,145.3,122.5,11.9,15.2,7.9
５人以上,TL 調査産業計,令和５,2023,7月,17.8,18.7,16.7,142.4,156.4,125.5,130.7,141.3,117.9,11.7,15.1,7.6
５人以上,TL 調査産業計,令和５,2023,8月,17.1,17.9,16.1,137.1,149.4,122.2,126.2,135.4,115,10.9,14,7.2
５人以上,TL 調査産業計,令和５,2023,9月,17.4,18.2,16.4,139.4,152.4,123.7,128.1,138,116.1,11.3,14.4,7.6
５人以上,TL 調査産業計,令和５,2023,10月,17.6,18.6,16.5,141,154.7,124.7,129.2,139.7,116.7,11.8,15,8
５人以上,TL 調査産業計,令和５,2023,11月,17.6,18.6,16.5,141.3,155.2,124.7,129.5,140.3,116.6,11.8,14.9,8.1
５人以上,TL 調査産業計,令和５,2023,12月,17.3,18.2,16.3,138.7,151.8,123.2,127.2,137.1,115.4,11.5,14.7,7.8
５人以上,"C 鉱業,採石業,砂利採取業",平成30,2018,年平均,18.8,18.9,18.3,154.7,158.9,142.9,135.1,136.9,130,19.6,22,12.9
５人以上,"C 鉱業,採石業,砂利採取業",平成31・令和元,2019,年平均,18.6,18.7,18.2,154.6,157.9,143.5,136,137.5,130.9,18.6,20.4,12.6
５人以上,"C 鉱業,採石業,砂利採取業",令和２,2020,年平均,18.9,19,18.5,156.7,159.1,148.7,136.9,137.8,134,19.8,21.3,14.7
５人以上,"C 鉱業,採石業,砂利採取業",令和３,2021,年平均,18.7,18.7,18.5,158.4,161.7,149.4,135.5,136.9,131.7,22.9,24.8,17.7
５人以上,"C 鉱業,採石業,砂利採取業",令和４,2022,年平均,18.2,18.3,18,153.7,156.2,146.4,131.4,132.3,128.7,22.3,23.9,17.7
５人以上,"C 鉱業,採石業,砂利採取業",令和５,2023,年平均,18.9,18.9,18.8,160.6,162.4,154.8,138.9,139.5,136.9,21.7,22.9,17.9
５人以上,"C 鉱業,採石業,砂利採取業",令和５,2023,1月,17.4,17.3,17.6,150.3,151.5,146.3,127.7,127.8,127.4,22.6,23.7,18.9
５人以上,"C 鉱業,採石業,砂利採取業",令和５,2023,2月,18,17.9,18,155.5,157.9,147.8,132.6,133.2,130.8,22.9,24.7,17
５人以上,"C 鉱業,採石業,砂利採取業",令和５,2023,3月,×,×,×,×,×,×,×,×,×,×,×,×
５人以上,"C 鉱業,採石業,砂利採取業",令和５,2023,4月,×,×,×,×,×,×,×,×,×,×,×,×
５人以上,"C 鉱業,採石業,砂利採取業",令和５,2023,5月,17.9,17.9,17.9,152.5,154.1,147.4,131.7,132.1,130.3,20.8,22,17.1
５人以上,"C 鉱業,採石業,砂利採取業",令和５,2023,6月,20.8,20.9,20.6,176,179,166.7,153.3,154.3,150.1,22.7,24.7,16.6
５人以上,"C 鉱業,採石業,砂利採取業",令和５,2023,7月,19.1,19.2,18.7,161.9,164.8,153.3,139.6,140.8,135.9,22.3,24,17.4
５人以上,"C 鉱業,採石業,砂利採取業",令和５,2023,8月,19.8,19.9,19.6,166.1,168.7,158.6,145.8,147,142.3,20.3,21.7,16.3
５人以上,"C 鉱業,採石業,砂利採取業",令和５,2023,9月,18.2,18.3,18,155.1,157.3,148.5,133.6,134.5,130.7,21.5,22.8,17.8
５人以上,"C 鉱業,採石業,砂利採取業",令和５,2023,10月,19,19.1,18.6,160.9,163.7,152.9,138.9,140.3,134.9,22,23.4,18
５人以上,"C 鉱業,採石業,砂利採取業",令和５,2023,11月,19.1,19.1,18.9,162.7,164.9,156.1,140.2,141.2,137.3,22.5,23.7,18.8
５人以上,"C 鉱業,採石業,砂利採取業",令和５,2023,12月,18.6,18.7,18.5,156.2,157.5,152.1,136.8,137.5,134.5,19.4,20,17.6
５人以上,D 建設業,平成30,2018,年平均,20.4,20.8,18.6,176,181.6,150.9,155,157.9,142,21,23.7,8.9
５人以上,D 建設業,平成31・令和元,2019,年平均,19.9,20.2,18.4,169.3,174,147.4,148.7,151.1,137.7,20.6,22.9,9.7
５人以上,D 建設業,令和２,2020,年平均,19.5,19.8,18.4,166.2,169.9,147.3,148,150,137.8,18.2,19.9,9.5
５人以上,D 建設業,令和３,2021,年平均,19.4,19.6,18.5,166.4,169.9,150.3,147.4,149.3,138.8,19,20.6,11.5
５人以上,D 建設業,令和４,2022,年平均,19.3,19.6,18,164.2,168.6,146.5,145.5,148.1,134.9,18.7,20.5,11.6
５人以上,D 建設業,令和５,2023,年平均,19.4,19.7,18.1,164.9,169.6,146.5,146.5,149.3,135.4,18.4,20.3,11.1
５人以上,D 建設業,令和５,2023,1月,17.6,17.9,16.3,150,154.4,132.1,132.9,135.7,121.8,17.1,18.7,10.3
５人以上,D 建設業,令和５,2023,2月,19.1,19.4,18,164.1,168.4,145.8,143.9,146.1,134.5,20.2,22.3,11.3
５人以上,D 建設業,令和５,2023,3月,19.7,20.1,18.2,168.4,173.2,148.6,148,150.9,136.1,20.4,22.3,12.5
５人以上,D 建設業,令和５,2023,4月,20.3,20.6,18.9,172.5,176.9,153.7,152.5,155.1,141.4,20,21.8,12.3
５人以上,D 建設業,令和５,2023,5月,18.4,18.7,17.1,154.8,159,138.3,138.1,140.7,127.9,16.7,18.3,10.4
５人以上,D 建設業,令和５,2023,6月,20.4,20.6,19.3,171.8,176.6,153.3,153.2,155.8,143,18.6,20.8,10.3
５人以上,D 建設業,令和５,2023,7月,20.3,20.7,19,172.9,178.1,152.8,153.2,156.3,141.2,19.7,21.8,11.6
