事業所規模,和暦年,西暦年,年平均・月,出勤日数／計(日),出勤日数／男(日),出勤日数／女(日),総実労働時間／計(時間),総実労働時間／男(時間),総実労働時間／女(時間),所定内労働時間／計(時間),所定内労働時間／男(時間),所定内労働時間／女(時間),所定外労働時間／計(時間),所定外労働時間／男(時間),所定外労働時間／女(時間)
５～29人,平成30,2018,年平均,17,18.3,15.7,128.6,145.3,110.2,120.9,134.8,105.6,7.7,10.5,4.6
５～29人,平成31・令和元,2019,年平均,16.7,17.9,15.3,126.4,143.4,108.1,118.8,133,103.5,7.6,10.4,4.6
５～29人,令和２,2020,年平均,16.2,17.4,14.8,122.3,139.2,104.5,115.7,129.8,100.8,6.6,9.4,3.7
５～29人,令和３,2021,年平均,16.3,17.5,15.1,123.3,139.8,106.5,116.5,129.9,102.8,6.8,9.9,3.7
５～29人,令和４,2022,年平均,16.4,17.6,15.2,122.8,139.9,105.9,115.7,129.6,102,7.1,10.3,3.9
５～29人,令和５,2023,年平均,16.3,17.6,15,122.7,141.2,105.4,115.7,131,101.4,7,10.2,4
５～29人,令和５,2023,1月,15.1,16.3,13.9,114,130.8,98.4,107.3,121.1,94.4,6.7,9.7,4
５～29人,令和５,2023,2月,16.1,17.4,14.9,121,138.7,104.3,114.3,128.8,100.5,6.7,9.9,3.8
５～29人,令和５,2023,3月,16.4,17.8,15.1,124.6,143.6,106.5,116.9,132.3,102.2,7.7,11.3,4.3
５～29人,令和５,2023,4月,16.6,18.1,15.3,125.5,144.6,107.6,118.5,134.5,103.5,7,10.1,4.1
５～29人,令和５,2023,5月,15.9,17.2,14.8,119.7,136.8,103.6,113,127.2,99.7,6.7,9.6,3.9
５～29人,令和５,2023,6月,17.2,18.6,15.9,129.3,148.2,111.3,122.4,138.2,107.4,6.9,10,3.9
５～29人,令和５,2023,7月,16.5,17.9,15.2,124.4,143.6,106.8,117.3,133.1,102.8,7.1,10.5,4
５～29人,令和５,2023,8月,15.9,17.2,14.7,120.5,138.2,103.9,113.8,128.3,100.2,6.7,9.9,3.7
５～29人,令和５,2023,9月,16.4,17.9,15,123.3,142.8,105.6,116.7,133,101.9,6.6,9.8,3.7
５～29人,令和５,2023,10月,16.3,17.9,14.9,123.1,142.4,105.2,116.1,132.2,101.2,7,10.2,4
５～29人,令和５,2023,11月,16.4,17.9,15,123.7,143.2,105.8,116.6,132.8,101.8,7.1,10.4,4
５～29人,令和５,2023,12月,16.2,17.6,14.9,122.5,141,105.4,115.2,130.4,101.2,7.3,10.6,4.2
30～99人,平成30,2018,年平均,18,19,16.8,140.8,156.5,120.9,129.7,141.8,114.3,11.1,14.7,6.6
30～99人,平成31・令和元,2019,年平均,17.3,18.2,16.1,136.9,152.5,116,125,136.7,109.3,11.9,15.8,6.7
30～99人,令和２,2020,年平均,16.9,17.7,15.7,132.4,146.3,113.4,122.3,132.8,107.9,10.1,13.5,5.5
30～99人,令和３,2021,年平均,17.1,17.8,16.1,135.3,147.2,118.3,124.6,133.4,112,10.7,13.8,6.3
30～99人,令和４,2022,年平均,17.2,17.9,16.3,137.7,150.5,121.2,126.2,135.3,114.4,11.5,15.2,6.8
30～99人,令和５,2023,年平均,17.5,18.3,16.5,140.9,153.9,125.2,129.2,139,117.3,11.7,14.9,7.9
30～99人,令和５,2023,1月,16.3,17.1,15.4,132.6,144.3,117.8,121.3,129.9,110.4,11.3,14.4,7.4
30～99人,令和５,2023,2月,16.8,17.8,15.6,136.1,151.5,118,124.1,135.7,110.4,12,15.8,7.6
30～99人,令和５,2023,3月,17.9,18.7,17,145.2,158.2,129.5,132.7,142.4,120.9,12.5,15.8,8.6
30～99人,令和５,2023,4月,18.1,19,17.1,146.9,160.1,131,134.1,144,122.1,12.8,16.1,8.9
30～99人,令和５,2023,5月,17.3,17.9,16.5,139.1,150.6,124.9,127.5,136,117.1,11.6,14.6,7.8
30～99人,令和５,2023,6月,18.6,19.4,17.6,149.3,161.4,134.5,137.2,146.3,126,12.1,15.1,8.5
30～99人,令和５,2023,7月,17.8,18.7,16.7,142.8,157.3,125.4,130.8,141.6,117.8,12,15.7,7.6
30～99人,令和５,2023,8月,16.8,17.7,15.8,136,148.3,120.9,125.5,134.6,114.3,10.5,13.7,6.6
30～99人,令和５,2023,9月,17.6,18.4,16.7,141.2,153.5,126.2,129.9,139.1,118.7,11.3,14.4,7.5
30～99人,令和５,2023,10月,17.7,18.6,16.7,140.8,154.2,124.8,129.4,139.7,117.1,11.4,14.5,7.7
30～99人,令和５,2023,11月,17.6,18.5,16.4,141.6,155.4,125,129.9,140.9,116.7,11.7,14.5,8.3
30～99人,令和５,2023,12月,17.4,18.3,16.4,139.5,152.4,123.8,127.7,137.6,115.7,11.8,14.8,8.1
100～499人,平成30,2018,年平均,18.3,18.8,17.6,147.7,156.4,133.7,135.3,141.5,125.3,12.4,14.9,8.4
100～499人,平成31・令和元,2019,年平均,18,18.4,17.2,145.2,153.6,132,132.3,138.2,123,12.9,15.4,9
100～499人,令和２,2020,年平均,17.8,18.3,17,141.7,149.7,128.5,129.8,135.7,120.2,11.9,14,8.3
100～499人,令和３,2021,年平均,18,18.5,17.2,146.8,156.2,132.7,133.5,140.3,123.3,13.3,15.9,9.4
100～499人,令和４,2022,年平均,18,18.5,17.2,147.7,158,133.3,133.8,141.3,123.4,13.9,16.7,9.9
100～499人,令和５,2023,年平均,18.2,18.7,17.4,150.6,160.6,136.7,136.7,143.7,126.9,13.9,16.9,9.8
100～499人,令和５,2023,1月,17.2,17.6,16.6,142.9,151.6,130.6,129.3,135.2,121,13.6,16.4,9.6
