事業所規模,和暦年,西暦年,年平均・月・前年比・前年同月比,調査産業計,鉱業，採石業，砂利採取業,建設業,製造業,電気・ガス・熱供給・水道業,情報通信業,運輸業，郵便業,卸売業，小売業,金融業，保険業,不動産業，物品賃貸業,学術研究，専門・技術サービス業,宿泊業，飲食サービス業,生活関連サービス業，娯楽業,教育，学習支援業,医療，福祉,複合サービス事業,サービス業（他に分類されないもの）
５人以上,平成30,2018,年平均,101.1,－,96.6,101.2,98.8,97.7,114.4,106.7,98.4,103,100.8,117.9,92.1,103.4,98.4,111,95.1
５人以上,平成31・令和元,2019,年平均,101.3,－,103.7,102.1,103,100.7,119.1,100.5,99.2,100.8,105.1,109.9,94.9,98.9,96.1,103,102.1
５人以上,令和２,2020,年平均,100,－,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
５人以上,令和３,2021,年平均,100.9,－,97.2,99.3,105.6,100.9,98.5,101.8,91.1,107.5,96.5,109,102.1,98.4,104.9,102.6,103.6
５人以上,令和４,2022,年平均,103.7,95.1,106,98.7,95,101.9,108.5,105.8,93,114.8,103.5,134.3,107.4,111.6,99.7,98.3,100.4
５人以上,令和５,2023,年平均,105.6,117.1,106.4,102.5,103.8,102.3,122.2,105.7,90.6,116.3,104.9,136.8,110.9,110.4,105.7,105.4,106.6
５人以上,令和５,2023,1月,86.4,74.2,81.9,81.6,91.5,81,103.8,82.8,74,91.4,87.2,133.6,96.5,86.1,93.3,79.1,92.6
５人以上,令和５,2023,2月,84.6,75.1,81.1,79.8,89.7,78.5,98.3,83,77.7,88.2,81,130.6,96,82,88.6,79.8,90.9
５人以上,令和５,2023,3月,95.4,×,103.9,95.4,×,88.6,104.8,93.1,80.1,91.8,102.3,148.9,96.9,99.6,94.2,81.2,99.2
５人以上,令和５,2023,4月,91.8,×,87.3,80.9,×,90.6,116.6,89.5,71.7,101.2,92.9,133.5,107.8,93.5,98.8,86.2,93.4
５人以上,令和５,2023,5月,91.5,77.7,84.4,85,78.1,85.2,104.6,86.1,102,92.7,95.2,130.5,102.6,88.3,91.1,89.4,96.2
５人以上,令和５,2023,6月,163.1,353.1,176.4,162.4,183.3,176.3,189.5,140.2,167.3,204.3,165,136.4,152,191.8,157.6,213,152.1
５人以上,令和５,2023,7月,115.3,78,120.8,118.6,84.7,99.4,122.8,141.4,78.1,134.2,107,149.3,109.6,102.1,110.8,86.3,111.4
５人以上,令和５,2023,8月,86.7,78,85.6,83.6,79.7,80.9,99.6,86.5,66.7,89.5,86.9,130.7,103.4,85,91.9,79.7,94.6
５人以上,令和５,2023,9月,88.9,77.9,86.3,81.2,80.3,87,102.4,90.5,72.6,89.9,92.3,126.2,99.2,85.7,90.5,78.8,93
５人以上,令和５,2023,10月,87.3,79.3,87.1,80.3,83.2,86.6,99.4,85.4,67.8,90.2,93.4,131.9,101.1,88.3,85.5,90.8,94.3
５人以上,令和５,2023,11月,90.6,127.6,87,87.5,80.5,88.3,106.4,91.2,69.4,92.4,86.1,129.2,103,103.7,94.2,88.3,94.4
５人以上,令和５,2023,12月,186,230.7,195,193.6,218.5,184.7,218,199.1,159.7,229.7,168.9,160.2,162.7,219.2,172.1,212.5,166.8
５人以上,平成31・令和元,2019,年平均（前年比（％））,0.3,－,7.4,0.8,4.2,3.2,4,-5.9,0.8,-2.1,4.2,-6.8,3.1,-4.3,-2.4,-7.1,7.3
５人以上,令和２,2020,年平均（前年比（％））,-1.3,－,-3.6,-2,-2.9,-0.7,-16,-0.5,0.8,-0.8,-4.8,-9,5.4,1.2,4.1,-2.9,-2.1
５人以上,令和３,2021,年平均（前年比（％））,0.9,－,-2.7,-0.7,5.6,0.9,-1.5,1.9,-8.9,7.5,-3.6,9.2,2.2,-1.7,4.9,2.6,3.7
５人以上,令和４,2022,年平均（前年比（％））,2.8,－,9.1,-0.6,-10,1,10.2,3.9,2.1,6.8,7.3,23.2,5.2,13.4,-5,-4.2,-3.1
５人以上,令和５,2023,年平均（前年比（％））,1.8,23.1,0.4,3.9,9.3,0.4,12.6,-0.1,-2.6,1.3,1.4,1.9,3.3,-1.1,6,7.2,6.2
５人以上,令和５,2023,1月（前年同月比（％））,2,5.4,1.1,5.4,24.2,-1.3,15.6,0.4,1.2,-10.1,2,5.9,0.5,1.7,6.5,4.4,4.4
５人以上,令和５,2023,2月（前年同月比（％））,1.3,5.3,0,-2.6,20.7,-2,13.1,0.7,4.4,-3.1,-3.3,8.7,2.5,-1.4,5.6,7.8,4.4
５人以上,令和５,2023,3月（前年同月比（％））,2.5,×,8.8,5,×,-0.1,3.1,1.9,-5.4,-1.5,0.2,14.6,-0.9,4.2,4.9,4.5,7
５人以上,令和５,2023,4月（前年同月比（％））,2.2,×,1.7,0.2,×,1,23.1,-0.1,-6.9,1.3,0.7,3.2,3.3,-6.7,15.2,4,5.3
５人以上,令和５,2023,5月（前年同月比（％））,3.6,7,2.9,3.4,4.4,2.2,13.2,0,14.9,-1.3,2.1,-2,3.5,0.9,8.5,14.3,3.6
５人以上,令和５,2023,6月（前年同月比（％））,3.2,111.8,2.7,10.4,-2.1,-1.3,21.9,-5.8,-4.9,14.8,3.9,-2.9,12.3,1.2,22.5,10.4,9.3
５人以上,令和５,2023,7月（前年同月比（％））,0.3,-12.7,0.8,-2.8,3,-2.1,10,1.9,-1.3,3.6,0,-0.6,-2.3,-13.2,1.2,3.5,6.5
５人以上,令和５,2023,8月（前年同月比（％））,1.8,6,1.8,7.5,6.7,0.6,8.4,2,-6.7,0.3,-6.5,3.7,5.7,-0.7,6.2,9.3,6.4
５人以上,令和５,2023,9月（前年同月比（％））,1.4,5,1.8,3.3,3.3,3.9,8,-1.7,-3.5,0.8,3,-2.1,6.2,-2.1,4.5,9.7,3.8
５人以上,令和５,2023,10月（前年同月比（％））,1.3,7.2,0,2.9,6.7,5.1,6.9,0.2,-5.6,-2.1,4.6,2.2,-0.9,-2.8,-4.1,15.7,6.9
５人以上,令和５,2023,11月（前年同月比（％））,3,23.8,-5.5,-0.3,7.6,6.8,12.2,3.3,-5.8,-0.5,2.7,-0.6,0.4,16.9,2.2,9.8,6.4
５人以上,令和５,2023,12月（前年同月比（％））,0.3,14.4,-5.8,7.4,17.2,-2.5,11.9,-0.1,-6.1,1.1,3.1,-4.9,5.6,-4,0.1,0.6,7.5
