年度,学校数,学級数総数,通級学級数総数,単式学級,単式通級学級,複式学級,複式通級学級,特別支援学級,特別支援通級学級,教員数総数,男性教員数,女性教員数,児童総数,男子児童総数,女子児童総数,1学年児童総数,1学年男子児童総数,1学年女子児童総数,2学年児童総数,2学年男子児童総数,2学年女子児童総数,3学年児童総数,3学年男子児童総数,3学年女子児童総数,4学年児童総数,4学年男子児童総数,4学年女子児童総数,5学年児童総数,5学年男子児童総数,5学年女子児童総数,6学年児童総数,6学年男子児童総数,6学年女子児童総数,学校数_区立,学級数総数_区立,通級学級数総数_区立,単式学級_区立,単式通級学級_区立,複式学級_区立,複式通級学級_区立,特別支援学級_区立,特別支援通級学級_区立,教員数総数_区立,男性教員数_区立,女性教員数_区立,児童総数_区立,男子児童総数_区立,女子児童総数_区立,1学年児童総数_区立,1学年男子児童総数_区立,1学年女子児童総数_区立,2学年児童総数_区立,2学年男子児童総数_区立,2学年女子児童総数_区立,3学年児童総数_区立,3学年男子児童総数_区立,3学年女子児童総数_区立,4学年児童総数_区立,4学年男子児童総数_区立,4学年女子児童総数_区立,5学年児童総数_区立,5学年男子児童総数_区立,5学年女子児童総数_区立,6学年児童総数_区立,6学年男子児童総数_区立,6学年女子児童総数_区立,学校数_私立,学級数総数_私立,通級学級数総数_私立,単式学級_私立,単式通級学級_私立,複式学級_私立,複式通級学級_私立,特別支援学級_私立,特別支援通級学級_私立,教員数総数_私立,男性教員数_私立,女性教員数_私立,児童総数_私立,男子児童総数_私立,女子児童総数_私立,1学年児童総数_私立,1学年男子児童総数_私立,1学年女子児童総数_私立,2学年児童総数_私立,2学年男子児童総数_私立,2学年女子児童総数_私立,3学年児童総数_私立,3学年男子児童総数_私立,3学年女子児童総数_私立,4学年児童総数_私立,4学年男子児童総数_私立,4学年女子児童総数_私立,5学年児童総数_私立,5学年男子児童総数_私立,5学年女子児童総数_私立,6学年児童総数_私立,6学年男子児童総数_私立,6学年女子児童総数_私立,備考
2012,24,334,15,310,1,0,0,24,14,547,187,360,9210,4817,4393,1528,797,731,1513,773,740,1516,793,723,1490,764,726,1585,837,748,1578,853,725,22,306,15,282,1,0,0,24,14,492,159,333,8243,4392,3851,1363,716,647,1359,688,671,1361,722,639,1324,700,624,1420,774,646,1416,792,624,2,28,0,28,0,0,0,0,0,55,28,27,967,425,542,165,81,84,154,85,69,155,71,84,166,64,102,165,63,102,162,61,101,通級学級は内数
2013,24,335,18,309,1,0,0,26,17,553,189,364,9287,4816,4471,1527,832,765,1527,793,734,1519,779,740,1531,803,728,1503,765,738,1610,844,766,22,307,18,281,1,0,0,26,17,497,161,336,8320,4365,3955,1433,747,686,1367,714,653,1361,691,670,1373,731,642,1340,701,639,1446,781,665,2,28,0,28,0,0,0,0,0,56,28,28,967,451,516,164,85,79,160,79,81,158,88,70,158,72,86,163,64,99,164,63,101,通級学級は内数
2014,24,343,21,313,1,0,0,30,20,568,190,378,9332,4897,4435,1651,919,732,1599,832,767,1533,802,731,1503,777,726,1537,805,732,1509,762,747,22,314,21,284,1,0,0,30,20,510,162,348,8373,4420,3953,1496,827,669,1432,746,686,1371,720,651,1348,692,656,1380,735,645,1346,700,646,2,29,0,29,0,0,0,0,0,58,28,30,959,477,482,155,92,63,167,86,81,162,82,80,155,85,70,157,70,87,163,62,101,通級学級は内数
2015,24,351,24,318,1,0,0,33,23,589,195,394,9482,4977,4505,1649,841,808,1648,915,733,1589,820,769,1547,811,736,1509,783,726,1540,807,733,22,321,24,288,1,0,0,33,23,529,169,360,8529,4494,4035,1484,769,715,1494,824,670,1425,733,692,1385,729,656,1356,702,654,1385,737,648,2,30,0,30,0,0,0,0,0,60,26,34,953,483,470,165,72,93,154,91,63,164,87,77,162,82,80,153,81,72,155,70,85,通級学級は内数
2016,24,342,5,330,2,0,0,12,3,604,210,394,9774,5153,4621,1790,934,856,1653,851,802,1642,920,722,1613,830,783,1559,827,732,1517,791,726,22,312,5,300,2,0,0,12,3,538,181,357,8821,4668,4153,1621,858,763,1489,779,710,1494,831,663,1453,745,708,1399,745,654,1365,710,655,2,30,0,30,0,0,0,0,0,66,29,37,953,485,468,169,76,93,164,72,92,148,89,59,160,85,75,160,82,78,152,81,71,通級学級は内数
2017,24,351,5,339,2,0,0,12,3,600,220,380,10155,5393,4762,1859,1001,858,1794,931,863,1667,858,809,1660,929,731,1606,844,762,1569,830,739,22,320,5,308,2,0,0,12,3,541,194,347,9202,4916,4286,1699,928,771,1625,855,770,1504,784,720,1514,841,673,1449,761,688,1411,747,664,2,31,0,31,0,0,0,0,0,59,26,33,953,477,476,160,73,87,169,76,93,163,74,89,146,88,58,157,83,74,158,83,75,通級学級は内数
2018,24,356,5,343,2,0,0,13,3,610,229,381,10433,5573,4860,1795,968,827,1868,1011,857,1804,944,860,1678,871,807,1658,929,729,1630,850,780,22,324,5,311,2,0,0,13,3,549,204,345,8492,5109,4383,1635,888,747,1710,939,771,1638,870,768,1520,800,720,1515,843,672,1474,769,705,2,32,0,32,0,0,0,0,0,61,25,36,941,464,477,160,80,60,158,72,86,166,74,92,158,71,87,143,86,57,156,81,75,通級学級は内数
2019,24,371,5,358,2,0,0,13,3,626,229,397,10674,5691,4983,1834,953,881,1791,971,820,1879,1016,863,1812,949,863,1694,875,819,1664,927,737,22,335,5,322,2,0,0,13,3,563,202,361,9748,5234,4514,1679,869,810,1635,893,742,1719,944,775,1649,876,773,1535,803,732,1531,849,682,2,36,0,36,0,0,0,0,0,63,27,36,926,457,469,155,84,71,156,78,78,160,72,88,163,79,90,159,72,87,133,78,55,通級学級は内数
2020,24,378,5,364,2,0,0,14,3,639,236,403,10922,5739,5183,1880,964,916,1846,963,883,1799,971,828,1875,1007,868,1806,946,860,1716,888,828,22,342,5,328,2,0,0,14,3,579,211,368,9990,5289,4701,1738,890,848,1690,879,811,1646,894,752,1714,935,779,1644,874,770,1558,817,741,2,36,0,36,0,0,0,0,0,60,25,35,932,450,482,142,74,68,156,84,72,153,77,76,161,72,89,162,72,90,158,71,87,通級学級は内数
