"年月[西暦]","調査項目","設問","事業所の従業者数","選択肢A[件]","選択肢B[件]","選択肢C[件]","選択肢D[件]","選択肢E[件]","選択肢F[件]","選択肢G[件]","選択肢H[件]","選択肢I[件]","選択肢J[件]","選択肢K[件]","選択肢L[件]","選択肢M[件]","選択肢N[件]","選択肢O[件]","選択肢P[件]","選択肢Q[件]","選択肢A[%]","選択肢B[%]","選択肢C[%]","選択肢D[%]","選択肢E[%]","選択肢F[%]","選択肢G[%]","選択肢H[%]","選択肢I[%]","選択肢J[%]","選択肢K[%]","選択肢L[%]","選択肢M[%]","選択肢N[%]","選択肢O[%]","選択肢P[%]","選択肢Q[%]"
"202003","環境に関する取組","Q3. 貴組織において、従業員に周知・徹底している環境に配慮した行動をお選びください。（○はいくつでも）","1～4人","10","13","7","8","6","2","14","22","6","1","2","9","2","5","1","0","2","32.3","41.9","22.6","25.8","19.4","6.5","45.2","71.0","19.4","3.2","6.5","29.0","6.5","16.1","3.2","0.0","6.5"
"202003","環境に関する取組","Q3. 貴組織において、従業員に周知・徹底している環境に配慮した行動をお選びください。（○はいくつでも）","5～9人","13","10","5","7","7","3","9","20","7","3","3","10","2","5","0","0","1","52.0","40.0","20.0","28.0","28.0","12.0","36.0","80.0","28.0","12.0","12.0","40.0","8.0","20.0","0.0","0.0","4.0"
"202003","環境に関する取組","Q3. 貴組織において、従業員に周知・徹底している環境に配慮した行動をお選びください。（○はいくつでも）","10～19人","8","8","4","4","2","0","7","7","3","3","1","4","1","0","1","0","1","72.7","72.7","36.4","36.4","18.2","0.0","63.6","63.6","27.3","27.3","9.1","36.4","9.1","0.0","9.1","0.0","9.1"
"202003","環境に関する取組","Q3. 貴組織において、従業員に周知・徹底している環境に配慮した行動をお選びください。（○はいくつでも）","20～49人","6","4","3","2","6","1","4","7","1","2","0","3","0","5","1","0","1","60.0","40.0","30.0","20.0","60.0","10.0","40.0","70.0","10.0","20.0","0.0","30.0","0.0","50.0","10.0","0.0","10.0"
"202003","環境に関する取組","Q3. 貴組織において、従業員に周知・徹底している環境に配慮した行動をお選びください。（○はいくつでも）","50～99人","8","8","5","1","4","1","6","8","3","1","2","3","4","2","1","0","0","80.0","80.0","50.0","10.0","40.0","10.0","60.0","80.0","30.0","10.0","20.0","30.0","40.0","20.0","10.0","0.0","0.0"
"202003","環境に関する取組","Q3. 貴組織において、従業員に周知・徹底している環境に配慮した行動をお選びください。（○はいくつでも）","100～299人","9","6","3","2","4","3","5","9","2","3","1","2","2","5","0","0","1","75.0","50.0","25.0","16.7","33.3","25.0","41.7","75.0","16.7","25.0","8.3","16.7","16.7","41.7","0.0","0.0","8.3"
"202003","環境に関する取組","Q3. 貴組織において、従業員に周知・徹底している環境に配慮した行動をお選びください。（○はいくつでも）","300人以上","28","25","18","14","18","10","22","22","5","8","17","6","16","22","13","0","0","100.0","89.3","64.3","50.0","64.3","35.7","78.6","78.6","17.9","28.6","60.7","21.4","57.1","78.6","46.4","0.0","0.0"
"202003","環境に関する取組","Q3. 貴組織において、従業員に周知・徹底している環境に配慮した行動をお選びください。（○はいくつでも）","無回答","2","1","0","0","2","0","1","2","0","0","0","1","0","2","0","0","0","100.0","50.0","0.0","0.0","100.0","0.0","50.0","100.0","0.0","0.0","0.0","50.0","0.0","100.0","0.0","0.0","0.0"

"港区の環境に関する事業者アンケート調査結果・クロス集計表・環境に関する取組Q3","Ver202003",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
