通番号,年度,番号,名称,位置,用途,敷地面積(m2),建築面積(m2),延べ面積(m2),駐車場等面積(m2),高さ(m),階数,公開空地(m2),有効公開空地(m2),用途地域,許可年月日,52条,55条,56道路,56隣地,58条,種別,人口,戸数,備考
1,1976,1,日野大久保団地,日野市日野6501,共同住宅,14855.35,3187.71,8859.36,0,11.4,4,5484.38,5484.38,一専,1976/11/15,,●,,,,,,184,
2,1976,2,第一勧業銀行本店,千代田区内幸町1-1-5,事務所,13484.43,7302.15,135013.82,13090.04,142.5,35,2153,1679.05,商業,1976/12/27,●,●,●,●,●,,4000,,中水
3,1976,3,東京銀行,中央区日本橋本石町1,事務所,3123.18,2138.99,30443.66,5637.83,66.5,14,745,793,商業,1976/12/27,,,●,●,,,1060,,
4,1976,4,ＡＴ計画,中央区築地5-2,事務所,21109.45,15933.82,145412.75,18792.08,91,16,6848.32,4467.69,商業,1977/2/3,,,●,●,,,8600,,
5,1977,1,虎ノ門三井ビル別館,港区赤坂葵町2-6-7,事務所,7938.11,4879.13,62157.22,5201.37,67.87,16,3275.1,3413.24,商業,1977/12/21,●,,●,,,,4000,,中水
6,1977,2,第2ハザマビル,港区北青山2-5-8,事務所,19478.86,9382.45,140851.34,19260.41,90.9,22,4804.3,4371,商業,1977/12/21,●,,●,,,,6000,,中水・防災倉庫
7,1977,3,km中の町ビル一号館,港区赤坂6-1-20,事・店,5513.99,1764.8,33298.89,3608.22,76.95,18,2535.56,2236.07,商業,1978/2/3,●,,●,●,,,2000,,中水・地冷
8,1977,4,km中の町ビル二号館,港区赤坂2-14-27,事・店,7726.21,2577.75,47945.05,6781.28,99.75,24,3185.87,2993.17,商業,1976/2/3,●,,●,●,,,3000,,中水・地冷
9,1978,1,新お茶の水ビル,千代田区神田駿河台4,事・店・病,6889.32,3994.63,44052.7,5010.9,93.07,22,3886,3392,商業,1978/5/2,●,,●,,,,3600,,中水
10,1978,2,土屋ビル,港区赤坂4-9-17,事務所,1261.67,667.67,6380.45,255,48,12,498.01,559.1,商業,1978/5/31,,,●,●,,,550,,
11,1978,3,東村山老人ホーム,東村山市青葉町1-7-1,病・老,164179.41,23998,76982.16,0,36.8,9,49687.43,50469.73,一専,1978/7/13,,●,,,,,2800,,
12,1978,4,都住南小岩2丁目団地,江戸川区南小岩2-145,共同住宅,12258,2995.67,12075.43,0,15.05,5,4591.15,4643.95,一専,1978/8/31,,●,,,,,,276,
13,1979,1,芝超高層ビル,港区芝2-2-15,事務所,4443.75,2622.45,25182.45,3948.17,85,21,1722.16,1798.87,商業・近商,1979/4/19,,,●,,,,1500,,
14,1979,2,赤坂プリンスホテル,千代田区紀尾井町1,ホテル,31024.38,8489.95,87904.44,1036.45,138.9,39,7114.02,6467.66,住居,1979/6/4,,●,●,●,●,,2300,,
15,1979,3,トヨタ東京ビル,文京区後楽1-4,事務所,7905.1,1742.28,48910,9780,89,19,2483.5,2307.8,商業,1979/6/26,,,,●,●,,1600,,
16,1979,4,ＮＳビル,中央区銀座6-209-2,事・劇,4654.19,3605.49,38923.21,5310.52,74.15,17,650.08,685.17,商業,1979/8/9,●,,●,,,,1000,,地冷
17,1980,1,Ｓ－2計画,新宿区西新宿3-144-1,事・ホ,9539.32,4744.19,88014.56,11798.1,97.25,25,3931,3152.37,商業,1980/6/18,,,●,●,,,6413,,
18,1981,1,東京貿易会館ビル,千代田区大手町1-1-3,事務所,5775.3,2498.5,67625,9875,100,24,2245.91,2386.21,商業,1981/6/12,,,●,●,,,3500,,
19,1981,2,大和生命本社ビル,千代田区内幸町1-1-2,事務所,5076.04,2293.8,51950.08,6291.69,109.3,26,1041.27,1072.55,商業,1981/10/20,,,,●,,,3500,,
20,1981,3,大正海上火災本社ビル,千代田区神田駿河台3,事務所,11970.3,5477.98,75723.05,14679.99,103.5,25,3921.24,4103.05,商業,1981/10/22,,,●,,,,2500,,
21,1982,1,Ｍビル,千代田区丸の内1-6-1,事務所,5660.56,3402.31,64541.57,6697.11,85.3,22,1286.91,1300.6,商業,1982/6/22,●,,●,●,,,5000,,中水・地冷
22,1982,2,東京証券取引所,中央区日本橋兜町2-1,事務所,7192.99,5220.67,49156.92,5999.76,78.8,15,1440.39,1628.63,商業,1982/9/8,,,●,,,,3500,,
