区分１,区分２,件数（件）,（ｍ２、円）,部局
土地,過大に登載されているもの,1,841.9,建設局
建物,過大に登載されているもの,8,3888.38,都市整備局、福祉保健局、教育庁
山林（分収）,過大に登載されているもの,2,6000000,産業労働局
出資による権利,過大に登載されているもの,5,265081348,生活文化局、環境局、福祉保健局
