"設備_全国地方公共団体コード","施設_ID","設備_ID","設備_区分","設備_種類","設備_名称","設備_名称（カナ）","設備_名称（英字）","設備_説明","設備_状態","住所_全国地方公共団体コード","住所_町字ID","住所_都道府県","住所_市区町村（郡）","住所_町字","住所_番地以下","住所_建物名等(方書)","住所_連結表記","住所_緯度","住所_経度","住所_座標参照系","住所_座標参照系コード","住所_国名","住所_国コード","住所_郡","住所_市区町村","住所_政令市区","住所_大字・町","住所_小字","住所_住居表示フラグ","住所_街区符号","住所_住居番号","住所_地番","住所_建物名","住所_フロア名","住所_部屋番号","設備_サービス曜日","設備_開始時刻","設備_終了時刻","設備_日時備考","設備_URL","設備_備考","連絡先_名称","連絡先_電話番号","連絡先_内線番号","連絡先_メールアドレス","連絡先_FormURL","連絡先_備考（その他、SNSなど）","連絡先_郵便番号","連絡先_住所"
"132136","132136M00021","132136M00021","","","","","","","","132136","","東京都","東村山市","恩多町4丁目","38-1","","東京都東村山市恩多町4-38-1","35.760687","139.480776","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1890011",""
"132136","132136M00022","132136M00022","","","","","","","","132136","","東京都","東村山市","秋津町2丁目","29-14","","東京都東村山市秋津町2-29-14","35.769799","139.489910","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1890001",""
"132136","132136M00023","132136M00023","","","","","","","","132136","","東京都","東村山市","美住町2丁目","23-1","","東京都東村山市美住町2-23-1","35.755463","139.459433","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1890023",""
"132136","132136M00024","132136M00024","","","","","","","","132136","","東京都","東村山市","本町4丁目","19-26","","東京都東村山市本町4-19-26","35.753746","139.474797","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1890014",""
"132136","132136M00025","132136M00025","","","","","","","","132136","","東京都","東村山市","萩山町1丁目","36-3","","東京都東村山市萩山町1-36-3","35.738063","139.483685","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1890012",""
"132136","132136M00026","132136M00026","","","","","","","","132136","","東京都","東村山市","本町2丁目","33-2","","東京都東村山市本町2-33-2","35.759786","139.466863","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1890014",""
"132136","132136M00027","132136M00027","","","","","","","","132136","","東京都","東村山市","秋津町2丁目","17-10","","東京都東村山市秋津町2-17-10","35.771015","139.486598","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1890001",""
"132136","132136M00028","132136M00028","","","","","","","","132136","","東京都","東村山市","廻田町4丁目","19-1","","東京都東村山市廻田町4-19-1","35.759623","139.452093","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1890025",""
"132136","132136M00029","132136M00029","","","","","","","","132136","","東京都","東村山市","栄町2丁目","25-5","","東京都東村山市栄町2-25-5","35.747752","139.472420","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1890013",""
"132136","132136M00030","132136M00030","","","","","","","","132136","","東京都","東村山市","野口町1丁目","25-15","","東京都東村山市野口町1-25-15","35.758257","139.464253","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1890022",""
"132136","132136M00031","132136M00031","","","","","","","","132136","","東京都","東村山市","久米川町3丁目","30-5","","東京都東村山市久米川町3-30-5","35.761085","139.479636","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1890003",""
"132136","132136M00032","132136M00032","","","","","","","","132136","","東京都","東村山市","恩多町1丁目","51-1","","東京都東村山市恩多町1-51-1","35.754234","139.489705","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1890011",""
"132136","132136M00033","132136M00033","","","","","","","","132136","","東京都","東村山市","美住町2丁目","28-16","","東京都東村山市美住町2-28-16","35.752907","139.450608","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1890023",""
"132136","132136M00034","132136M00034","","","","","","","","132136","","東京都","東村山市","多摩湖町4丁目","21-3","","東京都東村山市多摩湖町4-21-3","35.766844","139.449503","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1890026",""
"132136","132136M00035","132136M00035","","","","","","","","132136","","東京都","東村山市","多摩湖町3丁目","第1仲よし広場","","東京都東村山市多摩湖町3丁目第1仲よし広場","35.763153","139.443704","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1890026",""
"132136","132136M00036","132136M00036","","","","","","","","132136","","東京都","東村山市","多摩湖町2丁目","第1仲よし広場","","東京都東村山市多摩湖町2丁目第1仲よし広場","35.762767","139.446933","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1890026",""
"132136","132136M00037","132136M00037","","","","","","","","132136","","東京都","東村山市","富士見町4丁目","17-21","","東京都東村山市富士見町4-17-21","35.749731","139.448801","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1890024",""
"132136","132136M00038","132136M00038","","","","","","","","132136","","東京都","東村山市","富士見町3丁目","16-5","","東京都東村山市富士見町3-16-5","35.747667","139.452903","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1890024",""
"132136","132136M00039","132136M00039","","","","","","","","132136","","東京都","東村山市","富士見町2丁目","10-69","","東京都東村山市富士見町2-10-69","35.739268","139.453037","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1890024",""
"132136","132136M00040","132136M00040","","","","","","","","132136","","東京都","東村山市","美住町1丁目","22-39","","東京都東村山市美住町1-22-39","35.749575","139.458523","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1890023",""
"132136","132136M00041","132136M00041","","","","","","","","132136","","東京都","東村山市","美住町1丁目","第3仲よし広場","","東京都東村山市美住町1丁目第3仲よし広場","35.751680","139.461907","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1890023",""
"132136","132136M00042","132136M00042","","","","","","","","132136","","東京都","東村山市","廻田町1丁目","26","","東京都東村山市廻田町1-26","35.756053","139.452356","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1890025",""
"132136","132136M00043","132136M00043","","","","","","","","132136","","東京都","東村山市","野口町4丁目","3-6","","東京都東村山市野口町4-3-6","35.763358","139.460184","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1890022",""
"132136","132136M00044","132136M00044","","","","","","","","132136","","東京都","東村山市","野口町2丁目","6-5","","東京都東村山市野口町2-6-5","35.760519","139.459000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1890022",""
"132136","132136M00045","132136M00045","","","","","","","","132136","","東京都","東村山市","青葉町4丁目","1-1","","東京都東村山市青葉町4-1-1","35.763047","139.497082","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1890002",""
