利用調整対象月,施設類型,コード,保育施設名,0歳・1歳・2歳,0歳児,1歳児,2歳児,3歳児,4歳児,5歳児,延長保育,緯度,経度
2021/9/1,家庭福祉員,105199,横山（家庭福祉員）,2,‐,‐,‐,‐,‐,‐,‐,35.622811,139.695689
2021/9/1,家庭福祉員,105200,東條（家庭福祉員）,2,‐,‐,‐,‐,‐,‐,‐,35.616487,139.696124
2021/9/1,家庭福祉員,105201,山本（家庭福祉員）,0,‐,‐,‐,‐,‐,‐,‐,35.629039,139.683529
2021/9/1,家庭福祉員,105202,丹菊（家庭福祉員）,1,‐,‐,‐,‐,‐,‐,‐,35.62866,139.669127
2021/9/1,家庭福祉員,105203,柏井（家庭福祉員）,1,‐,‐,‐,‐,‐,‐,‐,35.657033,139.686825
2021/9/1,家庭福祉員,105207,川端（家庭福祉員）,0,‐,‐,‐,‐,‐,‐,‐,35.640842,139.690658
2021/9/1,公立認可保育園,1100001,駒場保育園,‐,0,0,0,0,3,2,15,35.6565735,139.6867123
2021/9/1,公立認可保育園,1100002,菅刈保育園,‐,0,0,0,1,0,1,17,35.65018267,139.695026
2021/9/1,公立認可保育園,1100004,第二上目黒保育園,‐,0,1,1,5,3,1,8,35.64216013,139.6975135
2021/9/1,公立認可保育園,1100008,田道保育園,‐,0,0,0,0,3,0,20,35.63488823,139.7062629
2021/9/1,公立認可保育園,1100009,不動保育園,‐,0,0,1,4,3,1,12,35.62639448,139.6994676
2021/9/1,公立認可保育園,1100010,中町保育園,‐,0,0,0,3,2,5,16,35.63420867,139.6948506
2021/9/1,公立認可保育園,1100011,祐天寺保育園,‐,0,0,0,3,5,1,24,35.63903048,139.694962
2021/9/1,公立認可保育園,1100012,中央町保育園,‐,0,0,0,3,0,1,23,35.63230244,139.688486
2021/9/1,公立認可保育園,1100013,目黒本町保育園,‐,0,0,1,3,3,1,11,35.62548425,139.6952552
2021/9/1,公立認可保育園,1100014,原町保育園,‐,0,0,0,2,1,0,7,35.61805661,139.6951719
2021/9/1,公立認可保育園,1100015,南保育園,‐,0,0,0,0,0,0,14,35.61384843,139.6892332
2021/9/1,公立認可保育園,1100016,第二ひもんや保育園,‐,0,0,0,2,1,0,17,35.62352848,139.6898963
2021/9/1,公立認可保育園,1100017,ひもんや保育園,‐,0,0,0,1,3,0,3,35.62264873,139.6881379
2021/9/1,公立認可保育園,1100018,第三ひもんや保育園,‐,0,0,0,0,0,0,26,35.62176318,139.6810985
2021/9/1,公立認可保育園,1100019,鷹番保育園,‐,‐,‐,‐,8,2,1,20,35.6284122,139.6869039
2021/9/1,公立認可保育園,1100020,大岡山保育園,‐,0,0,1,1,3,2,12,35.61019442,139.6805792
2021/9/1,公立認可保育園,1100021,八雲保育園,‐,0,0,0,2,0,5,4,35.6157766,139.6681186
2021/9/1,私立認可保育園,1200028,のぞみ保育園,‐,0,3,0,0,0,1,‐,35.65560208,139.6824455
2021/9/1,私立認可保育園,1200029,双葉の園保育園,‐,0,1,0,0,2,1,‐,35.65309511,139.6874284
2021/9/1,私立認可保育園,1200030,緑丘保育園,‐,5,0,1,0,2,0,‐,35.60799316,139.6727241
2021/9/1,私立認可保育園,1200031,東が丘保育園,‐,0,0,0,0,0,1,‐,35.62960995,139.6722004
2021/9/1,私立認可保育園,1200032,アスクやくも保育園,‐,2,0,6,1,1,0,‐,35.61423412,139.6674769
2021/9/1,私立認可保育園,1200033,コビープリスクールかみめぐろ,‐,0,0,0,0,0,0,‐,35.64436195,139.6894975
2021/9/1,私立認可保育園,1200034,夢花保育園,‐,0,0,1,0,1,1,‐,35.63323541,139.6907306
2021/9/1,私立認可保育園,1200035,桜のこみち保育園,‐,0,1,1,3,7,4,‐,35.63836514,139.7050862
2021/9/1,私立認可保育園,1200036,にじいろ保育園自由が丘,‐,1,0,2,5,4,0,‐,35.6098669,139.6705634
2021/9/1,私立認可保育園,1200037,アソシエ下目黒保育園,‐,0,0,1,2,2,0,‐,35.63316122,139.7107294
2021/9/1,私立認可保育園,1200038,まなびの森保育園目黒,‐,‐,1,0,0,0,0,‐,35.62945152,139.7107752
2021/9/1,私立認可保育園,1200039,蓮美幼児学園西小山ナーサリー,‐,0,0,0,1,0,0,‐,35.61654158,139.6963839
2021/9/1,私立認可保育園,1200040,キッズハウス池尻大橋,‐,6,3,2,1,4,3,‐,35.65372479,139.689389
2021/9/1,私立認可保育園,1200041,ナーサリールームベリーベアー八雲,‐,3,0,2,2,2,2,‐,35.61661917,139.664827
2021/9/1,私立認可保育園,1200042,桑の実中目黒保育園,‐,0,0,0,0,1,0,‐,35.64396967,139.6920223
2021/9/1,私立認可保育園,1200043,アソシエ柿の木坂保育園,‐,0,0,0,0,0,1,‐,35.62452793,139.6767627
2021/9/1,私立認可保育園,1200044,アソシエ柿の木坂マミー保育園,‐,0,0,0,0,0,1,‐,35.61928856,139.67484
2021/9/1,私立認可保育園,1200045,さくらさくみらい都立大,‐,‐,0,0,0,9,0,‐,35.61628895,139.682293
2021/9/1,私立認可保育園,1200046,中目黒ちとせ保育園,‐,0,0,0,1,3,1,‐,35.64122042,139.6992918
2021/9/1,私立認可保育園,1200047,モニカ都立大園,‐,0,0,0,2,1,4,‐,35.61189749,139.6779377
2021/9/1,私立認可保育園,1200048,アスク上目黒保育園,‐,1,0,3,2,2,0,‐,35.63803233,139.6904445
2021/9/1,私立認可保育園,1200049,目黒かえで保育園,‐,0,0,0,0,2,3,‐,35.63080636,139.6882596
2021/9/1,私立認可保育園,1200050,野のゆり保育園,‐,0,0,0,0,3,2,‐,35.65349618,139.6883945
2021/9/1,私立認可保育園,1200051,キッズガーデン中目黒,‐,2,4,0,4,1,7,‐,35.64011007,139.7026685
2021/9/1,私立認可保育園,1200052,中目黒どろんこ保育園,‐,0,0,0,0,4,0,‐,35.63618488,139.7012401
2021/9/1,私立認可保育園,1200053,BunBu学院Jr.中目黒園,‐,1,1,1,1,6,2,‐,35.64801845,139.696464
2021/9/1,私立認可保育園,1200054,さくらさくみらい目黒,‐,‐,4,3,0,2,2,‐,35.63371106,139.705916
2021/9/1,私立認可保育園,1200055,アソシエ目黒おおとり保育園,‐,0,2,0,0,1,5,‐,35.63217291,139.7070103
2021/9/1,私立認可保育園,1200056,ゆらりん下目黒保育園,‐,0,0,3,13,1,7,‐,35.62798213,139.6969739
2021/9/1,私立認可保育園,1200057,油面ちとせ保育園,‐,0,0,1,3,1,8,‐,35.63242187,139.6993847
2021/9/1,私立認可保育園,1200058,ポピンズナーサリースクール洗足,‐,1,0,0,0,0,1,‐,35.60947296,139.6942492
