No.,名称,所在地,面積（㎡）,開園年月日,区有地,国有地,都有地,民有地,利用時間等の制限,備考,だれでもトイレ,簡易型でもトイレ等,ユニットトイレ,種別,施設1,施設2,施設3,施設4,施設5,緯度,経度,高さ
1,松見坂公園,駒場1-20-9,191.41,H19.2.17,有,,,,,,,,,街かど公園,,,,,,35.65543,139.687302,33.6
2,駒場野公園,駒場2-19-70,39025.29,S61.3.31,有,有,,有,有,,有,有,,区民公園,自然観察舎,デイキャンプ場,多目的広場,,,35.65918,139.680984,33.8
3,駒場三丁目もちの木公園,駒場3-2-20,293.48,H17.10.8,有,,,,有,,,,,都市緑地,,,,,,35.657768,139.689224,33.5
4,駒場公園,駒場4-3-55,40396.47,S50.4.1,有,有,,,有,昭和42.7.26東京都開園,有,,,区民公園,和館（重要文化財指定 平成25.8.7）,,,,,35.663353,139.679703,39.4
5,西郷山公園,青葉台2-10-28,10549.65,S56.5.28,有,,,,,,,,有,地域公園,,,,,,35.650314,139.695007,17.9
6,菅刈公園,青葉台2-11-25,20049.39,H13.3.31,有,,,,有,,,有,,地域公園,和館,,,,,35.650219,139.692856,12.3
7,菅刈街かど公園,青葉台3-7-13,200.13,H1.12.16,有,,,,,,,,,街かど公園,,,,,,35.651505,139.689835,14.7
8,青葉台四丁目街かど公園,青葉台4-4-8,150.94,H14.4.2,有,,,,,,,,,街かど公園,,,,,,35.653957,139.692703,34.1
9,大坂緑地,青葉台4-7-8,301.02,H7.6.14,有,,,,,,,,,都市緑地,,,,,,35.653679,139.690598,28.2
10,東山貝塚公園,東山3-16-7,1752.05,S54.3.30,有,,,,,,,,,児童公園,貝塚遺跡,,,,,35.649609,139.685318,18.1
11,東山街かど公園,東山3-20-1,319.51,S59.9.1,有,有,,,,,,,,街かど公園,,,,,,35.648453,139.687073,28.9
12,東山公園,東山3-24-23,21418.48,S59.3.29,有,有,,,,,有,有,,地域公園,,,,,,35.647583,139.684448,29.8
13,目黒天空庭園,大橋1-9-2,7096.28,H25.3.30,,,,有,有,,有,,,都市緑地,,,,,,35.651535,139.688019,15.1
14,氷川さくら公園,大橋2-22-38,403.75,H30.6.20,有,,,,,,,,,街かど公園,,,,,,35.652386,139.684769,21.9
15,けこぼ坂街かど公園,上目黒2-9-18,104.65,H9.3.31,有,,,,,,,,,街かど公園,,,,,,35.64159,139.699722,13.5
16,中目黒しぜんとなかよし公園,上目黒2-19-18,1366.22,H15.3.31,有,,,,,,,,,都市緑地,,,,,,35.640144,139.698486,21.7
17,伊勢脇公園,上目黒2-32-19,2123.32,S52.3.30,有,,,,,,,有,,児童公園,,,,,,35.639137,139.697006,27
18,中目黒駅前街かど公園,上目黒3-4-2,172.73,H14.3.26,有,,,,,,,,,街かど公園,,,,,,35.644211,139.69902,9
19,中目黒公園,中目黒2-3-14,22074.1,H14.3.31,有,有,,,有,,有,,,地域公園,花とみどりの学習館,多目的広場,,,,35.6412318,139.7051228,11.7
20,中目黒南緑地公園,中目黒4-13-9,1178.26,H7.7.20,有,,,,,,,,,都市緑地,,,,,,35.636951,139.702637,11.5
21,八幡公園,中目黒4-15-21,1282.36,S47.4.22,有,,,,,,,,有,児童公園,,,,,,35.638313,139.702026,9.6
22,なべころ坂緑地公園,中目黒5-6-5,1038.98,S63.3.11,有,有,,,,,,,有,都市緑地,,,,,,35.636456,139.700409,26.8
