"館名","一般図書[冊]","ヤング[冊]","児童図書[冊]","紙芝居[組]","デイジー[組]","一般雑誌[冊]","児童雑誌[冊]","CD[組]","LD[組]","DVD[組]","ｶｾｯﾄ[組]","ｽﾗｲﾄﾞ[組]","16mm[巻]","ビデオ[組]","その他視聴覚","合計"
"みなと","202321","10541","35717","1419","717","19655","3215","19929","1130","7327","4030","84","642","2252","68","309047"
"三田","157800","10692","29220","731","0","9741","294","7946","0","1978","0","0","0","0","0","218402"
"麻布","103704","7895","21030","589","0","3591","346","3519","0","1410","0","0","0","0","0","142084"
"赤坂","128965","8755","30198","851","0","5153","384","5775","0","1544","0","0","0","0","0","181625"
"高輪","114389","5108","38351","984","0","4576","460","8723","0","2218","0","0","0","0","0","174809"
"高輪(分室)","771","24637","33025","605","0","791","947","1881","0","1121","0","0","0","0","0","63778"
"港南","127105","5507","28297","595","0","4099","403","7914","665","1966","0","0","0","0","0","176551"
"合計","835055","73135","215838","5774","717","47606","6049","55687","1795","17564","4030","84","642","2252","68","1266296"

"令和3年度港区行政資料集　図書館別資料所蔵状況","Ver202104",,,,,,,,,,,,,,,
