"年度[西暦]","性質","当初予算 金額[千円]","当初予算 構成比[%]","最終補正後 金額[千円]","最終補正後 構成比[%]"
"2022","人件費","21177615","13.3","21086126","11.9"
"2022","(うち職員給)","16189110","10.2","16281537","9.2"
"2022","物件費","47129646","29.6","54890553","30.9"
"2022","維持補修費","823688","0.5","833265","0.5"
"2022","扶助費","30541859","19.2","32196568","18.1"
"2022","補助費等","14004940","8.8","18056232","10.2"
"2022","普通建設事業費","33221876","20.9","32800852","18.5"
"2022","(うち受託事業費)","774844","0.5","774844","0.4"
"2022","公債費","121572","0.1","121572","0.1"
"2022","積立金","2971060","1.9","8125060","4.6"
"2022","投資及び出資金","0","0.0","0","0.0"
"2022","貸付金","476341","0.3","476341","0.3"
"2022","繰出金","7831403","4.9","7353547","4.1"
"2022","予備費","1000000","0.6","1500000","0.8"
"2022","歳出合計","159300000","100.0","177440116","100.0"
"2023","人件費","20980316","12.9",,
"2023","(うち職員給)","14235200","8.7",,
"2023","物件費","54054122","33.1",,
"2023","維持補修費","981435","0.6",,
"2023","扶助費","31334346","19.2",,
"2023","補助費等","13352117","8.2",,
"2023","普通建設事業費","30182449","18.5",,
"2023","(うち受託事業費)","41554","0.0",,
"2023","公債費","33556","0.0",,
"2023","積立金","2577231","1.6",,
"2023","投資及び出資金","0","0.0",,
"2023","貸付金","474589","0.3",,
"2023","繰出金","8299839","5.1",,
"2023","予備費","1000000","0.6",,
"2023","歳出合計","163270000","100.0",,

"令和5年度港区行政資料集　一般会計歳出予算（性質別）","Ver202303",,,,
