種別,27（件）,28（件）,29（件）,30（件）,元（件）,2（件）,3（件）,4（件）
網・わな,0,0,0,0,0,0,0,0
第一種,1,4,2,2,1,2,2,1
第二種,0,0,2,2,2,2,2,2
計,1,4,4,4,3,4,4,3
