村別,国有林（ｈ?sanitize]j,民有林（ｈ?sanitize]j,計（ｈ?sanitize]j
三宅村,152 ,"4,031 ","4,183 "
御蔵島村,[sanitize],"1,827 ","1,827 "
計,152 ,"5,858 ","6,010 "
