要素１,要素２,要素３,1,2,3,4,5,6,7,8,9,10,11,12,年
海面気圧＋１０００ｈＰａ,,,15.1,16.2,14.6,16.1,12.8,10.4,8.2),9.4,12.8,18,17.4,14.9,13.8
気温,平均気温,,9.6,9.4,14.2,16.9,19.2,22.7,26.3),27.5,25.7,20.5,18.5,12.2,18.6
気温,最高,平均℃,11.6,11.5,16.6,19.8,22,25.1,28.8),29.8,27.7,22.8,20.6,14.4,20.9
気温,最高,極値℃,17.5,15.4,20.9,24.8,26.9,29.5,31.5),32,30.7,27.9,23.5,19.4,32
気温,最高,その起日,11,20,17,13,29,30,28,23,6,10*,3,22,8月23日
気温,最低,平均℃,7,6.7,11.4,14.2,16.2,20.6,24.0),25.4,23.7,18,15.5,9.4,16
気温,最低,極値℃,2.3,1.4,4.7,5.7,11.1,16.6,20.6),22.5,19,12.3,12.9,4.2,1.4
気温,最低,その起日,15,25,7,1,3,5,17,28,28,21,16,20,2月25日
湿度,平均湿度％,,65,63,71,81,81,87,89),88,86,78,76,68,78
湿度,最小,極値％,31,30,38,46,40,55,67),64,59,41,45,34,30
湿度,最小,その起日,20,18,7,2,29,5*,28*,10,15,25,4,9,2月18日
風速,平均風速ｍ／ｓ,,6.1,7.5,6.3,5.2,4.4,5.1,3.9),4.6,6.2,6.8,5.1,7.2,5.7
風速,最大風速ｍ／ｓ,,24.6,23.4,18.9,16.3,16.8,16.1,10.4),14.6,14.7,18,14.7,19.6,24.6
風速,風向,,W,W,NE,NE,W,NE,WSW,W,NE,NE,NE,W,W
風速,その起日,,12,20,18,15,28,12,20,18,22,25,5,18,1月12日
風速,最大瞬間風速ｍ／ｓ,,34.7,31.8,26.6,22.5,22.7,22.4,18.3),21.5,19.5,23.2,23.8,29.3,34.7
風速,風向,,W,W,SSW,S,SW,E,W,W,SW,N,W,W,W
風速,その起日,,12,20,26,22,14,6,19,13,20,26,16,18,1月12日
日照,日照時間ｈｒ,,115.3,123.7,155.7,153.6,162.4,162.5,196.6),204,93.9,107.8,89.3,104.3,1669.1
日照,日照率％,,37,41,42,39,38,38,45),49,25,31,29,34,38
降水,降水総ｍｍ,,119,175.5,289.5,376,274,544.5,224,309.5,210.5,187,330,153,3192.5
降水,最大日ｍｍ,,47.5,60,160.5,80,77,227.5,67,109,54.5,46,88.5,64.5,227.5
降水,とその起日,,11,10,18,4,13,6,5,13,1,13,23,22,6月6日
降水,日数,≧　０．０,18,14,18,20,18,19,18,25,21,22,26,20,239
降水,日数,≧　０．５,11,9,17,18,16,13,12,18,16,13,15,12,170
降水,日数,≧　１．０,8,8,15,16,15,13,12,16,16,12,15,10,156
降水,日数,≧１０．０,4,4,5,10,8,7,7,8,6,6,10,4,79
降水,日数,≧３０．０,1,3,2,5,2,4,2,2,2,2,4,1,30
天気日数,雨（≧０．５ｍｍ）,,11,9,17,18,16,13,12,18,16,13,15,12,170
天気日数,雪,,1,2,0,0,0,0,0),0,0),0,0,1,3
天気日数,霧,,0,0,0,0,0,0,0),0,0),0,0,0,0
天気日数,不照,,3,4,4,5,5,6,3,3,6,9,6,1,55
天気日数,日最大風速１０ｍ／ｓ以上,,19,24,19,11,7,6,2),5,16,18,11,25,163
