島名,事業項目,事業細目,事業細々目,箇所名,施工地又は受益地,事業主体,着工年度（年）,完了年度（年）,全体計画事業費（千円）,全体計画国費（千円）,04年度予算事業費（千円）,04年度予算国費（千円）,04年度予算都費（千円）,04年度予算町村費（千円）,04年度予算その他（千円）,事業概要,所管局
御蔵島,港湾,[sanitize],地方港湾,御蔵島港,御蔵島村里浜,都,H6,R18,"20,543,996","14,136,357","893,000","573,800","319,200",0,0,岸壁等,港湾局
御蔵島,,港湾計,,,,,,,"20,543,996","14,136,357","893,000","573,800","319,200",0,0,,
御蔵島,,循環型社会形成推進交付金,"施設整備に関
する計画支援",御蔵島村,御蔵島村内,村,R3,R8,"76,000","25,333","22,332","7,499",83,"14,750",0,浄化槽設置事業,環境局
御蔵島,,循環型社会形成推進交付金,浄化槽設置整備,御蔵島村,御蔵島村内,村,R4,R8,"1,328",664,,,,,,,
御蔵島,,廃棄物処理計,,,,,,,"77,328","25,997",,,,,,,
御蔵島,社会資本整備総合交付金,地域住宅計画に基づく事業,地域住宅計画に基づく事業,たりぼう・森山ケ下,たりぼう・森山ケ下,村,R3,R6,"500,237","231,207","120,509","60,254",0,"60,255",0,地域優良賃貸住宅建設に伴う宅地造成・擁壁工事,住宅政策本部
御蔵島,,,地域住宅計画に基づく事業,御蔵608（仮称）,御蔵608（仮称）,村,R3,R4,"157,221","70,749","114,585","51,563",0,"63,022",0,"単独住宅（1棟4戸）
建設工事",住宅政策本部
御蔵島,,社会資本整備総合交付金計,,,,,,,"657,458","301,956","235,094","111,817",0,"123,277",0,,
御蔵島,防災・安全交付金,道路,地方港湾,御蔵島港,御蔵島村里浜,都,H26,R5,"310,000","155,000",0,0,0,0,0,護岸(防波),港湾局
御蔵島,,防災・安全交付金計,,,,,,,"310,000","155,000",0,0,0,0,0,,
,御　蔵　島　計,,,,,,,,"21,588,782","14,619,310","1,150,426","693,116","319,283","138,027",0,,
,三 宅 支 庁 管 内 計,,,,,,,,"82,776,633","54,884,090","3,377,864","2,035,132","1,143,277","199,455",0,,
