区分,三宅村神着,三宅村伊豆,三宅村伊ヶ谷,三宅村阿古,三宅村坪田,三宅村島外,御蔵島,合計
世帯,4,5,1,18,3,9,0,40
人員,4,5,2,21,3,10,0,45
