事業区分,2年度施工箇所,2年度数量,2年度工事費（千円）,3年度施工箇所,3年度数量,3年度工事費（千円）,4年度施工箇所,4年度数量,4年度工事費（千円）
復旧治山,御蔵島村,鋼製谷止工,"61,174",三宅村,山腹工,"34,485",三宅村,山腹工,"45,705"
復旧治山,(卯辰川),（1基）,,(金曽沢),土留(1基）等,,(金曽沢),土留(1基）等,
復旧治山,三宅村,法面工,"70,950",御蔵島村,谷止工,明繰,御蔵島村,谷止工,"76,847"
復旧治山,(阿古),（821.1㎡）,,(卯辰川),（741.8?）,,(卯辰川),（741.8?）,
復旧治山,,,,,,,三宅村,法枠工,"125,890"
復旧治山,,,,,,,(夕景),"(2,269.1㎡)",
都単林地荒廃復旧,三宅村,補強土工,明繰,三宅村,補強土工,"46,321",三宅村,補強土工,"128,573"
都単林地荒廃復旧,(伊ヶ谷),（581㎡）,,(伊ヶ谷),（581㎡）,,(伊ヶ谷),519本,
都単林地荒廃復旧,,,,,,,,"（1,968㎡）",
都単林地荒廃復旧,御蔵島村,護岸工,明繰,御蔵島村,護岸工,"10,967",,,
都単林地荒廃復旧,(卯辰川),（28.6ｍ）,,(卯辰川),（28.6ｍ）,,,,
都単林地荒廃復旧,,,,三宅村,補強土工,"45,375",,,
都単林地荒廃復旧,,,,(伊ヶ谷),（586㎡）,,,,
都単林地荒廃復旧,,,,御蔵島村,落石防止工,"72,787",,,
都単林地荒廃復旧,,,,(卯辰川),（１基）,,,,
都単委託,御蔵島村,機能強化,"3,465",三宅島,機能強化,"6,457",三宅島,機能強化,"7,095"
,(島内一円),,,(島内一円),,,(島内一円),,
,三宅村,測量・設計,"4,389",三宅村,全体計画,"9,955",三宅村,測量・設計,"3,454"
,(伊ヶ谷),,,(大久保),,,(大久保),,
,御蔵島,測量・設計,"3,795",御蔵島,測量・設計,"5,720",御蔵島,全体計画,"9,999"
,(卯辰川),,,(卯辰川),,,(ならん川),,
,三宅村,全体計画,"10,296",三宅村,測量・設計,"4,059",三宅支庁,建設資材,233
,(夕景),,,(夕景),,,,価格調査,
,三宅村,測量・設計,"3,729",三宅村,全体計画,"9,845",,,
,(タデノ沢) ,,,(厚木沢),,,,,
,三宅支庁,建設資材,242,三宅支庁,建設資材,290,,,
,,価格調査,,,価格調査,,,,
