島名,事業項目,事業細目,事業細々目,箇所名,施工地又は受益地,事業主体,着工年度（年）,完了年度（年）,全体計画事業費（千円）,全体計画国費（千円）,05年度予算事業費（千円）,05年度予算国費（千円）,05年度予算都費（千円）,05年度予算町村費（千円）,05年度予算その他（千円）,事業概要,所管局
御蔵島,廃棄物処理,循環型社会形成推進交付金,浄化槽設置整備,御蔵島村,御蔵島村内,村,R4,R8,"1,328",664,332,166,83,83,0,浄化槽設置整備,
御蔵島,,廃棄物処理計,,,,,,,"1,328",664,332,166,83,83,0,,
御蔵島,社会資本整備総合交付金,地域住宅計画に基づく事業,地域住宅計画に基づく事業,たりぼう・森山ケ下,たりぼう・森山ケ下,村,R3,R9,"948,507","460,102","120,701","60,350",0,"60,351",0,地域優良賃貸住宅建設に伴う宅地造成・擁壁工事,
御蔵島,,,地域住宅計画に基づく事業,御蔵608（仮称）,御蔵608（仮称）,村,R3,R4,"101,287","45,579",0,0,0,0,0,"単独住宅（1棟4戸）
建設工事",
御蔵島,,社会資本整備総合交付金計,,,,,,,"1,049,794","505,681","120,701","60,350",0,"60,351",0,,
御蔵島,防災・安全交付金,道路,道路,(一）御蔵島環状線,御蔵島村里,都,R4,R6,"68,000",0,0,0,0,0,0,路肩改良１か所,
御蔵島,,港湾,地方港湾,御蔵島港,御蔵島村里浜,都,H26,R5,"310,000","155,000",0,0,0,0,0,護岸(防波),
御蔵島,,防災・安全交付金計,,,,,,,"378,000","155,000",0,0,0,0,0,,
御蔵島,御　蔵　島　計,,,,,,,,"1,429,122","661,345","121,033","60,516",83,"60,434",0,,
御蔵島,三 宅 支 庁 管 内 計,,,,,,,,"61,786,090","41,567,315","2,493,346","1,616,929","764,528","111,889",0,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
