電源種別,東京電力認可出力設置ヶ所（箇所）,東京電力認可出力（万ｋＷ）,東京電力構成比（％）,全国（９電力）認可出力設置ヶ所（箇所）,全国（９電力）認可出力（万ｋＷ）,全国（９電力）構成比（％）
水力,164,980,54.1,1038,2741,26.8
火力,10,6,0.3,112,5544,54.2
原子力,1,821,45.3,11,1900,18.5
新エネルギー等,5,5,0.3,40,49,0.5
合計,180,1812,100,1201,10234,100
