村名,農家戸数総数（戸）,農家戸数販売農家（戸）,農家戸数自給的農家（戸）,農家人口（販売農家）総数（人）,農家人口（販売農家）男（人）,農家人口（販売農家）女（人）
三宅村,49,21,28,40,22,18
御蔵島村,15,7,8,17,8,9
