区分,三宅村神着,三宅村伊豆,三宅村伊ヶ谷,三宅村阿古,三宅村坪田,三宅村島外,御蔵島,合計
世帯,4,4,1,24,4,11,0,48
人員,4,4,2,29,4,12,0,55
