科目１,科目２,三宅村金額（千円）,三宅村比率（％）,御蔵島村金額（千円）,御蔵島村比率（％）
一般会計予算額,,"4,036,846",,"1,479,798",
教育費,,"261,087",6.5,"85,587",5.8
教育費の内訳,教育総務費,"69,257",26.5,"25,894",30.3
教育費の内訳,小学校費,"29,083",11.1,"1,459",1.7
教育費の内訳,中学校費,"43,398",16.6,"1,121",1.3
教育費の内訳,社会教育費,"48,656",18.6,"6,694",7.8
教育費の内訳,保健体育費,"18,021",7,"1,350",1.6
教育費の内訳,校舎管理費,0,0,"34,364",40.2
教育費の内訳,学校給食費,"52,672",20.2,"14,705",17.2
