電源種別,東京電力認可出力設置ヶ所（箇所）,東京電力認可出力（万ｋＷ）,東京電力構成比（％）,全国（９電力）認可出力設置ヶ所（箇所）,全国（９電力）認可出力（万ｋＷ）,全国（９電力）構成比（％）
水力,164,988,54.3,1037,2737,25.4
火力,10,6,0.3,120,5711,53.1
原子力,1,821,45.1,12,2261,21
新エネルギー等,5,5,0.3,35,50,0.5
合計,180,1820,100,1204,10759,100
