局別１,局別２,局別３,加入数アナログ回線（回線）,加入数光回線（回線）,加入数計（回線）,公衆電話ボックス公衆電話（箇所）,公衆電話卓上公衆電話（箇所）,公衆電話計（箇所）
三宅島,２局,三宅島局,415,168,583,8,4,12
三宅島,５局,阿古局,281,110,391,2,3,5
三宅島,６局,坪田局,286,96,382,3,3,6
三宅島,計,,982,374,"1,356",13,10,23
御蔵島,８局,御蔵島局,107,73,180,1,0,1
合計,,,"1,089",447,"1,536",14,10,24
