交通機関,地域,令和元年来島者（人）,令和元年来島者（％）,令和2年来島者（人）,令和2年来島者（％）,令和3年来島者（人）,令和3年来島者（％）
航空機,三宅島,"11,534",25.6,"7,837",30.1,"8,604",31.8
航空機,御蔵島,"2,882",28.9,"2,269",37.7,"2,459",35.8
船舶,三宅島,"33,558",74.4,"18,160",69.9,"18,436",68.2
船舶,御蔵島,"7,101",71.1,"3,757",62.3,"4,401",64.2
計,三宅島,"45,092",100,"25,997",100,"27,040",100
計,御蔵島,"9,983",100,"6,026",100,"6,860",100
