年度別（年）,予算収入（円）,予算支出（円）,決算収入（円）,決算支出（円）
29,"74,270,609","89,340,000","75,239,430","87,432,235"
30,"77,577,663","71,144,000","76,109,731","70,761,323"
元,"74,954,399","72,250,000","76,836,501","71,368,841"
2,"78,870,520","68,136,000","75,037,684","68,216,240"
3,"34,387,000","33,661,000","32,089,481","31,788,647"
