震度,1,2,3,4,5,6,7,8,9,10,11,12,計
回数,8,13,39,16,9,13,23,9,7,20,12,4,173
１未満,8,13,39,16,9,13,23,9,7,20,12,4,173
１以上,,,,,,,,,,,,,
