年度（年）,コジュケイ,ヒヨドリ,キジ,カラス,スズメ,キジバト,カモ類,計
29,0,0,0,20,0,5,0,25
30,0,7,0,18,0,6,0,31
元,0,0,0,0,0,0,0,0
2,0,0,0,6,0,1,0,7
3,0,5,0,14,12,3,0,34
