年月,三宅島東京⇒三宅入（人）,三宅島東京⇒三宅出（人）,三宅島東京⇒三宅予定（日）,三宅島東京⇒三宅実績（日）,三宅島東京⇒三宅就航率（％）,三宅島三宅⇒東京入（人）,三宅島三宅⇒東京出（人）,三宅島三宅⇒東京予定（日）,三宅島三宅⇒東京実績（日）,三宅島三宅⇒東京就航率（％）,三宅島合計入（人）,三宅島合計出（人）
4,"1,411",58,30,29,96.67,109,"1,036",30,27,90,"1,520","1,094"
5,"1,292",79,31,31,100,74,"1,044",31,30,96.77,"1,366","1,123"
6,"1,301",72,30,30,100,98,"1,045",30,30,100,"1,399","1,117"
7,"1,969",114,31,31,100,122,"1,607",31,30,96.77,"2,091","1,721"
8,"1,948",82,31,28,90.32,105,"1,666",31,27,87.1,"2,053","1,748"
9,"1,548",84,30,30,100,94,"1,389",30,26,86.67,"1,642","1,473"
10,"1,658",84,31,28,90.32,130,"1,341",31,26,83.87,"1,788","1,425"
11,"2,013",85,30,29,96.67,136,"1,576",30,27,90,"2,149","1,661"
12,"1,536",55,31,27,87.1,99,"1,253",31,25,80.65,"1,635","1,308"
1,"1,275",40,31,31,100,38,850,31,27,87.1,"1,313",890
2,693,30,28,23,82.14,24,518,28,23,82.14,717,548
3,"1,494",70,31,30,96.77,100,"1,227",31,28,90.32,"1,594","1,297"
計,人,人,日,日,％,人,人,日,日,％,人,人
,"18,138",853,365,347,95.07,"1,129","14,552",365,326,89.32,"19,267","15,405"
R2,"15,100",758,365,343,94,930,"12,439",365,329,90,"16,030","13,197"
31,"30,319","1,493",366,335,92,"2,061","25,297",366,323,88,"32,380","26,790"
30,"31,738","1,281",365,343,94,"1,833","26,248",365,333,91,"33,571","27,529"
29,"31,613","1,481",365,335,92,"2,190","25,879",365,324,89,"33,803","27,360"
28,"32,309","1,633",365,339,93,"2,092","26,328",365,321,88,"34,401","27,961"
